"",BBK01.WZ3458,BBK01.WZ3458_FLAGS
"","Yields, derived from the term structure of interest rates, on listed Federal securities with annual coupon payments / residual maturity of 9 years / moving averages",
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:11:06,
1983-01,8.31,
1983-02,8.28,
1983-03,8.26,
1983-04,8.23,
1983-05,8.21,
1983-06,8.19,
1983-07,8.16,
1983-08,8.14,
1983-09,8.12,
1983-10,8.09,
1983-11,8.08,
1983-12,8.06,
1984-01,8.06,
1984-02,8.05,
1984-03,8.04,
1984-04,8.03,
1984-05,8.03,
1984-06,8.03,
1984-07,8.03,
1984-08,8.02,
1984-09,8.01,
1984-10,8.00,
1984-11,7.99,
1984-12,7.98,
1985-01,7.97,
1985-02,7.97,
1985-03,7.96,
1985-04,7.96,
1985-05,7.94,
1985-06,7.93,
1985-07,7.91,
1985-08,7.90,
1985-09,7.88,
1985-10,7.87,
1985-11,7.87,
1985-12,7.86,
1986-01,7.85,
1986-02,7.84,
1986-03,7.83,
1986-04,7.82,
1986-05,7.82,
1986-06,7.81,
1986-07,7.81,
1986-08,7.81,
1986-09,7.80,
1986-10,7.81,
1986-11,7.81,
1986-12,7.81,
1987-01,7.81,
1987-02,7.81,
1987-03,7.81,
1987-04,7.81,
1987-05,7.81,
1987-06,7.81,
1987-07,7.81,
1987-08,7.81,
1987-09,7.82,
1987-10,7.82,
1987-11,7.82,
1987-12,7.81,
1988-01,7.81,
1988-02,7.80,
1988-03,7.79,
1988-04,7.78,
1988-05,7.77,
1988-06,7.76,
1988-07,7.75,
1988-08,7.74,
1988-09,7.74,
1988-10,7.72,
1988-11,7.71,
1988-12,7.69,
1989-01,7.68,
1989-02,7.66,
1989-03,7.64,
1989-04,7.62,
1989-05,7.61,
1989-06,7.60,
1989-07,7.59,
1989-08,7.58,
1989-09,7.57,
1989-10,7.55,
1989-11,7.54,
1989-12,7.53,
1990-01,7.52,
1990-02,7.50,
1990-03,7.49,
1990-04,7.48,
1990-05,7.47,
1990-06,7.45,
1990-07,7.43,
1990-08,7.42,
1990-09,7.41,
1990-10,7.40,
1990-11,7.39,
1990-12,7.39,
1991-01,7.38,
1991-02,7.37,
1991-03,7.36,
1991-04,7.36,
1991-05,7.35,
1991-06,7.35,
1991-07,7.34,
1991-08,7.34,
1991-09,7.34,
1991-10,7.34,
1991-11,7.34,
1991-12,7.35,
1992-01,7.35,
1992-02,7.35,
1992-03,7.35,
1992-04,7.35,
1992-05,7.35,
1992-06,7.35,
1992-07,7.35,
1992-08,7.35,
1992-09,7.34,
1992-10,7.33,
1992-11,7.32,
1992-12,7.31,
1993-01,7.30,
1993-02,7.28,
1993-03,7.27,
1993-04,7.26,
1993-05,7.24,
1993-06,7.23,
1993-07,7.21,
1993-08,7.19,
1993-09,7.18,
1993-10,7.16,
1993-11,7.15,
1993-12,7.14,
1994-01,7.12,
1994-02,7.11,
1994-03,7.10,
1994-04,7.09,
1994-05,7.09,
1994-06,7.09,
1994-07,7.09,
1994-08,7.10,
1994-09,7.11,
1994-10,7.12,
1994-11,7.12,
1994-12,7.13,
1995-01,7.14,
1995-02,7.15,
1995-03,7.16,
1995-04,7.18,
1995-05,7.18,
1995-06,7.19,
1995-07,7.20,
1995-08,7.21,
1995-09,7.21,
1995-10,7.21,
1995-11,7.22,
1995-12,7.22,
1996-01,7.21,
1996-02,7.22,
1996-03,7.22,
1996-04,7.23,
1996-05,7.23,
1996-06,7.24,
1996-07,7.24,
1996-08,7.24,
1996-09,7.23,
1996-10,7.22,
1996-11,7.22,
1996-12,7.21,
1997-01,7.21,
1997-02,7.20,
1997-03,7.20,
1997-04,7.19,
1997-05,7.18,
1997-06,7.17,
1997-07,7.16,
1997-08,7.15,
1997-09,7.14,
1997-10,7.13,
1997-11,7.12,
1997-12,7.11,
1998-01,7.10,
1998-02,7.08,
1998-03,7.06,
1998-04,7.04,
1998-05,7.02,
1998-06,7.00,
1998-07,6.98,
1998-08,6.96,
1998-09,6.93,
1998-10,6.90,
1998-11,6.87,
1998-12,6.84,
1999-01,6.80,
1999-02,6.75,
1999-03,6.71,
1999-04,6.66,
1999-05,6.62,
1999-06,6.58,
1999-07,6.54,
1999-08,6.51,
1999-09,6.47,
1999-10,6.43,
1999-11,6.40,
1999-12,6.36,
2000-01,6.33,
2000-02,6.31,
2000-03,6.28,
2000-04,6.25,
2000-05,6.22,
2000-06,6.19,
2000-07,6.16,
2000-08,6.13,
2000-09,6.10,
2000-10,6.07,
2000-11,6.04,
2000-12,6.01,
2001-01,5.98,
2001-02,5.95,
2001-03,5.92,
