"",BBSF2.M.1.S.I1250.DAC01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.DAC01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Number / Insurance corporations / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:54:05,
1999-01,1,
1999-02,1,
1999-03,1,
1999-04,1,
1999-05,1,
1999-06,1,
1999-07,1,
1999-08,1,
1999-09,1,
1999-10,1,
1999-11,1,
1999-12,1,
2000-01,1,
2000-02,2,
2000-03,2,
2000-04,2,
2000-05,2,
2000-06,2,
2000-07,2,
2000-08,2,
2000-09,2,
2000-10,2,
2000-11,2,
2000-12,2,
2001-01,4,
2001-02,5,
2001-03,5,
2001-04,5,
2001-05,5,
2001-06,5,
2001-07,3,
2001-08,3,
2001-09,3,
2001-10,3,
2001-11,3,
2001-12,3,
2002-01,3,
2002-02,3,
2002-03,3,
2002-04,3,
2002-05,3,
2002-06,3,
2002-07,3,
2002-08,3,
2002-09,3,
2002-10,3,
2002-11,3,
2002-12,3,
2003-01,3,
2003-02,3,
2003-03,3,
2003-04,5,
2003-05,5,
2003-06,5,
2003-07,4,
2003-08,4,
2003-09,4,
2003-10,4,
2003-11,4,
2003-12,3,
2004-01,3,
2004-02,3,
2004-03,3,
2004-04,1,
2004-05,1,
2004-06,1,
2004-07,1,
2004-08,-,Nothing exists
2004-09,-,Nothing exists
2004-10,-,Nothing exists
2004-11,-,Nothing exists
2004-12,-,Nothing exists
2005-01,-,Nothing exists
2005-02,-,Nothing exists
2005-03,-,Nothing exists
2005-04,-,Nothing exists
2005-05,-,Nothing exists
2005-06,-,Nothing exists
2005-07,-,Nothing exists
2005-08,-,Nothing exists
2005-09,-,Nothing exists
2005-10,-,Nothing exists
2005-11,1,
2005-12,1,
2006-01,1,
2006-02,1,
2006-03,1,
2006-04,1,
2006-05,1,
2006-06,1,
2006-07,1,
2006-08,1,
2006-09,1,
2006-10,1,
2006-11,1,
2006-12,1,
2007-01,1,
2007-02,1,
2007-03,1,
2007-04,1,
2007-05,2,
2007-06,2,
2007-07,2,
2007-08,2,
2007-09,2,
2007-10,2,
2007-11,2,
2007-12,2,
2008-01,2,
2008-02,3,
2008-03,3,
2008-04,3,
2008-05,3,
2008-06,3,
2008-07,3,
2008-08,2,
2008-09,2,
2008-10,1,
2008-11,1,
2008-12,1,
2009-01,1,
2009-02,1,
2009-03,1,
2009-04,1,
2009-05,1,
2009-06,1,
2009-07,1,
2009-08,1,
2009-09,1,
2009-10,1,
2009-11,2,
2009-12,2,
2010-01,2,
2010-02,2,
2010-03,2,
2010-04,1,
2010-05,1,
2010-06,1,
2010-07,1,
2010-08,1,
2010-09,8,
2010-10,9,
2010-11,9,
2010-12,10,
2011-01,10,
2011-02,10,
2011-03,11,
2011-04,11,
2011-05,11,
2011-06,11,
2011-07,11,
2011-08,11,
2011-09,11,
2011-10,11,
2011-11,11,
2011-12,11,
2012-01,11,
2012-02,11,
2012-03,11,
2012-04,11,
2012-05,11,
2012-06,11,
2012-07,12,
2012-08,12,
2012-09,12,
2012-10,12,
2012-11,12,
2012-12,12,
2013-01,13,
2013-02,13,
2013-03,13,
2013-04,13,
2013-05,14,
2013-06,14,
2013-07,14,
2013-08,14,
2013-09,14,
2013-10,15,
2013-11,15,
2013-12,15,
2014-01,15,
2014-02,15,
2014-03,15,
2014-04,15,
2014-05,15,
2014-06,15,
2014-07,15,
2014-08,14,
2014-09,14,
2014-10,14,
2014-11,14,
