"",BBAI3.Q.DE.N.V.LE.F29AAA.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AAA.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Deposits up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:23,
2005-10,30128,
2006-01,31238,
2006-04,29348,
2006-07,29671,
2006-10,36560,
2007-01,35162,
2007-04,34521,
2007-07,30108,
2007-10,36698,
2008-01,42218,
2008-04,37586,
2008-07,34464,
2008-10,39922,
2009-01,46119,
2009-04,36924,
2009-07,38657,
2009-10,40235,
2010-01,38305,
2010-04,36561,
2010-07,32962,
2010-10,32560,
2011-01,36429,
2011-04,38316,
2011-07,42403,
2011-10,42639,
2012-01,43342,
2012-04,42819,
2012-07,41771,
2012-10,44153,
2013-01,44400,
2013-04,40165,
2013-07,37378,
2013-10,36147,
2014-01,44270,
2014-04,44567,
2014-07,40199,
