"",BBK01.CEHF02,BBK01.CEHF02_FLAGS
"",longer-term loans debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:10,
1991-01,24.5,
1991-04,25.1,
1991-07,36.5,
1991-10,39.5,
1992-01,24.1,
1992-04,22.6,
1992-07,31.9,
1992-10,19.8,
1993-01,23.8,
1993-04,33.2,
1993-07,37.5,
1993-10,52.8,
1994-01,27.9,
1994-04,27.8,
1994-07,29.9,
1994-10,41.5,
1995-01,13.1,
1995-04,35.7,
1995-07,44.7,
1995-10,61.5,
1996-01,31.6,
1996-04,23.9,
1996-07,40.1,
1996-10,55.6,
1997-01,21.4,
1997-04,38.6,
1997-07,38.3,
1997-10,53.5,
1998-01,26.2,
1998-04,26.2,
1998-07,31.6,
1998-10,69.4,
1999-01,35.2,
1999-04,49.3,
1999-07,38.5,
1999-10,56.0,
2000-01,11.9,
2000-04,37.5,
2000-07,20.6,
2000-10,30.2,
2001-01,6.7,
2001-04,12.0,
2001-07,25.3,
2001-10,23.9,
2002-01,4.5,
2002-04,3.5,
2002-07,-0.5,
2002-10,30.0,
2003-01,-4.1,
2003-04,1.1,
2003-07,5.4,
2003-10,21.8,
2004-01,-7.3,
2004-04,7.3,
2004-07,6.9,
2004-10,4.2,
2005-01,-11.2,
2005-04,5.6,
2005-07,12.0,
2005-10,-2.5,
2006-01,-5.3,
2006-04,7.1,
2006-07,13.2,
2006-10,0.4,
2007-01,-8.2,
2007-04,18.4,
2007-07,21.0,
2007-10,4.8,
2008-01,-0.7,
2008-04,40.4,
2008-07,30.8,
2008-10,9.5,
2009-01,-10.9,
2009-04,15.6,
2009-07,15.4,
2009-10,7.5,
2010-01,-7.6,
2010-04,17.4,
2010-07,7.9,
2010-10,3.5,
2011-01,-5.4,
2011-04,-1.6,
2011-07,19.1,
2011-10,17.3,
2012-01,-2.4,
2012-04,7.2,
2012-07,8.5,
2012-10,-0.4,
2013-01,0.1,
2013-04,3.6,
2013-07,-3.5,
2013-10,3.1,
2014-01,3.0,
