"",BBK01.CEBX0I,BBK01.CEBX0I_FLAGS
"",Prepayments of insurance premiums and reserves for outstanding claims debtor: Insurance corporations                     creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:11,
1991-01,36.1,
1991-04,36.1,
1991-07,36.0,
1991-10,36.1,
1992-01,41.9,
1992-04,41.8,
1992-07,41.3,
1992-10,39.7,
1993-01,43.8,
1993-04,45.4,
1993-07,45.3,
1993-10,43.2,
1994-01,42.9,
1994-04,47.2,
1994-07,47.7,
1994-10,47.9,
1995-01,52.3,
1995-04,52.3,
1995-07,52.9,
1995-10,52.3,
1996-01,58.3,
1996-04,58.7,
1996-07,58.7,
1996-10,56.6,
1997-01,61.1,
1997-04,61.0,
1997-07,61.1,
1997-10,59.4,
1998-01,63.6,
1998-04,63.4,
1998-07,63.4,
1998-10,61.6,
1999-01,62.5,
1999-04,63.3,
1999-07,64.3,
1999-10,64.2,
2000-01,66.2,
2000-04,66.9,
2000-07,67.7,
2000-10,65.2,
2001-01,67.2,
2001-04,68.0,
2001-07,69.8,
2001-10,68.1,
2002-01,71.3,
2002-04,72.1,
2002-07,73.1,
2002-10,70.4,
2003-01,71.4,
2003-04,72.5,
2003-07,73.1,
2003-10,72.2,
2004-01,73.5,
2004-04,73.7,
2004-07,74.3,
2004-10,74.9,
2005-01,76.6,
2005-04,77.0,
2005-07,78.4,
2005-10,77.6,
2006-01,78.4,
2006-04,79.3,
2006-07,80.1,
2006-10,79.7,
2007-01,78.3,
2007-04,76.9,
2007-07,75.5,
2007-10,70.7,
2008-01,70.8,
2008-04,70.9,
2008-07,71.0,
2008-10,71.8,
2009-01,71.9,
2009-04,71.9,
2009-07,71.9,
2009-10,72.1,
2010-01,72.1,
2010-04,72.0,
2010-07,71.8,
2010-10,70.8,
2011-01,71.3,
2011-04,71.7,
2011-07,72.1,
2011-10,71.4,
2012-01,72.0,
2012-04,72.6,
2012-07,73.2,
2012-10,73.7,
2013-01,74.5,
2013-04,75.2,
2013-07,75.8,
2013-10,76.5,
2014-01,77.3,
