"",BBAI3.Q.DE.N.V.LE.F29AAA.LV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AAA.LV.A1.S.1.N.E.Z_FLAGS
"",Assets / Life insurance companies / Deposits up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:24,
2005-10,16458,
2006-01,16664,
2006-04,15567,
2006-07,15642,
2006-10,19286,
2007-01,18304,
2007-04,17984,
2007-07,15637,
2007-10,19132,
2008-01,21490,
2008-04,19196,
2008-07,17465,
2008-10,20065,
2009-01,22954,
2009-04,18443,
2009-07,19241,
2009-10,19712,
2010-01,18721,
2010-04,17941,
2010-07,16116,
2010-10,15658,
2011-01,17368,
2011-04,18269,
2011-07,20174,
2011-10,20161,
2012-01,20358,
2012-04,20032,
2012-07,19411,
2012-10,20556,
2013-01,20496,
2013-04,18422,
2013-07,17011,
2013-10,16359,
2014-01,20063,
2014-04,19913,
2014-07,17945,
