"",BBQFS.M.DE.0000.VOL_IMP_DAX._X.0000,BBQFS.M.DE.0000.VOL_IMP_DAX._X.0000_FLAGS
"",Implied volatility on the German stock market (FSR 2014),
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-07 17:09:20,
1999-01,37.71,
1999-02,31.42,
1999-03,26.73,
1999-04,24.02,
1999-05,25.54,
1999-06,24.47,
1999-07,26.14,
1999-08,25.96,
1999-09,27.29,
1999-10,20.94,
1999-11,23.89,
1999-12,33.40,
2000-01,33.52,
2000-02,30.40,
2000-03,27.47,
2000-04,24.95,
2000-05,24.88,
2000-06,20.96,
2000-07,20.89,
2000-08,18.62,
2000-09,21.15,
2000-10,22.22,
2000-11,26.96,
2000-12,23.68,
2001-01,20.07,
2001-02,22.00,
2001-03,27.54,
2001-04,20.65,
2001-05,20.46,
2001-06,19.60,
2001-07,20.86,
2001-08,26.30,
2001-09,41.77,
2001-10,41.44,
2001-11,31.06,
2001-12,28.34,
2002-01,25.97,
2002-02,25.15,
2002-03,20.01,
2002-04,25.14,
2002-05,26.28,
2002-06,35.95,
2002-07,49.43,
2002-08,47.72,
2002-09,60.03,
2002-10,49.25,
2002-11,37.46,
2002-12,51.13,
2003-01,46.52,
2003-02,47.42,
2003-03,48.79,
2003-04,34.78,
2003-05,32.37,
2003-06,29.80,
2003-07,26.57,
2003-08,26.17,
2003-09,35.92,
2003-10,24.53,
2003-11,25.86,
2003-12,22.33,
2004-01,22.72,
2004-02,20.53,
2004-03,24.58,
2004-04,24.54,
2004-05,22.68,
2004-06,19.68,
2004-07,19.11,
2004-08,20.57,
2004-09,18.22,
2004-10,18.98,
2004-11,16.82,
2004-12,14.52,
2005-01,13.17,
2005-02,13.02,
2005-03,13.14,
2005-04,16.87,
2005-05,13.69,
2005-06,12.32,
2005-07,13.43,
2005-08,16.38,
2005-09,16.56,
2005-10,18.57,
2005-11,14.77,
2005-12,15.09,
2006-01,16.95,
2006-02,16.05,
2006-03,14.40,
2006-04,15.60,
2006-05,24.25,
2006-06,18.50,
2006-07,19.28,
2006-08,17.28,
2006-09,16.45,
2006-10,14.69,
2006-11,16.04,
2006-12,14.65,
2007-01,15.83,
2007-02,18.81,
2007-03,17.22,
2007-04,18.25,
2007-05,16.34,
2007-06,19.20,
2007-07,24.86,
2007-08,22.60,
2007-09,18.36,
2007-10,18.79,
2007-11,19.22,
2007-12,17.41,
2008-01,29.35,
2008-02,28.39,
2008-03,25.41,
2008-04,19.66,
2008-05,19.02,
2008-06,23.70,
2008-07,22.29,
2008-08,20.48,
2008-09,35.78,
2008-10,64.68,
2008-11,51.77,
2008-12,41.70,
2009-01,43.72,
2009-02,42.01,
2009-03,40.37,
2009-04,34.85,
2009-05,31.54,
2009-06,29.33,
2009-07,27.64,
2009-08,29.51,
2009-09,26.63,
2009-10,30.81,
2009-11,29.58,
2009-12,22.73,
2010-01,25.23,
2010-02,21.72,
2010-03,18.50,
2010-04,23.29,
2010-05,28.39,
2010-06,28.28,
2010-07,21.81,
2010-08,24.51,
2010-09,21.24,
2010-10,20.01,
2010-11,25.28,
2010-12,19.96,
2011-01,17.76,
2011-02,19.51,
2011-03,19.61,
2011-04,16.54,
2011-05,18.84,
2011-06,17.99,
2011-07,22.72,
2011-08,34.90,
2011-09,47.05,
2011-10,33.69,
2011-11,33.86,
2011-12,30.39,
2012-01,25.80,
2012-02,23.16,
2012-03,20.96,
2012-04,23.25,
2012-05,30.35,
2012-06,22.83,
2012-07,24.49,
2012-08,23.70,
2012-09,20.25,
2012-10,18.91,
2012-11,15.40,
2012-12,18.14,
2013-01,15.25,
2013-02,17.51,
2013-03,16.65,
2013-04,17.67,
2013-05,19.47,
2013-06,20.55,
2013-07,18.58,
2013-08,20.04,
2013-09,17.59,
2013-10,14.91,
2013-11,13.91,
2013-12,14.84,
2014-01,20.19,
2014-02,16.41,
2014-03,17.36,
2014-04,17.04,
2014-05,15.54,
2014-06,14.75,
2014-07,18.24,
2014-08,17.76,
2014-09,17.34,
2014-10,19.76,
"",Source: Bloomberg,
"","Methodology: The implied volatility shows the fluctuations of the DAX in an annualised form, derived from market prices of options.",
