"",BBK01.CEFEKN,BBK01.CEFEKN_FLAGS
"",short-term loans  debtor: Insurance corporations               creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:33,
1999-01,10.2,
1999-04,10.7,
1999-07,11.1,
1999-10,11.3,
2000-01,12.7,
2000-04,12.8,
2000-07,12.8,
2000-10,13.0,
2001-01,14.0,
2001-04,14.0,
2001-07,14.3,
2001-10,15.0,
2002-01,16.0,
2002-04,17.6,
2002-07,20.2,
2002-10,21.0,
2003-01,21.8,
2003-04,21.2,
2003-07,21.5,
2003-10,20.5,
2004-01,22.4,
2004-04,23.3,
2004-07,24.0,
2004-10,23.3,
2005-01,16.0,
2005-04,15.7,
2005-07,21.1,
2005-10,21.6,
2006-01,20.9,
2006-04,20.9,
2006-07,17.3,
2006-10,18.0,
2007-01,14.5,
2007-04,16.1,
2007-07,16.0,
2007-10,15.5,
2008-01,14.3,
2008-04,14.1,
2008-07,14.3,
2008-10,12.9,
2009-01,12.1,
2009-04,12.0,
2009-07,11.5,
2009-10,11.5,
2010-01,12.2,
2010-04,12.7,
2010-07,13.8,
2010-10,14.9,
2011-01,14.4,
2011-04,14.3,
2011-07,14.4,
2011-10,14.7,
2012-01,15.0,
2012-04,15.6,
2012-07,16.1,
2012-10,16.0,
2013-01,16.4,
2013-04,16.8,
2013-07,13.8,
2013-10,13.8,
2014-01,14.3,
2014-04,14.5,
2014-07,14.7,
