"",BBAI3.Q.DE.N.V.LE.F51.S125.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F51.S125.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations and pension funds (ICPFs) / Shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:54,
2005-10,186032,
2006-01,180405,
2006-04,165951,
2006-07,193706,
2006-10,210017,
2007-01,219230,
2007-04,236304,
2007-07,225593,
2007-10,214847,
2008-01,192809,
2008-04,178405,
2008-07,161089,
2008-10,136019,
2009-01,109470,
2009-04,109989,
2009-07,134290,
2009-10,136216,
2010-01,146810,
2010-04,129899,
2010-07,128449,
2010-10,137616,
2011-01,146050,
2011-04,137808,
2011-07,108328,
2011-10,111799,
2012-01,134634,
2012-04,123008,
2012-07,141061,
2012-10,158942,
2013-01,169697,
2013-04,172073,
2013-07,176978,
2013-10,197652,
2014-01,191309,
2014-04,184053,
2014-07,187989,
