"",BBAI3.Q.DE.N.V.LE.N.LV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.N.LV.A1.S.1.N.E.Z_FLAGS
"",Assets / Life insurance companies / Total non-financial assets / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:31,
2005-10,26984,
2006-01,26795,
2006-04,26630,
2006-07,26613,
2006-10,26502,
2007-01,24924,
2007-04,24234,
2007-07,24142,
2007-10,23496,
2008-01,22136,
2008-04,22484,
2008-07,22426,
2008-10,22633,
2009-01,22695,
2009-04,22606,
2009-07,22533,
2009-10,21937,
2010-01,22354,
2010-04,22627,
2010-07,23496,
2010-10,24451,
2011-01,24404,
2011-04,24121,
2011-07,24017,
2011-10,25037,
2012-01,25175,
2012-04,25594,
2012-07,25835,
2012-10,26053,
2013-01,26253,
2013-04,26634,
2013-07,27667,
2013-10,28218,
2014-01,28423,
2014-04,28653,
2014-07,29002,
