"",BBEX3.D.ISK.EUR.CA.AA.000,BBEX3.D.ISK.EUR.CA.AA.000_FLAGS
2007-11-12,.,No value available
2007-11-13,.,No value available
2007-11-14,.,No value available
2007-11-15,88.33,
2007-11-16,.,No value available
2007-11-17,.,No value available
2007-11-18,.,No value available
2007-11-19,.,No value available
2007-11-20,.,No value available
2007-11-21,.,No value available
2007-11-22,.,No value available
2007-11-23,.,No value available
2007-11-24,.,No value available
2007-11-25,.,No value available
2007-11-26,.,No value available
2007-11-27,.,No value available
2007-11-28,.,No value available
2007-11-29,.,No value available
2007-11-30,89.76,
2007-12-01,.,No value available
2007-12-02,.,No value available
2007-12-03,.,No value available
2007-12-04,.,No value available
2007-12-05,.,No value available
2007-12-06,.,No value available
2007-12-07,.,No value available
2007-12-08,.,No value available
2007-12-09,.,No value available
2007-12-10,.,No value available
2007-12-11,.,No value available
2007-12-12,.,No value available
2007-12-13,.,No value available
2007-12-14,90.16,
2007-12-15,.,No value available
2007-12-16,.,No value available
2007-12-17,.,No value available
2007-12-18,.,No value available
2007-12-19,.,No value available
2007-12-20,.,No value available
2007-12-21,.,No value available
2007-12-22,.,No value available
2007-12-23,.,No value available
2007-12-24,.,No value available
2007-12-25,.,No value available
2007-12-26,.,No value available
2007-12-27,.,No value available
2007-12-28,.,No value available
2007-12-29,.,No value available
2007-12-30,.,No value available
2007-12-31,90.95,
2008-01-01,.,No value available
2008-01-02,.,No value available
2008-01-03,92.13,
2008-01-04,90.15,
2008-01-05,.,No value available
2008-01-06,.,No value available
2008-01-07,90.68,
2008-01-08,90.81,
2008-01-09,92.31,
2008-01-10,91.72,
2008-01-11,92.65,
2008-01-12,.,No value available
2008-01-13,.,No value available
2008-01-14,94.64,
2008-01-15,94.80,
2008-01-16,96.03,
2008-01-17,95.41,
2008-01-18,95.14,
2008-01-19,.,No value available
2008-01-20,.,No value available
2008-01-21,95.34,
2008-01-22,96.99,
2008-01-23,96.57,
2008-01-24,96.99,
2008-01-25,95.44,
2008-01-26,.,No value available
2008-01-27,.,No value available
2008-01-28,95.51,
2008-01-29,95.19,
2008-01-30,95.02,
2008-01-31,96.38,
2008-02-01,95.97,
2008-02-02,.,No value available
2008-02-03,.,No value available
2008-02-04,95.53,
2008-02-05,95.53,
2008-02-06,96.13,
2008-02-07,97.43,
2008-02-08,97.53,
2008-02-09,.,No value available
2008-02-10,.,No value available
2008-02-11,99.17,
2008-02-12,99.19,
2008-02-13,97.58,
2008-02-14,97.43,
2008-02-15,97.71,
2008-02-16,.,No value available
2008-02-17,.,No value available
2008-02-18,97.59,
2008-02-19,98.09,
2008-02-20,98.36,
2008-02-21,98.59,
2008-02-22,98.99,
2008-02-23,.,No value available
2008-02-24,.,No value available
2008-02-25,98.41,
2008-02-26,97.84,
2008-02-27,98.13,
2008-02-28,98.52,
2008-02-29,99.52,
2008-03-01,.,No value available
2008-03-02,.,No value available
2008-03-03,100.49,
2008-03-04,100.26,
2008-03-05,100.30,
2008-03-06,101.31,
2008-03-07,104.47,
2008-03-08,.,No value available
2008-03-09,.,No value available
2008-03-10,104.87,
2008-03-11,104.98,
2008-03-12,105.12,
2008-03-13,109.17,
2008-03-14,108.56,
2008-03-15,.,No value available
2008-03-16,.,No value available
2008-03-17,118.02,
2008-03-18,122.37,
2008-03-19,122.17,
2008-03-20,.,No value available
2008-03-21,.,No value available
2008-03-22,.,No value available
2008-03-23,.,No value available
2008-03-24,.,No value available
2008-03-25,116.21,
2008-03-26,120.01,
2008-03-27,117.42,
2008-03-28,122.63,
2008-03-29,.,No value available
2008-03-30,.,No value available
2008-03-31,120.94,
2008-04-01,120.34,
2008-04-02,117.23,
2008-04-03,116.24,
2008-04-04,116.70,
2008-04-05,.,No value available
2008-04-06,.,No value available
2008-04-07,113.26,
2008-04-08,114.09,
2008-04-09,112.85,
2008-04-10,114.53,
2008-04-11,115.32,
2008-04-12,.,No value available
2008-04-13,.,No value available
2008-04-14,117.16,
2008-04-15,117.82,
2008-04-16,117.87,
2008-04-17,117.53,
2008-04-18,119.66,
2008-04-19,.,No value available
2008-04-20,.,No value available
2008-04-21,118.96,
2008-04-22,118.01,
2008-04-23,117.11,
2008-04-24,.,No value available
2008-04-25,114.69,
2008-04-26,.,No value available
2008-04-27,.,No value available
2008-04-28,114.25,
2008-04-29,114.90,
2008-04-30,115.49,
2008-05-01,.,No value available
2008-05-02,115.60,
2008-05-03,.,No value available
2008-05-04,.,No value available
2008-05-05,118.02,
2008-05-06,119.13,
2008-05-07,118.36,
2008-05-08,118.11,
2008-05-09,122.06,
2008-05-10,.,No value available
2008-05-11,.,No value available
2008-05-12,.,No value available
2008-05-13,121.69,
2008-05-14,122.65,
2008-05-15,119.82,
2008-05-16,114.22,
2008-05-17,.,No value available
2008-05-18,.,No value available
2008-05-19,113.33,
2008-05-20,115.27,
2008-05-21,115.40,
2008-05-22,114.43,
2008-05-23,113.23,
2008-05-24,.,No value available
2008-05-25,.,No value available
2008-05-26,113.38,
2008-05-27,113.54,
2008-05-28,114.76,
2008-05-29,114.74,
2008-05-30,115.42,
2008-05-31,.,No value available
2008-06-01,.,No value available
2008-06-02,116.54,
2008-06-03,118.71,
2008-06-04,119.30,
2008-06-05,118.63,
2008-06-06,118.03,
2008-06-07,.,No value available
2008-06-08,.,No value available
2008-06-09,118.78,
2008-06-10,118.43,
2008-06-11,120.13,
2008-06-12,120.67,
2008-06-13,121.44,
2008-06-14,.,No value available
2008-06-15,.,No value available
2008-06-16,121.80,
2008-06-17,.,No value available
2008-06-18,123.87,
2008-06-19,126.89,
2008-06-20,125.16,
2008-06-21,.,No value available
2008-06-22,.,No value available
2008-06-23,127.39,
2008-06-24,131.07,
2008-06-25,128.76,
2008-06-26,126.27,
2008-06-27,128.07,
2008-06-28,.,No value available
2008-06-29,.,No value available
2008-06-30,124.98,
2008-07-01,125.31,
2008-07-02,123.76,
2008-07-03,124.40,
2008-07-04,120.89,
2008-07-05,.,No value available
2008-07-06,.,No value available
2008-07-07,120.01,
2008-07-08,120.70,
2008-07-09,118.64,
2008-07-10,118.33,
2008-07-11,119.64,
2008-07-12,.,No value available
2008-07-13,.,No value available
2008-07-14,121.33,
2008-07-15,124.08,
2008-07-16,123.81,
2008-07-17,121.46,
2008-07-18,125.22,
2008-07-19,.,No value available
2008-07-20,.,No value available
2008-07-21,123.95,
2008-07-22,125.41,
2008-07-23,124.68,
2008-07-24,125.69,
2008-07-25,127.44,
2008-07-26,.,No value available
2008-07-27,.,No value available
2008-07-28,129.22,
2008-07-29,126.14,
2008-07-30,124.35,
2008-07-31,123.48,
2008-08-01,123.18,
2008-08-02,.,No value available
2008-08-03,.,No value available
2008-08-04,.,No value available
2008-08-05,122.35,
2008-08-06,121.58,
2008-08-07,122.76,
2008-08-08,124.72,
2008-08-09,.,No value available
2008-08-10,.,No value available
2008-08-11,121.95,
2008-08-12,121.79,
2008-08-13,122.00,
2008-08-14,120.43,
2008-08-15,120.71,
2008-08-16,.,No value available
2008-08-17,.,No value available
2008-08-18,120.13,
2008-08-19,120.86,
2008-08-20,121.38,
2008-08-21,121.62,
2008-08-22,120.57,
2008-08-23,.,No value available
2008-08-24,.,No value available
2008-08-25,120.31,
2008-08-26,121.42,
2008-08-27,121.31,
2008-08-28,121.46,
2008-08-29,121.75,
2008-08-30,.,No value available
2008-08-31,.,No value available
2008-09-01,122.47,
2008-09-02,121.68,
2008-09-03,122.41,
2008-09-04,123.02,
2008-09-05,125.09,
2008-09-06,.,No value available
2008-09-07,.,No value available
2008-09-08,123.57,
2008-09-09,126.17,
2008-09-10,128.09,
2008-09-11,126.43,
2008-09-12,127.52,
2008-09-13,.,No value available
2008-09-14,.,No value available
2008-09-15,129.64,
2008-09-16,130.15,
2008-09-17,131.13,
2008-09-18,135.32,
2008-09-19,131.29,
2008-09-20,.,No value available
2008-09-21,.,No value available
2008-09-22,130.05,
2008-09-23,138.03,
2008-09-24,139.32,
2008-09-25,135.80,
2008-09-26,140.72,
2008-09-27,.,No value available
2008-09-28,.,No value available
2008-09-29,142.45,
2008-09-30,145.08,
2008-10-01,152.62,
2008-10-02,154.39,
2008-10-03,155.65,
2008-10-04,.,No value available
2008-10-05,.,No value available
2008-10-06,154.91,
2008-10-07,135.83,
2008-10-08,172.16,
2008-10-09,143.87,
2008-10-10,149.74,
2008-10-11,.,No value available
2008-10-12,.,No value available
2008-10-13,149.79,
2008-10-14,149.96,
2008-10-15,149.58,
2008-10-16,150.08,
2008-10-17,150.58,
2008-10-18,.,No value available
2008-10-19,.,No value available
2008-10-20,150.08,
2008-10-21,150.08,
2008-10-22,150.08,
2008-10-23,150.58,
2008-10-24,151.58,
2008-10-25,.,No value available
2008-10-26,.,No value available
2008-10-27,151.58,
2008-10-28,152.07,
2008-10-29,152.07,
2008-10-30,152.57,
2008-10-31,153.07,
2008-11-01,.,No value available
2008-11-02,.,No value available
2008-11-03,159.55,
2008-11-04,163.54,
2008-11-05,163.54,
2008-11-06,165.54,
2008-11-07,165.54,
2008-11-08,.,No value available
2008-11-09,.,No value available
2008-11-10,165.54,
2008-11-11,170.52,
2008-11-12,170.52,
2008-11-13,170.52,
2008-11-14,170.52,
2008-11-15,.,No value available
2008-11-16,.,No value available
2008-11-17,171.02,
2008-11-18,173.51,
2008-11-19,175.51,
2008-11-20,175.51,
2008-11-21,176.51,
2008-11-22,.,No value available
2008-11-23,.,No value available
2008-11-24,177.00,
2008-11-25,179.50,
2008-11-26,180.50,
2008-11-27,181.99,
2008-11-28,181.99,
2008-11-29,.,No value available
2008-11-30,.,No value available
2008-12-01,186.48,
2008-12-02,186.48,
2008-12-03,186.48,
2008-12-04,182.20,
2008-12-05,161.09,
2008-12-06,.,No value available
2008-12-07,.,No value available
2008-12-08,147.48,
2008-12-09,143.36,
2008-12-10,147.47,
2008-12-11,151.45,
2008-12-12,155.33,
2008-12-13,.,No value available
2008-12-14,.,No value available
2008-12-15,155.66,
2008-12-16,156.00,
2008-12-17,160.69,
2008-12-18,163.45,
2008-12-19,169.72,
2008-12-20,.,No value available
2008-12-21,.,No value available
2008-12-22,169.95,
2008-12-23,173.12,
2008-12-24,.,No value available
2008-12-25,.,No value available
2008-12-26,.,No value available
2008-12-27,.,No value available
2008-12-28,.,No value available
2008-12-29,179.35,
2008-12-30,171.01,
2008-12-31,169.50,
2009-01-01,.,No value available
2009-01-02,168.69,
2009-01-03,.,No value available
2009-01-04,.,No value available
2009-01-05,166.91,
2009-01-06,165.90,
2009-01-07,166.69,
2009-01-08,167.74,
2009-01-09,169.63,
2009-01-10,.,No value available
2009-01-11,.,No value available
2009-01-12,167.70,
2009-01-13,167.52,
2009-01-14,166.65,
2009-01-15,168.61,
2009-01-16,168.22,
2009-01-17,.,No value available
2009-01-18,.,No value available
2009-01-19,168.19,
2009-01-20,166.52,
2009-01-21,166.09,
2009-01-22,166.03,
2009-01-23,160.97,
2009-01-24,.,No value available
2009-01-25,.,No value available
2009-01-26,158.61,
2009-01-27,157.58,
2009-01-28,155.19,
2009-01-29,148.26,
2009-01-30,146.15,
2009-01-31,.,No value available
2009-02-01,.,No value available
2009-02-02,146.60,
2009-02-03,149.32,
2009-02-04,149.35,
2009-02-05,147.60,
2009-02-06,145.53,
2009-02-07,.,No value available
2009-02-08,.,No value available
2009-02-09,144.50,
2009-02-10,144.85,
2009-02-11,145.39,
2009-02-12,146.97,
2009-02-13,147.49,
2009-02-14,.,No value available
2009-02-15,.,No value available
2009-02-16,146.51,
2009-02-17,143.85,
2009-02-18,143.23,
2009-02-19,143.17,
2009-02-20,143.30,
2009-02-21,.,No value available
2009-02-22,.,No value available
2009-02-23,143.95,
2009-02-24,143.98,
2009-02-25,143.70,
2009-02-26,142.98,
2009-02-27,142.79,
2009-02-28,.,No value available
2009-03-01,.,No value available
2009-03-02,144.09,
2009-03-03,144.41,
2009-03-04,142.81,
2009-03-05,141.54,
2009-03-06,142.76,
2009-03-07,.,No value available
2009-03-08,.,No value available
2009-03-09,142.34,
2009-03-10,142.18,
2009-03-11,142.07,
2009-03-12,142.08,
2009-03-13,144.76,
2009-03-14,.,No value available
2009-03-15,.,No value available
2009-03-16,145.93,
2009-03-17,149.28,
2009-03-18,149.70,
2009-03-19,152.50,
2009-03-20,153.85,
2009-03-21,.,No value available
2009-03-22,.,No value available
2009-03-23,153.82,
2009-03-24,154.14,
2009-03-25,154.14,
2009-03-26,159.51,
2009-03-27,160.07,
2009-03-28,.,No value available
2009-03-29,.,No value available
2009-03-30,159.58,
2009-03-31,162.63,
2009-04-01,160.99,
2009-04-02,158.33,
2009-04-03,159.52,
2009-04-04,.,No value available
2009-04-05,.,No value available
2009-04-06,161.69,
2009-04-07,166.41,
2009-04-08,167.71,
2009-04-09,.,No value available
2009-04-10,.,No value available
2009-04-11,.,No value available
2009-04-12,.,No value available
2009-04-13,.,No value available
2009-04-14,169.01,
2009-04-15,168.90,
2009-04-16,166.97,
2009-04-17,167.38,
2009-04-18,.,No value available
2009-04-19,.,No value available
2009-04-20,167.17,
2009-04-21,167.15,
2009-04-22,168.29,
2009-04-23,.,No value available
2009-04-24,171.78,
2009-04-25,.,No value available
2009-04-26,.,No value available
2009-04-27,170.78,
2009-04-28,170.06,
2009-04-29,169.38,
2009-04-30,168.92,
2009-05-01,.,No value available
2009-05-02,.,No value available
2009-05-03,.,No value available
2009-05-04,168.60,
2009-05-05,168.11,
2009-05-06,167.79,
2009-05-07,169.10,
2009-05-08,167.61,
2009-05-09,.,No value available
2009-05-10,.,No value available
2009-05-11,169.90,
2009-05-12,170.17,
2009-05-13,171.48,
2009-05-14,172.03,
2009-05-15,171.18,
2009-05-16,.,No value available
2009-05-17,.,No value available
2009-05-18,169.38,
2009-05-19,173.11,
2009-05-20,174.00,
2009-05-21,.,No value available
2009-05-22,176.63,
2009-05-23,.,No value available
2009-05-24,.,No value available
2009-05-25,177.01,
2009-05-26,176.67,
2009-05-27,175.03,
2009-05-28,174.99,
2009-05-29,173.38,
2009-05-30,.,No value available
2009-05-31,.,No value available
2009-06-01,.,No value available
2009-06-02,171.63,
2009-06-03,171.92,
2009-06-04,173.48,
2009-06-05,173.24,
2009-06-06,.,No value available
2009-06-07,.,No value available
2009-06-08,175.15,
2009-06-09,176.94,
2009-06-10,180.03,
2009-06-11,179.50,
2009-06-12,179.10,
2009-06-13,.,No value available
2009-06-14,.,No value available
2009-06-15,177.23,
2009-06-16,176.23,
2009-06-17,.,No value available
2009-06-18,177.10,
2009-06-19,178.68,
2009-06-20,.,No value available
2009-06-21,.,No value available
2009-06-22,178.35,
2009-06-23,178.56,
2009-06-24,179.42,
2009-06-25,178.31,
2009-06-26,178.68,
2009-06-27,.,No value available
2009-06-28,.,No value available
2009-06-29,178.80,
2009-06-30,178.91,
2009-07-01,178.01,
2009-07-02,177.90,
2009-07-03,176.76,
2009-07-04,.,No value available
2009-07-05,.,No value available
2009-07-06,176.72,
2009-07-07,177.45,
2009-07-08,180.12,
2009-07-09,179.58,
2009-07-10,179.39,
2009-07-11,.,No value available
2009-07-12,.,No value available
2009-07-13,178.46,
2009-07-14,178.32,
2009-07-15,179.09,
2009-07-16,179.07,
2009-07-17,179.26,
2009-07-18,.,No value available
2009-07-19,.,No value available
2009-07-20,179.68,
2009-07-21,178.85,
2009-07-22,178.27,
2009-07-23,179.31,
2009-07-24,178.68,
2009-07-25,.,No value available
2009-07-26,.,No value available
2009-07-27,178.84,
2009-07-28,178.97,
2009-07-29,180.52,
2009-07-30,181.44,
2009-07-31,180.31,
2009-08-01,.,No value available
2009-08-02,.,No value available
2009-08-03,.,No value available
2009-08-04,180.18,
2009-08-05,179.66,
2009-08-06,179.64,
2009-08-07,179.96,
2009-08-08,.,No value available
2009-08-09,.,No value available
2009-08-10,179.01,
2009-08-11,179.26,
2009-08-12,180.50,
2009-08-13,179.54,
2009-08-14,179.63,
2009-08-15,.,No value available
2009-08-16,.,No value available
2009-08-17,179.48,
2009-08-18,181.01,
2009-08-19,181.82,
2009-08-20,182.96,
2009-08-21,182.16,
2009-08-22,.,No value available
2009-08-23,.,No value available
2009-08-24,182.48,
2009-08-25,182.85,
2009-08-26,184.45,
2009-08-27,182.86,
2009-08-28,180.02,
2009-08-29,.,No value available
2009-08-30,.,No value available
2009-08-31,178.94,
2009-09-01,178.47,
2009-09-02,178.94,
2009-09-03,180.76,
2009-09-04,180.25,
2009-09-05,.,No value available
2009-09-06,.,No value available
2009-09-07,180.16,
2009-09-08,180.17,
2009-09-09,179.99,
2009-09-10,180.51,
2009-09-11,180.51,
2009-09-12,.,No value available
2009-09-13,.,No value available
2009-09-14,180.88,
2009-09-15,180.94,
2009-09-16,180.97,
2009-09-17,181.54,
2009-09-18,181.19,
2009-09-19,.,No value available
2009-09-20,.,No value available
2009-09-21,181.22,
2009-09-22,181.99,
2009-09-23,182.10,
2009-09-24,182.60,
2009-09-25,182.94,
2009-09-26,.,No value available
2009-09-27,.,No value available
2009-09-28,182.00,
2009-09-29,181.46,
2009-09-30,181.10,
2009-10-01,180.43,
2009-10-02,181.64,
2009-10-03,.,No value available
2009-10-04,.,No value available
2009-10-05,181.57,
2009-10-06,181.79,
2009-10-07,182.73,
2009-10-08,183.84,
2009-10-09,184.11,
2009-10-10,.,No value available
2009-10-11,.,No value available
2009-10-12,183.80,
2009-10-13,183.90,
2009-10-14,183.56,
2009-10-15,183.07,
2009-10-16,184.15,
2009-10-17,.,No value available
2009-10-18,.,No value available
2009-10-19,184.00,
2009-10-20,183.32,
2009-10-21,182.68,
2009-10-22,182.45,
2009-10-23,183.65,
2009-10-24,.,No value available
2009-10-25,.,No value available
2009-10-26,183.18,
2009-10-27,184.06,
2009-10-28,184.07,
2009-10-29,183.96,
2009-10-30,184.03,
2009-10-31,.,No value available
2009-11-01,.,No value available
2009-11-02,184.49,
2009-11-03,182.33,
2009-11-04,183.50,
2009-11-05,184.35,
2009-11-06,185.59,
2009-11-07,.,No value available
2009-11-08,.,No value available
2009-11-09,185.01,
2009-11-10,185.58,
2009-11-11,186.13,
2009-11-12,185.94,
2009-11-13,185.48,
2009-11-14,.,No value available
2009-11-15,.,No value available
2009-11-16,182.99,
2009-11-17,183.44,
2009-11-18,183.95,
2009-11-19,183.98,
2009-11-20,183.60,
2009-11-21,.,No value available
2009-11-22,.,No value available
2009-11-23,183.00,
2009-11-24,183.22,
2009-11-25,183.25,
2009-11-26,183.79,
2009-11-27,183.77,
2009-11-28,.,No value available
2009-11-29,.,No value available
2009-11-30,183.25,
2009-12-01,183.19,
2009-12-02,182.77,
2009-12-03,183.00,
2009-12-04,182.97,
2009-12-05,.,No value available
2009-12-06,.,No value available
2009-12-07,182.92,
2009-12-08,182.99,
2009-12-09,182.76,
2009-12-10,182.71,
2009-12-11,182.77,
2009-12-12,.,No value available
2009-12-13,.,No value available
2009-12-14,183.54,
2009-12-15,183.45,
2009-12-16,183.26,
2009-12-17,182.66,
2009-12-18,182.92,
2009-12-19,.,No value available
2009-12-20,.,No value available
2009-12-21,183.01,
2009-12-22,182.97,
2009-12-23,181.94,
2009-12-24,.,No value available
2009-12-25,.,No value available
2009-12-26,.,No value available
2009-12-27,.,No value available
2009-12-28,181.00,
2009-12-29,180.46,
2009-12-30,179.98,
2009-12-31,179.38,
2010-01-01,.,No value available
2010-01-02,.,No value available
2010-01-03,.,No value available
2010-01-04,179.34,
2010-01-05,179.46,
2010-01-06,179.44,
2010-01-07,179.69,
2010-01-08,180.03,
2010-01-09,.,No value available
2010-01-10,.,No value available
2010-01-11,179.91,
2010-01-12,179.50,
2010-01-13,179.71,
2010-01-14,179.79,
2010-01-15,179.47,
2010-01-16,.,No value available
2010-01-17,.,No value available
2010-01-18,179.24,
2010-01-19,179.15,
2010-01-20,179.14,
2010-01-21,178.91,
2010-01-22,179.03,
2010-01-23,.,No value available
2010-01-24,.,No value available
2010-01-25,179.04,
2010-01-26,179.05,
2010-01-27,179.03,
2010-01-28,178.91,
2010-01-29,177.74,
2010-01-30,.,No value available
2010-01-31,.,No value available
2010-02-01,177.12,
2010-02-02,177.14,
2010-02-03,176.30,
2010-02-04,176.15,
2010-02-05,175.70,
2010-02-06,.,No value available
2010-02-07,.,No value available
2010-02-08,175.78,
2010-02-09,175.81,
2010-02-10,175.83,
2010-02-11,175.79,
2010-02-12,175.04,
2010-02-13,.,No value available
2010-02-14,.,No value available
2010-02-15,175.05,
2010-02-16,174.04,
2010-02-17,174.36,
2010-02-18,173.81,
2010-02-19,173.88,
2010-02-20,.,No value available
2010-02-21,.,No value available
2010-02-22,173.90,
2010-02-23,174.04,
2010-02-24,173.83,
2010-02-25,173.80,
2010-02-26,174.20,
2010-02-27,.,No value available
2010-02-28,.,No value available
2010-03-01,174.17,
2010-03-02,174.00,
2010-03-03,173.59,
2010-03-04,173.74,
2010-03-05,173.48,
2010-03-06,.,No value available
2010-03-07,.,No value available
2010-03-08,173.51,
2010-03-09,173.48,
2010-03-10,173.43,
2010-03-11,173.50,
2010-03-12,172.60,
2010-03-13,.,No value available
2010-03-14,.,No value available
2010-03-15,172.44,
2010-03-16,171.82,
2010-03-17,171.93,
2010-03-18,171.53,
2010-03-19,171.23,
2010-03-20,.,No value available
2010-03-21,.,No value available
2010-03-22,171.32,
2010-03-23,171.77,
2010-03-24,171.96,
2010-03-25,172.47,
2010-03-26,172.46,
2010-03-27,.,No value available
2010-03-28,.,No value available
2010-03-29,172.47,
2010-03-30,172.32,
2010-03-31,172.03,
2010-04-01,.,No value available
2010-04-02,.,No value available
2010-04-03,.,No value available
2010-04-04,.,No value available
2010-04-05,.,No value available
2010-04-06,171.35,
2010-04-07,171.20,
2010-04-08,170.85,
2010-04-09,170.83,
2010-04-10,.,No value available
2010-04-11,.,No value available
2010-04-12,170.85,
2010-04-13,170.79,
2010-04-14,170.73,
2010-04-15,170.44,
2010-04-16,170.38,
2010-04-17,.,No value available
2010-04-18,.,No value available
2010-04-19,170.26,
2010-04-20,170.27,
2010-04-21,170.17,
2010-04-22,.,No value available
2010-04-23,170.62,
2010-04-24,.,No value available
2010-04-25,.,No value available
2010-04-26,170.69,
2010-04-27,170.73,
2010-04-28,170.11,
2010-04-29,170.08,
2010-04-30,169.57,
2010-05-01,.,No value available
2010-05-02,.,No value available
2010-05-03,169.52,
2010-05-04,168.57,
2010-05-05,166.85,
2010-05-06,164.37,
2010-05-07,164.53,
2010-05-08,.,No value available
2010-05-09,.,No value available
2010-05-10,163.92,
2010-05-11,163.08,
2010-05-12,163.02,
2010-05-13,.,No value available
2010-05-14,163.33,
2010-05-15,.,No value available
2010-05-16,.,No value available
2010-05-17,162.50,
2010-05-18,161.55,
2010-05-19,160.10,
2010-05-20,159.97,
2010-05-21,160.06,
2010-05-22,.,No value available
2010-05-23,.,No value available
2010-05-24,.,No value available
2010-05-25,159.69,
2010-05-26,159.84,
2010-05-27,159.73,
2010-05-28,159.54,
2010-05-29,.,No value available
2010-05-30,.,No value available
2010-05-31,158.41,
2010-06-01,157.08,
2010-06-02,156.12,
2010-06-03,156.52,
2010-06-04,156.41,
2010-06-05,.,No value available
2010-06-06,.,No value available
2010-06-07,155.90,
2010-06-08,155.85,
2010-06-09,156.41,
2010-06-10,156.54,
2010-06-11,156.65,
2010-06-12,.,No value available
2010-06-13,.,No value available
2010-06-14,156.58,
2010-06-15,156.62,
2010-06-16,156.59,
2010-06-17,.,No value available
2010-06-18,156.56,
2010-06-19,.,No value available
2010-06-20,.,No value available
2010-06-21,156.54,
2010-06-22,156.43,
2010-06-23,156.39,
2010-06-24,156.90,
2010-06-25,156.92,
2010-06-26,.,No value available
2010-06-27,.,No value available
2010-06-28,156.85,
2010-06-29,156.48,
2010-06-30,156.31,
2010-07-01,156.36,
2010-07-02,156.38,
2010-07-03,.,No value available
2010-07-04,.,No value available
2010-07-05,156.37,
2010-07-06,157.03,
2010-07-07,157.05,
2010-07-08,157.12,
2010-07-09,157.35,
2010-07-10,.,No value available
2010-07-11,.,No value available
2010-07-12,157.07,
2010-07-13,156.91,
2010-07-14,157.34,
2010-07-15,157.61,
2010-07-16,158.10,
2010-07-17,.,No value available
2010-07-18,.,No value available
2010-07-19,158.36,
2010-07-20,158.26,
2010-07-21,157.55,
2010-07-22,157.63,
2010-07-23,157.77,
2010-07-24,.,No value available
2010-07-25,.,No value available
2010-07-26,157.50,
2010-07-27,156.94,
2010-07-28,156.74,
2010-07-29,157.00,
2010-07-30,156.12,
2010-07-31,.,No value available
2010-08-01,.,No value available
2010-08-02,.,No value available
2010-08-03,156.62,
2010-08-04,156.51,
2010-08-05,156.29,
2010-08-06,154.98,
2010-08-07,.,No value available
2010-08-08,.,No value available
2010-08-09,155.13,
2010-08-10,154.39,
2010-08-11,153.77,
2010-08-12,153.02,
2010-08-13,153.02,
2010-08-14,.,No value available
2010-08-15,.,No value available
2010-08-16,152.85,
2010-08-17,153.06,
2010-08-18,153.10,
2010-08-19,153.04,
2010-08-20,152.63,
2010-08-21,.,No value available
2010-08-22,.,No value available
2010-08-23,152.47,
2010-08-24,152.37,
2010-08-25,152.49,
2010-08-26,152.36,
2010-08-27,152.82,
2010-08-28,.,No value available
2010-08-29,.,No value available
2010-08-30,152.88,
2010-08-31,152.92,
2010-09-01,153.00,
2010-09-02,153.07,
2010-09-03,151.59,
2010-09-04,.,No value available
2010-09-05,.,No value available
2010-09-06,150.69,
2010-09-07,150.32,
2010-09-08,150.12,
2010-09-09,150.17,
2010-09-10,150.19,
2010-09-11,.,No value available
2010-09-12,.,No value available
2010-09-13,150.56,
2010-09-14,150.68,
2010-09-15,151.21,
2010-09-16,151.76,
2010-09-17,152.61,
2010-09-18,.,No value available
2010-09-19,.,No value available
2010-09-20,152.66,
2010-09-21,152.99,
2010-09-22,153.62,
2010-09-23,153.59,
2010-09-24,153.80,
2010-09-25,.,No value available
2010-09-26,.,No value available
2010-09-27,153.52,
2010-09-28,153.73,
2010-09-29,154.15,
2010-09-30,154.44,
2010-10-01,154.26,
2010-10-02,.,No value available
2010-10-03,.,No value available
2010-10-04,153.94,
2010-10-05,154.13,
2010-10-06,153.82,
2010-10-07,154.09,
2010-10-08,154.32,
2010-10-09,.,No value available
2010-10-10,.,No value available
2010-10-11,153.97,
2010-10-12,154.37,
2010-10-13,154.78,
2010-10-14,154.85,
2010-10-15,155.27,
2010-10-16,.,No value available
2010-10-17,.,No value available
2010-10-18,155.04,
2010-10-19,155.16,
2010-10-20,155.34,
2010-10-21,155.98,
2010-10-22,155.84,
2010-10-23,.,No value available
2010-10-24,.,No value available
2010-10-25,155.98,
2010-10-26,155.50,
2010-10-27,155.29,
2010-10-28,154.92,
2010-10-29,154.68,
2010-10-30,.,No value available
2010-10-31,.,No value available
2010-11-01,154.74,
2010-11-02,154.21,
2010-11-03,154.26,
2010-11-04,154.48,
2010-11-05,154.33,
2010-11-06,.,No value available
2010-11-07,.,No value available
2010-11-08,153.70,
2010-11-09,153.65,
2010-11-10,153.01,
2010-11-11,153.02,
2010-11-12,153.00,
2010-11-13,.,No value available
2010-11-14,.,No value available
2010-11-15,152.90,
2010-11-16,152.91,
2010-11-17,152.77,
2010-11-18,153.08,
2010-11-19,153.36,
2010-11-20,.,No value available
2010-11-21,.,No value available
2010-11-22,153.54,
2010-11-23,153.16,
2010-11-24,152.41,
2010-11-25,152.47,
2010-11-26,152.68,
2010-11-27,.,No value available
2010-11-28,.,No value available
2010-11-29,152.87,
2010-11-30,152.44,
2010-12-01,152.11,
2010-12-02,152.32,
2010-12-03,152.19,
2010-12-04,.,No value available
2010-12-05,.,No value available
2010-12-06,151.63,
2010-12-07,151.68,
2010-12-08,151.34,
2010-12-09,151.54,
2010-12-10,151.74,
2010-12-11,.,No value available
2010-12-12,.,No value available
2010-12-13,152.22,
2010-12-14,153.15,
