"",BBK01.CEH7BQ,BBK01.CEH7BQ_FLAGS
"",Other liabilities  debtor: Insurance corporations                    creditor:  All sectors  (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:34,
1991-01,-5.8,
1991-04,2.3,
1991-07,-0.5,
1991-10,1.7,
1992-01,-2.6,
1992-04,-9.2,
1992-07,10.2,
1992-10,0.8,
1993-01,0.2,
1993-04,-12.8,
1993-07,11.7,
1993-10,-3.8,
1994-01,8.1,
1994-04,-6.1,
1994-07,0.7,
1994-10,-9.4,
1995-01,-16.2,
1995-04,2.1,
1995-07,0.7,
1995-10,5.8,
1996-01,-3.6,
1996-04,1.6,
1996-07,0.6,
1996-10,-0.9,
1997-01,-3.4,
1997-04,1.4,
1997-07,-2.2,
1997-10,5.0,
1998-01,-4.5,
1998-04,-1.6,
1998-07,0.5,
1998-10,6.9,
1999-01,3.6,
1999-04,-4.9,
1999-07,-0.9,
1999-10,3.7,
2000-01,5.9,
2000-04,2.3,
2000-07,-3.5,
2000-10,-6.3,
2001-01,-1.4,
2001-04,0.6,
2001-07,-8.1,
2001-10,31.2,
2002-01,12.1,
2002-04,-1.0,
2002-07,-4.3,
2002-10,25.7,
2003-01,-7.9,
2003-04,-8.0,
2003-07,-5.6,
2003-10,34.3,
2004-01,2.5,
2004-04,-4.2,
2004-07,-4.7,
2004-10,-8.5,
2005-01,13.1,
2005-04,0.8,
2005-07,2.2,
2005-10,17.8,
2006-01,-7.6,
2006-04,7.4,
2006-07,-8.9,
2006-10,0.6,
2007-01,0.2,
2007-04,2.5,
2007-07,-1.4,
2007-10,-1.3,
2008-01,0.7,
2008-04,-5.9,
2008-07,3.7,
2008-10,2.4,
2009-01,3.7,
2009-04,-14.1,
2009-07,-12.1,
2009-10,-12.8,
2010-01,4.5,
2010-04,-12.0,
2010-07,-4.9,
2010-10,5.9,
2011-01,7.5,
2011-04,9.5,
2011-07,-1.2,
2011-10,0.6,
2012-01,10.4,
2012-04,-10.0,
2012-07,-1.9,
2012-10,16.4,
2013-01,9.1,
2013-04,-13.6,
2013-07,-2.4,
2013-10,-1.4,
2014-01,2.7,
