"",BBK01.CEBACQ,BBK01.CEBACQ_FLAGS
"",Money market paper debtor: General government (consolidated)                   creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:19,
1991-01,19.3,
1991-04,19.9,
1991-07,17.6,
1991-10,17.7,
1992-01,18.5,
1992-04,18.6,
1992-07,18.6,
1992-10,18.5,
1993-01,18.7,
1993-04,15.7,
1993-07,15.9,
1993-10,15.6,
1994-01,13.4,
1994-04,12.8,
1994-07,11.5,
1994-10,10.5,
1995-01,7.4,
1995-04,5.8,
1995-07,4.6,
1995-10,4.1,
1996-01,4.5,
1996-04,4.4,
1996-07,10.0,
1996-10,14.1,
1997-01,13.6,
1997-04,13.7,
1997-07,12.7,
1997-10,13.5,
1998-01,13.1,
1998-04,13.2,
1998-07,12.7,
1998-10,13.1,
1999-01,12.6,
1999-04,12.0,
1999-07,11.8,
1999-10,12.6,
2000-01,11.1,
2000-04,11.0,
2000-07,11.2,
2000-10,10.9,
2001-01,11.1,
2001-04,13.0,
2001-07,18.8,
2001-10,22.4,
2002-01,17.1,
2002-04,21.5,
2002-07,30.7,
2002-10,30.1,
2003-01,30.0,
2003-04,30.5,
2003-07,32.8,
2003-10,35.4,
2004-01,36.7,
2004-04,36.9,
2004-07,37.1,
2004-10,35.3,
2005-01,37.1,
2005-04,36.8,
2005-07,36.8,
2005-10,36.6,
2006-01,36.3,
2006-04,36.9,
2006-07,37.3,
2006-10,37.2,
2007-01,38.0,
2007-04,37.8,
2007-07,38.7,
2007-10,38.6,
2008-01,38.7,
2008-04,38.9,
2008-07,41.9,
2008-10,44.0,
2009-01,69.5,
2009-04,98.4,
2009-07,109.4,
2009-10,105.8,
2010-01,93.5,
2010-04,86.3,
2010-07,87.2,
2010-10,86.3,
2011-01,98.3,
2011-04,103.3,
2011-07,113.9,
2011-10,115.9,
2012-01,115.8,
2012-04,121.1,
2012-07,105.4,
2012-10,106.9,
2013-01,105.0,
2013-04,103.6,
2013-07,93.9,
2013-10,85.5,
2014-01,81.7,
