"",BBFB1.Q.N.DE.O1.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.O1.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:40,
1991-01,-210.745,
1991-04,135.158,
1991-07,-186.969,
1991-10,-26.148,
1992-01,-129.777,
1992-04,-24.244,
1992-07,830.331,
1992-10,-513.011,
1993-01,97.353,
1993-04,-44.713,
1993-07,36.461,
1993-10,192.143,
1994-01,-463.360,
1994-04,-2.756,
1994-07,-127.644,
1994-10,42.091,
1995-01,275.195,
1995-04,-177.886,
1995-07,-99.390,
1995-10,-74.004,
1996-01,-195.754,
1996-04,-74.150,
1996-07,-31.703,
1996-10,23.851,
1997-01,16.956,
1997-04,41.635,
1997-07,45.218,
1997-10,334.402,
1998-01,142.818,
1998-04,-20.737,
1998-07,61.108,
1998-10,108.079,
1999-01,-39.111,
1999-04,474.205,
1999-07,76.168,
1999-10,14.871,
2000-01,-111.078,
2000-04,-108.872,
2000-07,181.549,
2000-10,237.997,
2001-01,-229.710,
2001-04,119.894,
2001-07,239.198,
2001-10,33.251,
2002-01,202.769,
2002-04,26.013,
2002-07,45.764,
2002-10,-67.220,
2003-01,131.025,
2003-04,119.480,
2003-07,26.351,
2003-10,-96.070,
2004-01,1014.819,
2004-04,673.723,
2004-07,-705.742,
2004-10,282.963,
2005-01,1102.309,
2005-04,572.525,
2005-07,776.302,
2005-10,287.789,
2006-01,980.863,
2006-04,698.830,
2006-07,393.161,
2006-10,-489.455,
2007-01,920.977,
2007-04,481.678,
2007-07,108.096,
2007-10,-49.669,
2008-01,445.694,
2008-04,4175.876,
2008-07,137.972,
2008-10,-153.484,
2009-01,102.879,
2009-04,2739.945,
2009-07,-862.599,
2009-10,214.075,
2010-01,1243.754,
2010-04,440.671,
2010-07,-825.464,
2010-10,694.847,
2011-01,1885.007,
2011-04,-77.598,
2011-07,190.271,
2011-10,-160.861,
2012-01,-1057.905,
2012-04,1197.911,
2012-07,1059.045,
2012-10,691.415,
2013-01,135.262,
2013-04,-866.948,
2013-07,-104.370,
2013-10,304.133,
2014-01,1192.565,Provisional value
2014-04,207.916,Provisional value
2014-07,307.820,Provisional value
2014-10,-606.076,Provisional value
