"",BBAI3.Q.DE.N.V.LE.F511.EV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F511.EV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Primary insurance companies / Shares and other equity - Quoted shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:06,
2005-10,44421,
2006-01,43120,
2006-04,38733,
2006-07,45823,
2006-10,49998,
2007-01,52811,
2007-04,55139,
2007-07,49513,
2007-10,46261,
2008-01,42176,
2008-04,38748,
2008-07,34846,
2008-10,27242,
2009-01,22188,
2009-04,22125,
2009-07,26901,
2009-10,27216,
2010-01,30393,
2010-04,27208,
2010-07,27253,
2010-10,29491,
2011-01,31390,
2011-04,29512,
2011-07,23119,
2011-10,23798,
2012-01,28976,
2012-04,26341,
2012-07,30101,
2012-10,33888,
2013-01,36239,
2013-04,36418,
2013-07,37343,
2013-10,41883,
2014-01,41251,
2014-04,38037,
2014-07,38959,
