"",BBFN1.M.DE.N.1.A.MY.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.MY.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1992-08,0.026,
1992-09,0.028,
1992-10,0.033,
1992-11,0.034,
1992-12,0.036,
1993-01,0.033,
1993-02,0.034,
1993-03,0.029,
1993-04,0.033,
1993-05,0.032,
1993-06,0.035,
1993-07,0.037,
1993-08,0.038,
1993-09,0.039,
1993-10,0.040,
1993-11,0.041,
1993-12,0.037,
1994-01,0.037,
1994-02,0.036,
1994-03,0.036,
1994-04,0.043,
1994-05,0.049,
1994-06,0.043,
1994-07,0.050,
1994-08,0.059,
1994-09,0.036,
1994-10,0.038,
1994-11,0.038,
1994-12,0.041,
1995-01,0.032,
1995-02,0.038,
1995-03,0.030,
1995-04,0.085,
1995-05,0.084,
1995-06,0.097,
1995-07,0.075,
1995-08,0.073,
1995-09,0.075,
1995-10,0.074,
1995-11,0.095,
1995-12,0.184,
1996-01,0.208,
1996-02,0.171,
1996-03,0.148,
1996-04,0.194,
1996-05,0.207,
1996-06,0.262,
1996-07,0.220,
1996-08,0.229,
1996-09,0.372,
1996-10,0.278,
1996-11,0.240,
1996-12,0.239,
1997-01,0.270,
1997-02,0.222,
1997-03,0.226,
1997-04,0.245,
1997-05,0.273,
1997-06,0.296,
1997-07,0.258,
1997-08,0.270,
1997-09,0.308,
1997-10,0.290,
1997-11,0.284,
1997-12,0.348,
1998-01,0.277,
1998-02,0.246,
1998-03,0.228,
1998-04,0.223,
1998-05,0.222,
1998-06,0.215,
1998-07,0.206,
1998-08,0.195,
1998-09,0.191,
1998-10,0.201,
1998-11,0.192,
1998-12,0.221,
1999-01,0.233,
1999-02,0.240,
1999-03,0.291,
1999-04,0.298,
1999-05,0.300,
1999-06,0.318,
1999-07,0.172,
1999-08,0.201,
1999-09,0.097,
1999-10,0.109,
1999-11,0.120,
1999-12,0.121,
2000-01,0.147,
2000-02,0.113,
2000-03,0.126,
2000-04,0.123,
2000-05,0.125,
2000-06,0.125,
2000-07,0.138,
2000-08,0.132,
2000-09,0.136,
2000-10,0.166,
2000-11,0.169,
2000-12,0.166,
2001-01,0.160,
2001-02,0.164,
2001-03,0.165,
2001-04,0.163,
2001-05,0.196,
2001-06,0.202,
2001-07,0.204,
2001-08,0.205,
2001-09,0.275,
2001-10,0.287,
2001-11,0.294,
2001-12,0.253,
2002-01,0.223,
2002-02,0.233,
2002-03,0.297,
2002-04,0.299,
2002-05,0.286,
2002-06,0.296,
2002-07,0.265,
2002-08,0.263,
2002-09,0.247,
2002-10,0.235,
2002-11,0.237,
2002-12,0.226,
2003-01,0.218,
2003-02,0.221,
2003-03,0.220,
2003-04,0.199,
2003-05,0.205,
2003-06,0.165,
2003-07,0.156,
2003-08,0.161,
2003-09,0.153,
2003-10,0.146,
2003-11,0.165,
2003-12,0.154,
2004-01,0.148,
2004-02,0.151,
2004-03,0.145,
2004-04,0.157,
2004-05,0.159,
2004-06,0.169,
2004-07,0.174,
2004-08,0.188,
2004-09,0.197,
2004-10,0.216,
2004-11,0.217,
2004-12,0.348,
2005-01,0.361,
2005-02,0.352,
2005-03,0.343,
2005-04,0.415,
2005-05,0.425,
2005-06,0.434,
2005-07,0.409,
2005-08,0.423,
2005-09,0.455,
2005-10,0.378,
2005-11,0.390,
2005-12,0.419,
2006-01,0.404,
2006-02,0.429,
2006-03,0.425,
2006-04,0.438,
2006-05,0.549,
2006-06,0.605,
2006-07,0.513,
2006-08,0.631,
2006-09,0.552,
2006-10,0.531,
2006-11,0.537,
2006-12,0.598,
2007-01,0.565,
2007-02,0.575,
2007-03,0.591,
2007-04,0.585,
2007-05,0.605,
2007-06,0.613,
2007-07,0.615,
2007-08,0.676,
2007-09,0.673,
2007-10,0.639,
2007-11,0.666,
2007-12,0.663,
2008-01,0.658,
2008-02,0.690,
2008-03,0.677,
2008-04,0.694,
2008-05,0.684,
2008-06,0.711,
2008-07,0.738,
2008-08,0.764,
2008-09,0.782,
2008-10,0.738,
2008-11,0.731,
2008-12,0.714,
2009-01,0.732,
2009-02,0.760,
2009-03,0.788,
2009-04,0.780,
2009-05,0.720,
2009-06,0.706,
2009-07,0.709,
2009-08,0.699,
2009-09,0.664,
2009-10,0.674,
2009-11,0.658,
2009-12,0.648,
2010-01,0.653,
2010-02,0.659,
2010-03,0.667,
2010-04,0.666,
2010-05,0.686,
2010-06,0.697,
2010-07,0.697,
2010-08,0.719,
2010-09,0.682,
2010-10,0.690,
2010-11,0.768,
2010-12,0.798,
2011-01,0.807,
2011-02,0.812,
2011-03,0.830,
2011-04,0.835,
2011-05,0.848,
2011-06,0.869,
2011-07,0.888,
2011-08,0.835,
2011-09,0.824,
2011-10,0.805,
2011-11,0.839,
2011-12,0.881,
2012-01,0.902,
2012-02,0.839,
2012-03,0.849,
2012-04,0.893,
2012-05,0.906,
2012-06,0.884,
2012-07,0.889,
2012-08,0.890,
2012-09,0.791,
2012-10,0.784,
2012-11,0.779,
2012-12,0.756,
2013-01,0.729,
2013-02,0.734,
2013-03,0.885,
2013-04,0.696,
2013-05,0.698,
2013-06,0.663,
2013-07,0.447,
2013-08,0.589,
2013-09,0.586,
2013-10,0.579,
2013-11,0.571,
2013-12,0.504,
2014-01,0.483,
2014-02,0.503,
2014-03,0.476,
2014-04,0.436,
2014-05,0.449,
2014-06,0.454,
2014-07,0.463,
2014-08,0.473,
2014-09,0.487,
2014-10,0.467,
2014-11,0.455,
2014-12,0.447,
