"",BBFN1.M.DE.N.1.L.AE.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AE.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1990-05,0.006,
1990-06,0.004,
1990-07,0.004,
1990-08,0.005,
1990-09,0.003,
1990-10,0.004,
1990-11,0.003,
1990-12,0.004,
1991-01,0.005,
1991-02,0.003,
1991-03,0.004,
1991-04,0.003,
1991-05,0.004,
1991-06,0.004,
1991-07,0.004,
1991-08,0.004,
1991-09,0.004,
1991-10,0.003,
1991-11,0.003,
1991-12,0.003,
1992-01,0.003,
1992-02,0.003,
1992-03,0.003,
1992-04,0.004,
1992-05,0.003,
1992-06,0.003,
1992-07,0.004,
1992-08,0.004,
1992-09,0.005,
1992-10,0.003,
1992-11,0.007,
1992-12,0.007,
1993-01,0.007,
1993-02,0.008,
1993-03,0.007,
1993-04,0.006,
1993-05,0.007,
1993-06,0.007,
1993-07,0.007,
1993-08,0.007,
1993-09,0.007,
1993-10,0.008,
1993-11,0.007,
1993-12,0.007,
1994-01,0.006,
1994-02,0.008,
1994-03,0.007,
1994-04,0.008,
1994-05,0.009,
1994-06,0.009,
1994-07,0.009,
1994-08,0.009,
1994-09,0.010,
1994-10,0.012,
1994-11,0.013,
1994-12,0.018,
1995-01,0.012,
1995-02,0.011,
1995-03,0.012,
1995-04,0.011,
1995-05,0.012,
1995-06,0.014,
1995-07,0.015,
1995-08,0.014,
1995-09,0.017,
1995-10,0.017,
1995-11,0.019,
1995-12,0.018,
1996-01,0.017,
1996-02,0.018,
1996-03,0.009,
1996-04,.,No value available
1996-05,.,No value available
1996-06,.,No value available
1996-07,.,No value available
1996-08,.,No value available
1996-09,.,No value available
1996-10,.,No value available
1996-11,.,No value available
1996-12,.,No value available
1997-01,.,No value available
1997-02,.,No value available
1997-03,.,No value available
1997-04,.,No value available
1997-05,.,No value available
1997-06,.,No value available
1997-07,.,No value available
1997-08,.,No value available
1997-09,.,No value available
1997-10,.,No value available
1997-11,.,No value available
1997-12,.,No value available
1998-01,.,No value available
1998-02,.,No value available
1998-03,.,No value available
1998-04,.,No value available
1998-05,.,No value available
1998-06,.,No value available
1998-07,.,No value available
1998-08,.,No value available
1998-09,.,No value available
1998-10,.,No value available
1998-11,.,No value available
1998-12,.,No value available
1999-01,.,No value available
1999-02,.,No value available
1999-03,.,No value available
1999-04,.,No value available
1999-05,.,No value available
1999-06,.,No value available
1999-07,.,No value available
1999-08,.,No value available
1999-09,0.019,
1999-10,0.022,
1999-11,0.019,
1999-12,0.019,
2000-01,0.036,
2000-02,0.036,
2000-03,.,No value available
2000-04,.,No value available
2000-05,.,No value available
2000-06,.,No value available
2000-07,0.072,
2000-08,0.026,
2000-09,0.033,
2000-10,0.031,
2000-11,.,No value available
2000-12,.,No value available
2001-01,.,No value available
2001-02,.,No value available
2001-03,.,No value available
2001-04,.,No value available
2001-05,.,No value available
2001-06,.,No value available
2001-07,.,No value available
2001-08,.,No value available
2001-09,0.075,
2001-10,0.049,
2001-11,0.055,
2001-12,0.063,
2002-01,0.099,
2002-02,0.120,
2002-03,0.083,
2002-04,0.085,
2002-05,0.100,
2002-06,0.092,
2002-07,0.069,
2002-08,0.069,
2002-09,0.076,
2002-10,0.072,
2002-11,0.076,
2002-12,0.091,
2003-01,0.102,
2003-02,0.157,
2003-03,0.113,
2003-04,0.116,
2003-05,0.113,
2003-06,0.080,
2003-07,0.065,
2003-08,0.088,
2003-09,0.077,
2003-10,0.076,
2003-11,0.073,
2003-12,0.061,
2004-01,0.067,
2004-02,0.052,
2004-03,0.067,
2004-04,0.059,
2004-05,0.065,
2004-06,0.081,
2004-07,0.090,
2004-08,0.064,
2004-09,0.099,
2004-10,0.111,
2004-11,0.103,
2004-12,0.081,
2005-01,0.054,
2005-02,0.048,
2005-03,0.061,
2005-04,0.066,
2005-05,0.064,
2005-06,0.085,
2005-07,0.077,
2005-08,0.080,
2005-09,0.093,
2005-10,0.079,
2005-11,0.083,
2005-12,0.073,
2006-01,0.073,
2006-02,0.055,
2006-03,0.065,
2006-04,0.037,
2006-05,0.082,
2006-06,0.081,
2006-07,0.070,
2006-08,0.091,
2006-09,0.085,
2006-10,0.091,
2006-11,0.092,
2006-12,0.092,
2007-01,0.088,
2007-02,0.100,
2007-03,0.076,
2007-04,0.106,
2007-05,0.114,
2007-06,0.127,
2007-07,0.121,
2007-08,0.128,
2007-09,0.124,
2007-10,0.121,
2007-11,0.128,
2007-12,0.170,
2008-01,0.136,
2008-02,0.151,
2008-03,0.148,
2008-04,0.158,
2008-05,0.153,
2008-06,0.175,
2008-07,0.189,
2008-08,0.197,
2008-09,0.194,
2008-10,0.215,
2008-11,0.193,
2008-12,0.239,
2009-01,0.212,
2009-02,.,No value available
2009-03,0.222,
2009-04,.,No value available
2009-05,0.207,
2009-06,0.244,
2009-07,0.251,
2009-08,0.237,
2009-09,0.381,
2009-10,0.358,
2009-11,0.346,
2009-12,0.358,
2010-01,0.336,
2010-02,0.324,
2010-03,0.395,
2010-04,0.437,
2010-05,0.426,
2010-06,0.508,
2010-07,0.419,
2010-08,0.412,
2010-09,0.504,
2010-10,0.535,
2010-11,0.533,
2010-12,0.576,
2011-01,0.503,
2011-02,0.453,
2011-03,0.485,
2011-04,0.480,
2011-05,0.469,
2011-06,0.472,
2011-07,0.460,
2011-08,0.492,
2011-09,0.555,
2011-10,0.550,
2011-11,0.606,
2011-12,0.570,
2012-01,0.595,
2012-02,0.509,
2012-03,0.524,
2012-04,0.521,
2012-05,0.422,
2012-06,0.399,
2012-07,0.418,
2012-08,0.391,
2012-09,0.390,
2012-10,0.411,
2012-11,0.402,
2012-12,0.436,
2013-01,0.490,
2013-02,0.444,
2013-03,0.527,
2013-04,0.519,
2013-05,0.462,
2013-06,0.404,
2013-07,0.389,
2013-08,0.406,
2013-09,0.961,
2013-10,0.406,
2013-11,0.386,
2013-12,0.388,
2014-01,0.381,
2014-02,0.373,
2014-03,0.385,
2014-04,0.373,
2014-05,0.347,
2014-06,0.310,
2014-07,0.277,
2014-08,0.254,
2014-09,0.300,
2014-10,0.317,
2014-11,0.305,
2014-12,0.292,
