"",BBK01.CEHFQC,BBK01.CEHFQC_FLAGS
"",longer-term loans debtor: All sectors                    creditor: General government  (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:59,
1991-01,2.0,
1991-04,2.0,
1991-07,2.2,
1991-10,1.3,
1992-01,2.4,
1992-04,2.1,
1992-07,2.1,
1992-10,2.1,
1993-01,2.0,
1993-04,1.5,
1993-07,2.5,
1993-10,1.9,
1994-01,3.1,
1994-04,2.5,
1994-07,1.6,
1994-10,2.0,
1995-01,3.5,
1995-04,3.5,
1995-07,1.3,
1995-10,-1.3,
1996-01,2.7,
1996-04,3.8,
1996-07,1.4,
1996-10,-4.1,
1997-01,3.0,
1997-04,3.0,
1997-07,0.3,
1997-10,-4.5,
1998-01,3.1,
1998-04,3.0,
1998-07,1.0,
1998-10,-4.9,
1999-01,-0.5,
1999-04,-0.2,
1999-07,0.0,
1999-10,1.9,
2000-01,-1.1,
2000-04,1.8,
2000-07,0.6,
2000-10,1.0,
2001-01,0.0,
2001-04,0.5,
2001-07,-0.7,
2001-10,0.9,
2002-01,-0.4,
2002-04,-0.3,
2002-07,-1.0,
2002-10,0.3,
2003-01,0.5,
2003-04,-0.5,
2003-07,-0.4,
2003-10,-1.3,
2004-01,0.9,
2004-04,-1.1,
2004-07,-4.8,
2004-10,-2.3,
2005-01,1.5,
2005-04,-2.5,
2005-07,-5.1,
2005-10,-1.3,
2006-01,-0.8,
2006-04,-0.7,
2006-07,-3.6,
2006-10,-0.1,
2007-01,1.5,
2007-04,-0.5,
2007-07,0.1,
2007-10,0.2,
2008-01,-0.8,
2008-04,-0.6,
2008-07,-1.1,
2008-10,-1.4,
2009-01,-0.5,
2009-04,2.4,
2009-07,-0.8,
2009-10,-1.4,
2010-01,-0.6,
2010-04,16.7,
2010-07,-1.8,
2010-10,35.5,
2011-01,-0.9,
2011-04,-2.0,
2011-07,1.7,
2011-10,1.7,
2012-01,9.0,
2012-04,10.1,
2012-07,16.8,
2012-10,4.8,
2013-01,3.9,
2013-04,5.9,
2013-07,5.0,
2013-10,-1.5,
2014-01,0.0,
