"",BBK01.CEHE03,BBK01.CEHE03_FLAGS
"",short-term loans debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:50,
1991-01,6.5,
1991-04,15.3,
1991-07,2.9,
1991-10,15.0,
1992-01,-3.4,
1992-04,14.5,
1992-07,-9.8,
1992-10,11.5,
1993-01,-6.6,
1993-04,0.6,
1993-07,-2.6,
1993-10,4.5,
1994-01,-9.3,
1994-04,-1.8,
1994-07,-0.7,
1994-10,13.9,
1995-01,5.1,
1995-04,10.6,
1995-07,0.5,
1995-10,7.5,
1996-01,1.9,
1996-04,12.9,
1996-07,-8.9,
1996-10,21.6,
1997-01,8.6,
1997-04,-3.5,
1997-07,3.5,
1997-10,10.7,
1998-01,-2.8,
1998-04,11.2,
1998-07,17.0,
1998-10,-3.5,
1999-01,30.9,
1999-04,-5.3,
1999-07,7.2,
1999-10,18.3,
2000-01,-4.8,
2000-04,11.8,
2000-07,-16.6,
2000-10,0.2,
2001-01,64.9,
2001-04,-32.3,
2001-07,11.0,
2001-10,-26.8,
2002-01,27.6,
2002-04,-17.0,
2002-07,19.9,
2002-10,-17.4,
2003-01,20.6,
2003-04,-25.3,
2003-07,9.9,
2003-10,8.0,
2004-01,27.2,
2004-04,-63.4,
2004-07,45.3,
2004-10,-7.6,
2005-01,11.4,
2005-04,-16.4,
2005-07,11.5,
2005-10,-5.1,
2006-01,1.2,
2006-04,-5.5,
2006-07,43.9,
2006-10,-45.0,
2007-01,63.1,
2007-04,6.4,
2007-07,47.8,
2007-10,26.7,
2008-01,77.5,
2008-04,-12.6,
2008-07,17.6,
2008-10,-28.7,
2009-01,52.9,
2009-04,21.2,
2009-07,-28.4,
2009-10,-43.5,
2010-01,31.6,
2010-04,70.1,
2010-07,24.0,
2010-10,65.6,
2011-01,-11.6,
2011-04,19.0,
2011-07,125.4,
2011-10,-28.5,
2012-01,183.5,
2012-04,112.8,
2012-07,-16.1,
2012-10,-84.5,
2013-01,-43.6,
2013-04,-16.3,
2013-07,-35.7,
2013-10,-67.8,
2014-01,-30.7,
