"",BBAI3.Q.DE.N.V.LE.F33.S125.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F33.S125.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations and pension funds (ICPFs) / Securities other than shares excluding financial derivatives / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:51,
2005-10,6731,
2006-01,6782,
2006-04,6586,
2006-07,7529,
2006-10,8396,
2007-01,9244,
2007-04,9992,
2007-07,10368,
2007-10,11676,
2008-01,11354,
2008-04,12333,
2008-07,12700,
2008-10,14718,
2009-01,13082,
2009-04,15097,
2009-07,16384,
2009-10,16193,
2010-01,17016,
2010-04,17673,
2010-07,18216,
2010-10,17817,
2011-01,17138,
2011-04,18040,
2011-07,17465,
2011-10,17038,
2012-01,19431,
2012-04,18701,
2012-07,19300,
2012-10,22414,
2013-01,21438,
2013-04,17825,
2013-07,16530,
2013-10,16926,
2014-01,16285,
2014-04,16154,
2014-07,17574,
