"",BBAI3.Q.DE.N.V.LE.N.EV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.N.EV.A1.S.1.N.E.Z_FLAGS
"",Assets / Primary insurance companies / Total non-financial assets / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:23,
2005-10,40231,
2006-01,40022,
2006-04,40065,
2006-07,39867,
2006-10,39765,
2007-01,37849,
2007-04,37156,
2007-07,37147,
2007-10,36414,
2008-01,33892,
2008-04,34266,
2008-07,34034,
2008-10,34105,
2009-01,34242,
2009-04,34132,
2009-07,34077,
2009-10,33651,
2010-01,34089,
2010-04,34378,
2010-07,35023,
2010-10,35987,
2011-01,36046,
2011-04,35962,
2011-07,35844,
2011-10,36868,
2012-01,37103,
2012-04,37834,
2012-07,38203,
2012-10,38471,
2013-01,38753,
2013-04,39223,
2013-07,40289,
2013-10,41017,
2014-01,41607,
2014-04,41863,
2014-07,42637,
