"",BBSF2.M.1.S.I0002.HED01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.HED01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Hedgefunds / Number / Pension fund institutions / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:53:03,
2004-01,-,Nothing exists
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,-,Nothing exists
2004-05,1,
2004-06,1,
2004-07,1,
2004-08,1,
2004-09,1,
2004-10,1,
2004-11,1,
2004-12,1,
2005-01,1,
2005-02,1,
2005-03,1,
2005-04,1,
2005-05,1,
2005-06,1,
2005-07,1,
2005-08,1,
2005-09,1,
2005-10,1,
2005-11,1,
2005-12,1,
2006-01,1,
2006-02,1,
2006-03,1,
2006-04,1,
2006-05,1,
2006-06,1,
2006-07,1,
2006-08,1,
2006-09,1,
2006-10,1,
2006-11,1,
2006-12,-,Nothing exists
2007-01,-,Nothing exists
2007-02,-,Nothing exists
2007-03,-,Nothing exists
2007-04,1,
2007-05,1,
2007-06,1,
2007-07,1,
2007-08,1,
2007-09,1,
2007-10,1,
2007-11,1,
2007-12,1,
2008-01,1,
2008-02,1,
2008-03,1,
2008-04,1,
2008-05,1,
2008-06,1,
2008-07,1,
2008-08,1,
2008-09,1,
2008-10,1,
2008-11,1,
2008-12,1,
2009-01,1,
2009-02,1,
2009-03,1,
2009-04,1,
2009-05,1,
2009-06,1,
2009-07,1,
2009-08,1,
2009-09,1,
2009-10,1,
2009-11,1,
2009-12,1,
2010-01,1,
2010-02,1,
2010-03,1,
2010-04,1,
2010-05,1,
2010-06,1,
2010-07,1,
2010-08,1,
2010-09,1,
2010-10,1,
2010-11,1,
2010-12,1,
2011-01,1,
2011-02,1,
2011-03,1,
2011-04,1,
2011-05,1,
2011-06,1,
2011-07,1,
2011-08,1,
2011-09,1,
2011-10,1,
2011-11,1,
2011-12,1,
2012-01,1,
2012-02,1,
2012-03,1,
2012-04,1,
2012-05,1,
2012-06,1,
2012-07,1,
2012-08,1,
2012-09,1,
2012-10,1,
2012-11,1,
2012-12,1,
2013-01,1,
2013-02,1,
2013-03,1,
2013-04,1,
2013-05,1,
2013-06,1,
2013-07,1,
2013-08,1,
2013-09,1,
2013-10,1,
2013-11,1,
2013-12,1,
2014-01,1,
2014-02,1,
2014-03,1,
2014-04,1,
2014-05,1,
2014-06,1,
2014-07,1,
2014-08,1,
2014-09,1,
2014-10,1,
2014-11,1,
