"",BBAI3.Q.DE.N.V.LE.F34.SK.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F34.SK.A1.S.1.N.E.Z_FLAGS
"",Assets / Death benefit funds / Financial derivatives / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:51,
2005-10,0,
2006-01,0,
2006-04,0,
2006-07,0,
2006-10,0,
2007-01,0,
2007-04,0,
2007-07,0,
2007-10,0,
2008-01,0,
2008-04,0,
2008-07,0,
2008-10,0,
2009-01,10,
2009-04,10,
2009-07,9,
2009-10,12,
2010-01,9,
2010-04,9,
2010-07,9,
2010-10,12,
2011-01,10,
2011-04,11,
2011-07,11,
2011-10,14,
2012-01,13,
2012-04,13,
2012-07,13,
2012-10,14,
2013-01,12,
2013-04,14,
2013-07,15,
2013-10,13,
2014-01,13,
2014-04,12,
2014-07,12,
