"",BBFN1.M.DE.N.1.A.B0.S1P.F0.S.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.B0.S1P.F0.S.N000.Z01.BGA.X001.D_FLAGS
1978-06,0.910,
1978-07,0.865,
1978-08,0.847,
1978-09,0.871,
1978-10,0.867,
1978-11,0.912,
1978-12,0.945,
1979-01,0.988,
1979-02,1.006,
1979-03,1.026,
1979-04,1.086,
1979-05,1.092,
1979-06,1.120,
1979-07,1.077,
1979-08,0.993,
1979-09,1.065,
1979-10,1.204,
1979-11,1.130,
1979-12,1.123,
1980-01,1.135,
1980-02,1.216,
1980-03,1.187,
1980-04,1.203,
1980-05,1.203,
1980-06,1.302,
1980-07,1.194,
1980-08,1.187,
1980-09,1.235,
1980-10,1.230,
1980-11,1.255,
1980-12,1.572,
1981-01,1.466,
1981-02,1.596,
1981-03,1.666,
1981-04,1.594,
1981-05,1.599,
1981-06,1.374,
1981-07,1.442,
1981-08,1.454,
1981-09,1.469,
1981-10,1.453,
1981-11,1.629,
1981-12,1.421,
1982-01,1.608,
1982-02,1.883,
1982-03,1.704,
1982-04,1.621,
1982-05,2.067,
1982-06,2.074,
1982-07,2.210,
1982-08,2.318,
1982-09,2.283,
1982-10,2.588,
1982-11,2.567,
1982-12,2.348,
1983-01,2.453,
1983-02,2.295,
1983-03,2.231,
1983-04,2.457,
1983-05,2.359,
1983-06,2.459,
1983-07,2.471,
1983-08,2.456,
1983-09,2.532,
1983-10,2.713,
1983-11,2.843,
1983-12,2.722,
1984-01,2.795,
1984-02,3.020,
1984-03,3.257,
1984-04,3.337,
1984-05,3.073,
1984-06,2.897,
1984-07,2.871,
1984-08,3.247,
1984-09,3.307,
1984-10,3.357,
1984-11,3.379,
1984-12,4.300,
1985-01,3.690,
1985-02,3.860,
1985-03,3.712,
1985-04,3.609,
1985-05,3.642,
1985-06,4.060,
1985-07,3.716,
1985-08,3.619,
1985-09,3.851,
1985-10,4.179,
1985-11,4.171,
1985-12,5.303,
1986-01,5.434,
1986-02,6.086,
1986-03,6.780,
1986-04,6.603,
1986-05,6.854,
1986-06,6.991,
1986-07,6.511,
1986-08,6.622,
1986-09,6.721,
1986-10,6.361,
1986-11,6.432,
1986-12,6.163,
1987-01,6.175,
1987-02,7.338,
1987-03,7.243,
1987-04,7.458,
1987-05,7.402,
1987-06,7.224,
1987-07,6.814,
1987-08,6.811,
1987-09,6.960,
1987-10,6.755,
1987-11,6.875,
1987-12,6.755,
1988-01,6.648,
1988-02,6.857,
1988-03,6.984,
1988-04,6.871,
1988-05,6.866,
1988-06,6.750,
1988-07,6.896,
1988-08,6.594,
1988-09,6.692,
1988-10,6.626,
1988-11,6.810,
1988-12,6.938,
1989-01,7.234,
1989-02,7.347,
1989-03,6.112,
1989-04,6.526,
1989-05,6.531,
1989-06,6.628,
1989-07,6.806,
1989-08,6.654,
1989-09,7.746,
1989-10,10.492,
1989-11,10.456,
1989-12,10.152,
1990-01,10.862,
1990-02,10.006,
1990-03,10.299,
1990-04,9.751,
1990-05,9.548,
1990-06,9.441,
1990-07,9.404,
1990-08,10.425,
1990-09,10.231,
1990-10,10.367,
1990-11,11.282,
1990-12,10.938,
1991-01,11.662,
1991-02,11.710,
1991-03,12.644,
1991-04,12.917,
1991-05,12.480,
1991-06,12.944,
1991-07,12.095,
1991-08,12.296,
1991-09,12.879,
1991-10,13.344,
1991-11,13.278,
1991-12,12.645,
1992-01,12.479,
1992-02,12.023,
1992-03,12.697,
1992-04,12.628,
1992-05,12.781,
1992-06,12.370,
1992-07,12.400,
1992-08,12.453,
1992-09,11.788,
1992-10,12.133,
1992-11,11.955,
1992-12,11.036,
1993-01,11.169,
1993-02,11.744,
1993-03,11.962,
1993-04,12.257,
1993-05,12.249,
1993-06,11.664,
1993-07,11.703,
1993-08,11.636,
1993-09,11.412,
1993-10,11.973,
1993-11,12.442,
1993-12,13.092,
1994-01,13.285,
1994-02,14.132,
1994-03,14.005,
1994-04,14.747,
1994-05,14.527,
1994-06,14.086,
1994-07,13.936,
1994-08,14.687,
1994-09,14.686,
1994-10,14.680,
1994-11,14.448,
1994-12,14.162,
1995-01,16.450,
1995-02,16.893,
1995-03,17.034,
1995-04,17.702,
1995-05,17.764,
1995-06,17.521,
1995-07,17.216,
1995-08,17.217,
1995-09,17.371,
1995-10,18.510,
1995-11,18.855,
1995-12,17.850,
1996-01,18.169,
1996-02,19.801,
1996-03,21.902,
1996-04,23.363,
1996-05,24.622,
1996-06,23.445,
1996-07,21.278,
1996-08,21.385,
1996-09,22.927,
1996-10,22.717,
1996-11,23.253,
1996-12,27.732,
1997-01,27.418,
1997-02,27.616,
1997-03,26.119,
1997-04,28.546,
1997-05,31.287,
1997-06,29.476,
1997-07,31.903,
1997-08,30.685,
1997-09,30.497,
1997-10,32.273,
1997-11,29.189,
1997-12,29.621,
1998-01,31.052,
1998-02,32.446,
1998-03,33.938,
1998-04,39.525,
1998-05,44.200,
1998-06,39.869,
1998-07,37.678,
1998-08,35.149,
1998-09,35.184,
1998-10,35.581,
1998-11,36.592,
1998-12,35.906,
1999-01,35.795,
1999-02,37.763,
1999-03,43.566,
1999-04,46.187,
1999-05,48.898,
1999-06,50.159,
1999-07,46.688,
1999-08,47.701,
1999-09,48.348,
1999-10,46.092,
1999-11,48.602,
1999-12,46.512,
2000-01,49.722,
2000-02,49.709,
2000-03,50.755,
2000-04,54.060,
2000-05,59.765,
2000-06,64.280,
2000-07,53.977,
2000-08,60.866,
2000-09,65.710,
2000-10,71.715,
2000-11,64.912,
2000-12,65.504,
2001-01,74.705,
2001-02,79.187,
2001-03,82.949,
2001-04,86.509,
2001-05,76.577,
2001-06,77.694,
2001-07,67.417,
2001-08,69.678,
2001-09,61.701,
2001-10,60.999,
2001-11,57.189,
2001-12,62.645,
2002-01,61.175,
2002-02,63.601,
2002-03,65.669,
2002-04,64.086,
2002-05,63.968,
2002-06,63.737,
2002-07,61.563,
2002-08,60.538,
2002-09,63.309,
2002-10,65.859,
2002-11,60.178,
2002-12,63.272,
2003-01,65.237,
2003-02,67.655,
2003-03,74.320,
2003-04,74.881,
2003-05,75.243,
2003-06,73.563,
2003-07,73.517,
2003-08,71.043,
2003-09,71.222,
2003-10,71.646,
2003-11,71.633,
2003-12,69.586,
2004-01,78.035,
2004-02,75.964,
2004-03,80.014,
2004-04,79.588,
2004-05,82.363,
2004-06,81.583,
2004-07,82.160,
2004-08,84.438,
2004-09,83.885,
2004-10,84.205,
2004-11,77.612,
2004-12,73.272,
2005-01,72.732,
2005-02,77.006,
2005-03,77.281,
2005-04,80.797,
2005-05,79.537,
2005-06,82.015,
2005-07,82.746,
2005-08,83.541,
2005-09,82.114,
2005-10,82.891,
2005-11,80.308,
2005-12,78.989,
2006-01,78.632,
2006-02,86.139,
2006-03,86.750,
2006-04,95.030,
2006-05,90.146,
2006-06,88.960,
2006-07,89.982,
2006-08,90.860,
2006-09,92.865,
2006-10,92.929,
2006-11,87.666,
2006-12,89.576,
2007-01,93.682,
2007-02,91.049,
2007-03,92.648,
2007-04,96.549,
2007-05,97.241,
2007-06,95.323,
2007-07,98.049,
2007-08,96.199,
2007-09,98.161,
2007-10,96.473,
2007-11,91.638,
2007-12,88.990,
2008-01,90.024,
2008-02,94.432,
2008-03,95.457,
2008-04,101.883,
2008-05,100.711,
2008-06,104.749,
2008-07,107.543,
2008-08,104.824,
2008-09,104.387,
2008-10,105.077,
2008-11,107.635,
2008-12,109.460,
2009-01,107.747,
2009-02,105.068,
2009-03,109.442,
2009-04,109.550,
2009-05,110.821,
2009-06,110.447,
2009-07,110.391,
2009-08,108.220,
2009-09,105.023,
2009-10,106.671,
2009-11,105.485,
2009-12,107.823,
2010-01,107.855,
2010-02,108.156,
2010-03,111.965,
2010-04,110.779,
2010-05,113.570,
2010-06,118.420,
2010-07,120.831,
2010-08,123.753,
2010-09,121.738,
2010-10,123.290,
2010-11,124.101,
2010-12,121.924,
2011-01,123.019,
2011-02,125.657,
2011-03,134.133,
2011-04,133.167,
2011-05,139.455,
2011-06,132.203,
2011-07,137.197,
2011-08,138.824,
2011-09,144.484,
2011-10,139.803,
2011-11,133.340,
2011-12,131.559,
2012-01,141.135,
2012-02,132.970,
2012-03,139.245,
2012-04,126.559,
2012-05,127.467,
2012-06,130.420,
2012-07,128.874,
2012-08,128.700,
2012-09,126.566,
2012-10,126.871,
2012-11,126.167,
2012-12,127.651,
2013-01,127.543,
2013-02,126.190,
2013-03,133.240,
2013-04,136.677,
2013-05,136.091,
2013-06,139.109,
2013-07,134.742,
2013-08,135.903,
2013-09,135.248,
2013-10,131.841,
2013-11,131.728,
2013-12,133.974,
2014-01,135.234,
2014-02,137.293,
2014-03,139.176,
2014-04,141.692,
2014-05,140.423,
2014-06,140.109,
2014-07,141.792,
2014-08,148.277,
2014-09,147.257,
2014-10,145.404,
2014-11,138.756,
2014-12,147.741,
"","General: From 1973, including Denmark, Ireland and the United Kingdom; from 1981, including Greece; from 1986, including Portugal and Spain; from 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
