"",BBQFS.M.DE.BANK.CBC.U0.0000,BBQFS.M.DE.BANK.CBC.U0.0000_FLAGS
"",Cross-border claims of German banks on the EU (FSR 2014),
unit,¤ (hypothetically euro-based),
unit multiplier,billion,
last update,2015-01-07 17:09:34,
2002-03,727.02,
2002-04,787.33,
2002-05,768.65,
2002-06,671.95,
2002-07,686.47,
2002-08,704.86,
2002-09,718.83,
2002-10,746.00,
2002-11,766.04,
2002-12,664.86,
2003-01,701.85,
2003-02,712.95,
2003-03,700.16,
2003-04,732.51,
2003-05,737.23,
2003-06,735.89,
2003-07,710.64,
2003-08,676.66,
2003-09,686.45,
2003-10,686.89,
2003-11,660.29,
2003-12,639.17,
2004-01,713.27,
2004-02,739.92,
2004-03,759.93,
2004-04,793.04,
2004-05,768.15,
2004-06,755.58,
2004-07,755.81,
2004-08,750.79,
2004-09,776.99,
2004-10,773.87,
2004-11,822.77,
2004-12,795.53,
2005-01,839.92,
2005-02,841.66,
2005-03,831.81,
2005-04,893.24,
2005-05,893.73,
2005-06,874.93,
2005-07,866.69,
2005-08,858.57,
2005-09,857.04,
2005-10,880.03,
2005-11,902.26,
2005-12,726.71,
2006-01,791.85,
2006-02,817.24,
2006-03,851.50,
2006-04,881.49,
2006-05,880.23,
2006-06,856.60,
2006-07,825.03,
2006-08,803.02,
2006-09,824.16,
2006-10,835.40,
2006-11,848.52,
2006-12,820.64,
2007-01,915.16,
2007-02,956.64,
2007-03,906.90,
2007-04,929.38,
2007-05,952.41,
2007-06,963.70,
2007-07,1008.03,
2007-08,936.21,
2007-09,931.39,
2007-10,905.97,
2007-11,952.69,
2007-12,910.43,
2008-01,901.28,
2008-02,909.85,
2008-03,910.64,
2008-04,903.95,
2008-05,913.68,
2008-06,849.58,
2008-07,859.41,
2008-08,859.97,
2008-09,883.14,
2008-10,880.01,
2008-11,812.29,
2008-12,704.36,
2009-01,739.69,
2009-02,722.37,
2009-03,684.32,
2009-04,713.44,
2009-05,700.91,
2009-06,685.18,
2009-07,677.03,
2009-08,660.03,
2009-09,635.21,
2009-10,659.74,
2009-11,671.78,
2009-12,627.33,
2010-01,678.37,
2010-02,645.51,
2010-03,646.57,
2010-04,690.06,
2010-05,681.84,
2010-06,676.37,
2010-07,649.16,
2010-08,671.64,
2010-09,647.11,
2010-10,682.98,
2010-11,699.16,
2010-12,624.59,
2011-01,640.82,
2011-02,659.29,
2011-03,631.24,
2011-04,647.53,
2011-05,656.47,
2011-06,621.97,
2011-07,634.71,
2011-08,643.71,
2011-09,639.53,
2011-10,623.46,
2011-11,629.85,
2011-12,609.28,
2012-01,646.49,
2012-02,671.01,
2012-03,601.71,
2012-04,616.34,
2012-05,660.88,
2012-06,622.12,
2012-07,658.85,
2012-08,646.07,
2012-09,642.73,
2012-10,633.98,
2012-11,624.33,
2012-12,576.08,
2013-01,598.50,
2013-02,617.18,
2013-03,609.27,
2013-04,621.33,
2013-05,615.08,
2013-06,591.49,
2013-07,578.98,
2013-08,608.91,
2013-09,600.66,
2013-10,607.79,
2013-11,603.77,
2013-12,562.13,
2014-01,596.27,
2014-02,615.10,
2014-03,589.39,
2014-04,602.54,
2014-05,617.26,
2014-06,608.93,
2014-07,647.08,
2014-08,631.79,
"",Methodology: As definded in the consolidated banking statistics of the Bank for International Settlements (including foreign branches and subsidiaries.,
