"",BBK01.CEH7Q1,BBK01.CEH7Q1_FLAGS
"",Other claims debtor: All sectors  (consolidated)                   creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:26,
1991-01,14.8,
1991-04,-9.8,
1991-07,7.6,
1991-10,-3.1,
1992-01,18.9,
1992-04,-6.5,
1992-07,-33.7,
1992-10,33.4,
1993-01,8.5,
1993-04,-3.0,
1993-07,-5.6,
1993-10,22.0,
1994-01,2.7,
1994-04,-7.2,
1994-07,2.0,
1994-10,-0.6,
1995-01,24.4,
1995-04,-2.0,
1995-07,-0.4,
1995-10,-8.8,
1996-01,15.6,
1996-04,-0.8,
1996-07,4.2,
1996-10,10.7,
1997-01,15.7,
1997-04,-4.3,
1997-07,17.3,
1997-10,-0.6,
1998-01,9.3,
1998-04,3.8,
1998-07,-16.2,
1998-10,18.3,
1999-01,0.4,
1999-04,-10.4,
1999-07,0.6,
1999-10,20.2,
2000-01,10.6,
2000-04,-3.4,
2000-07,-0.4,
2000-10,-1.9,
2001-01,5.4,
2001-04,-19.4,
2001-07,12.7,
2001-10,11.2,
2002-01,6.1,
2002-04,0.7,
2002-07,1.5,
2002-10,12.2,
2003-01,30.2,
2003-04,19.2,
2003-07,-19.2,
2003-10,9.6,
2004-01,10.5,
2004-04,-5.7,
2004-07,6.5,
2004-10,30.7,
2005-01,-7.7,
2005-04,-6.4,
2005-07,4.8,
2005-10,-22.2,
2006-01,27.4,
2006-04,5.5,
2006-07,-0.8,
2006-10,17.8,
2007-01,29.6,
2007-04,-0.8,
2007-07,28.2,
2007-10,55.1,
2008-01,18.1,
2008-04,10.6,
2008-07,4.9,
2008-10,-18.8,
2009-01,-31.1,
2009-04,20.2,
2009-07,4.9,
2009-10,13.5,
2010-01,-12.0,
2010-04,-18.5,
2010-07,22.2,
2010-10,-5.3,
2011-01,55.3,
2011-04,-12.7,
2011-07,-43.3,
2011-10,-6.0,
2012-01,13.6,
2012-04,-29.4,
2012-07,25.4,
2012-10,14.4,
2013-01,25.3,
2013-04,11.9,
2013-07,35.5,
2013-10,15.8,
2014-01,4.0,
