"",BBNZ1.Q.DE.N.H.0016.A,BBNZ1.Q.DE.N.H.0016.A_FLAGS
"",Germany / National accounts / Labour productivity per hour worked by persons in employment / Whole economy,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:55,
1991-01,71.55,
1991-04,77.99,
1991-07,73.68,
1991-10,76.34,
1992-01,73.81,
1992-04,79.90,
1992-07,75.64,
1992-10,77.81,
1993-01,74.79,
1993-04,81.55,
1993-07,77.41,
1993-10,79.06,
1994-01,76.73,
1994-04,83.82,
1994-07,79.11,
1994-10,81.69,
1995-01,78.17,
1995-04,86.15,
1995-07,80.79,
1995-10,82.32,
1996-01,79.25,
1996-04,87.08,
1996-07,82.33,
1996-10,85.00,
1997-01,82.21,
1997-04,89.16,
1997-07,84.37,
1997-10,86.54,
1998-01,84.18,
1998-04,90.94,
1998-07,85.32,
1998-10,85.93,
1999-01,84.32,
1999-04,91.52,
1999-07,87.09,
1999-10,88.10,
2000-01,85.96,
2000-04,94.78,
2000-07,89.08,
2000-10,90.29,
2001-01,88.89,
2001-04,96.97,
2001-07,91.27,
2001-10,92.64,
2002-01,89.95,
2002-04,97.48,
2002-07,92.91,
2002-10,93.88,
2003-01,90.52,
2003-04,98.79,
2003-07,93.55,
2003-10,94.46,
2004-01,92.06,
2004-04,100.43,
2004-07,94.79,
2004-10,93.88,
2005-01,94.13,
2005-04,100.66,
2005-07,96.35,
2005-10,95.60,
2006-01,94.58,
2006-04,103.36,
2006-07,98.27,
2006-10,98.13,
2007-01,96.57,
2007-04,104.57,
2007-07,100.00,
2007-10,99.21,
2008-01,98.36,
2008-04,104.54,
2008-07,100.14,
2008-10,97.78,
2009-01,93.80,
2009-04,102.24,
2009-07,97.67,
2009-10,96.97,
2010-01,97.29,
2010-04,104.91,
2010-07,100.25,
2010-10,97.86,
2011-01,99.55,
2011-04,106.76,
2011-07,101.86,
2011-10,100.08,
2012-01,99.88,
2012-04,107.90,
2012-07,102.41,
2012-10,100.75,
2013-01,100.78,
2013-04,107.66,
2013-07,102.37,
2013-10,101.52,
2014-01,100.84,
2014-04,108.01,
2014-07,102.51,
2014-10,101.47,
