"",BBK01.CEBO0B,BBK01.CEBO0B_FLAGS
"",Other deposits debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:37,
1991-01,155.2,
1991-04,157.1,
1991-07,159.6,
1991-10,160.6,
1992-01,166.7,
1992-04,167.9,
1992-07,169.2,
1992-10,172.1,
1993-01,179.6,
1993-04,182.6,
1993-07,187.5,
1993-10,192.6,
1994-01,204.0,
1994-04,209.8,
1994-07,216.6,
1994-10,220.3,
1995-01,233.0,
1995-04,239.6,
1995-07,246.8,
1995-10,251.2,
1996-01,264.6,
1996-04,274.1,
1996-07,281.4,
1996-10,281.9,
1997-01,292.5,
1997-04,297.4,
1997-07,300.0,
1997-10,303.9,
1998-01,314.8,
1998-04,317.2,
1998-07,321.2,
1998-10,320.4,
1999-01,332.6,
1999-04,334.7,
1999-07,343.7,
1999-10,352.7,
2000-01,364.7,
2000-04,367.7,
2000-07,368.7,
2000-10,372.3,
2001-01,378.4,
2001-04,381.6,
2001-07,385.3,
2001-10,387.2,
2002-01,391.3,
2002-04,391.2,
2002-07,394.0,
2002-10,400.7,
2003-01,409.1,
2003-04,409.1,
2003-07,415.5,
2003-10,417.5,
2004-01,428.3,
2004-04,436.8,
2004-07,444.5,
2004-10,456.0,
2005-01,469.1,
2005-04,469.9,
2005-07,471.9,
2005-10,472.2,
2006-01,480.4,
2006-04,489.0,
2006-07,499.0,
2006-10,504.2,
2007-01,515.8,
2007-04,526.1,
2007-07,532.5,
2007-10,544.5,
2008-01,555.1,
2008-04,558.5,
2008-07,558.5,
2008-10,556.9,
2009-01,568.1,
2009-04,569.1,
2009-07,572.2,
2009-10,569.6,
2010-01,570.9,
2010-04,564.9,
2010-07,561.4,
2010-10,554.8,
2011-01,558.5,
2011-04,559.0,
2011-07,560.9,
2011-10,553.9,
2012-01,550.5,
2012-04,545.4,
2012-07,544.6,
2012-10,536.4,
2013-01,534.2,
2013-04,531.8,
2013-07,524.0,
2013-10,520.3,
2014-01,514.6,
