"",BBK01.CEH0QB,BBK01.CEH0QB_FLAGS
"",Acquisition of financial assets debtor: All sectors  (consolidated)                  creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:27,
1991-01,12.3,
1991-04,4.5,
1991-07,11.5,
1991-10,6.2,
1992-01,18.5,
1992-04,0.2,
1992-07,17.8,
1992-10,6.0,
1993-01,14.0,
1993-04,3.1,
1993-07,22.5,
1993-10,7.3,
1994-01,22.8,
1994-04,16.8,
1994-07,12.1,
1994-10,1.1,
1995-01,10.8,
1995-04,12.8,
1995-07,14.3,
1995-10,15.4,
1996-01,25.6,
1996-04,13.7,
1996-07,11.9,
1996-10,7.3,
1997-01,30.1,
1997-04,15.2,
1997-07,13.0,
1997-10,16.5,
1998-01,23.4,
1998-04,17.6,
1998-07,14.2,
1998-10,17.1,
1999-01,25.9,
1999-04,10.3,
1999-07,12.8,
1999-10,19.8,
2000-01,28.2,
2000-04,14.4,
2000-07,10.5,
2000-10,6.8,
2001-01,20.9,
2001-04,12.7,
2001-07,12.6,
2001-10,41.1,
2002-01,39.7,
2002-04,15.4,
2002-07,16.5,
2002-10,18.4,
2003-01,14.9,
2003-04,12.5,
2003-07,7.4,
2003-10,55.3,
2004-01,22.0,
2004-04,6.1,
2004-07,8.4,
2004-10,13.9,
2005-01,27.7,
2005-04,8.1,
2005-07,13.4,
2005-10,44.0,
2006-01,11.6,
2006-04,20.7,
2006-07,8.1,
2006-10,20.3,
2007-01,14.0,
2007-04,17.2,
2007-07,14.0,
2007-10,24.8,
2008-01,11.8,
2008-04,3.1,
2008-07,17.5,
2008-10,12.6,
2009-01,25.4,
2009-04,-0.1,
2009-07,2.0,
2009-10,5.5,
2010-01,34.8,
2010-04,8.9,
2010-07,12.2,
2010-10,26.0,
2011-01,26.0,
2011-04,24.0,
2011-07,12.1,
2011-10,14.6,
2012-01,40.2,
2012-04,9.9,
2012-07,15.3,
2012-10,38.7,
2013-01,35.8,
2013-04,3.8,
2013-07,10.8,
2013-10,20.1,
2014-01,38.3,
