"",BBNZ1.Q.DE.N.H.0931.A,BBNZ1.Q.DE.N.H.0931.A_FLAGS
"",Germany / National accounts / Unit labour costs per hour / Production sector (excluding construction),
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:58,
1991-01,85.68,
1991-04,92.23,
1991-07,92.81,
1991-10,103.12,
1992-01,90.98,
1992-04,99.47,
1992-07,101.46,
1992-10,112.47,
1993-01,99.08,
1993-04,104.80,
1993-07,103.96,
1993-10,113.25,
1994-01,99.39,
1994-04,102.06,
1994-07,100.80,
1994-10,109.55,
1995-01,98.47,
1995-04,105.27,
1995-07,104.12,
1995-10,115.48,
1996-01,104.04,
1996-04,108.45,
1996-07,104.85,
1996-10,115.20,
1997-01,104.57,
1997-04,103.29,
1997-07,100.91,
1997-10,111.28,
1998-01,100.06,
1998-04,106.74,
1998-07,102.57,
1998-10,116.60,
1999-01,104.63,
1999-04,109.23,
1999-07,103.81,
1999-10,113.42,
2000-01,100.37,
2000-04,106.73,
2000-07,102.01,
2000-10,113.01,
2001-01,99.32,
2001-04,107.25,
2001-07,102.62,
2001-10,114.57,
2002-01,103.62,
2002-04,106.96,
2002-07,101.76,
2002-10,113.43,
2003-01,101.64,
2003-04,107.54,
2003-07,101.08,
2003-10,111.54,
2004-01,98.94,
2004-04,102.32,
2004-07,97.07,
2004-10,108.43,
2005-01,98.98,
2005-04,99.83,
2005-07,95.47,
2005-10,105.87,
2006-01,92.28,
2006-04,98.60,
2006-07,93.41,
2006-10,101.52,
2007-01,90.32,
2007-04,97.93,
2007-07,90.93,
2007-10,101.18,
2008-01,92.67,
2008-04,97.15,
2008-07,94.18,
2008-10,114.75,
2009-01,111.58,
2009-04,118.45,
2009-07,105.79,
2009-10,115.74,
2010-01,97.82,
2010-04,103.04,
2010-07,94.63,
2010-10,104.35,
2011-01,93.15,
2011-04,102.45,
2011-07,93.10,
2011-10,107.24,
2012-01,92.14,
2012-04,105.51,
2012-07,96.15,
2012-10,110.54,
2013-01,98.94,
2013-04,107.95,
2013-07,98.53,
2013-10,110.95,
2014-01,98.44,
2014-04,111.12,
2014-07,99.89,
2014-10,113.18,
