"",BBAI3.Q.DE.N.V.LE.F51M.SV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F51M.SV.A1.S.1.N.E.Z_FLAGS
"",Assets / Property and casualty insurance companies / Shares and other equity - Unquoted shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:45,
2005-10,31818,
2006-01,31789,
2006-04,31042,
2006-07,31473,
2006-10,34067,
2007-01,33158,
2007-04,32917,
2007-07,33255,
2007-10,33888,
2008-01,33563,
2008-04,33590,
2008-07,33429,
2008-10,33206,
2009-01,32685,
2009-04,32308,
2009-07,31126,
2009-10,31325,
2010-01,31266,
2010-04,31635,
2010-07,31761,
2010-10,31531,
2011-01,32514,
2011-04,32440,
2011-07,32427,
2011-10,32630,
2012-01,32714,
2012-04,33031,
2012-07,32664,
2012-10,30574,
2013-01,31944,
2013-04,32566,
2013-07,32734,
2013-10,32167,
2014-01,32482,
2014-04,32280,
2014-07,32369,
