"",BBAI3.Q.DE.N.V.LE.F51.SV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F51.SV.A1.S.1.N.E.Z_FLAGS
"",Assets / Property and casualty insurance companies / Shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:44,
2005-10,34499,
2006-01,34988,
2006-04,34235,
2006-07,35004,
2006-10,37964,
2007-01,37793,
2007-04,37929,
2007-07,36677,
2007-10,37406,
2008-01,36494,
2008-04,36391,
2008-07,36139,
2008-10,35317,
2009-01,34368,
2009-04,33953,
2009-07,32803,
2009-10,33069,
2010-01,33185,
2010-04,33430,
2010-07,33796,
2010-10,34021,
2011-01,34928,
2011-04,34876,
2011-07,34382,
2011-10,34379,
2012-01,34608,
2012-04,34728,
2012-07,34437,
2012-10,33031,
2013-01,33643,
2013-04,34267,
2013-07,34361,
2013-10,33840,
2014-01,34380,
2014-04,34267,
2014-07,34331,
