"",BBFN1.M.DE.N.1.L.NL.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.NL.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1978-04,.,No value available
1978-05,.,No value available
1978-06,.,No value available
1978-07,.,No value available
1978-08,.,No value available
1978-09,.,No value available
1978-10,.,No value available
1978-11,.,No value available
1978-12,0.844,
1979-01,.,No value available
1979-02,.,No value available
1979-03,.,No value available
1979-04,.,No value available
1979-05,.,No value available
1979-06,.,No value available
1979-07,.,No value available
1979-08,.,No value available
1979-09,.,No value available
1979-10,.,No value available
1979-11,.,No value available
1979-12,0.929,
1980-01,.,No value available
1980-02,.,No value available
1980-03,.,No value available
1980-04,.,No value available
1980-05,.,No value available
1980-06,.,No value available
1980-07,.,No value available
1980-08,.,No value available
1980-09,.,No value available
1980-10,.,No value available
1980-11,.,No value available
1980-12,0.977,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,0.844,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,0.969,
1982-10,0.986,
1982-11,0.944,
1982-12,0.956,
1983-01,0.954,
1983-02,0.956,
1983-03,0.986,
1983-04,0.971,
1983-05,1.108,
1983-06,1.136,
1983-07,1.197,
1983-08,1.219,
1983-09,1.220,
1983-10,1.222,
1983-11,1.212,
1983-12,1.108,
1984-01,1.307,
1984-02,1.460,
1984-03,1.464,
1984-04,1.487,
1984-05,1.558,
1984-06,1.571,
1984-07,1.591,
1984-08,1.597,
1984-09,1.593,
1984-10,1.511,
1984-11,1.470,
1984-12,1.377,
1985-01,1.443,
1985-02,1.844,
1985-03,2.028,
1985-04,1.999,
1985-05,2.029,
1985-06,2.046,
1985-07,2.040,
1985-08,1.877,
1985-09,1.803,
1985-10,1.882,
1985-11,1.877,
1985-12,2.041,
1986-01,2.075,
1986-02,2.215,
1986-03,2.011,
1986-04,2.029,
1986-05,2.301,
1986-06,2.320,
1986-07,2.337,
1986-08,2.578,
1986-09,2.666,
1986-10,2.708,
1986-11,2.714,
1986-12,2.653,
1987-01,3.014,
1987-02,3.119,
1987-03,2.907,
1987-04,2.946,
1987-05,3.002,
1987-06,3.286,
1987-07,3.338,
1987-08,3.369,
1987-09,3.364,
1987-10,3.443,
1987-11,3.446,
1987-12,3.559,
1988-01,3.618,
1988-02,3.682,
1988-03,3.632,
1988-04,4.019,
1988-05,4.118,
1988-06,4.154,
1988-07,4.182,
1988-08,4.194,
1988-09,4.189,
1988-10,4.186,
1988-11,4.306,
1988-12,4.900,
1989-01,5.366,
1989-02,5.960,
1989-03,5.894,
1989-04,5.931,
1989-05,5.947,
1989-06,5.979,
1989-07,6.362,
1989-08,6.366,
1989-09,6.370,
1989-10,6.615,
1989-11,6.562,
1989-12,6.539,
1990-01,6.625,
1990-02,6.838,
1990-03,6.912,
1990-04,7.548,
1990-05,7.503,
1990-06,7.514,
1990-07,7.525,
1990-08,7.382,
1990-09,7.504,
1990-10,7.474,
1990-11,7.471,
1990-12,7.284,
1991-01,7.380,
1991-02,7.932,
1991-03,8.087,
1991-04,8.191,
1991-05,8.234,
1991-06,8.319,
1991-07,8.351,
1991-08,8.414,
1991-09,8.466,
1991-10,8.419,
1991-11,8.431,
1991-12,8.354,
1992-01,8.429,
1992-02,8.557,
1992-03,8.670,
1992-04,8.787,
1992-05,8.826,
1992-06,8.950,
1992-07,8.984,
1992-08,9.110,
1992-09,9.129,
1992-10,9.240,
1992-11,9.344,
1992-12,9.616,
1993-01,9.476,
1993-02,9.565,
1993-03,9.542,
1993-04,9.613,
1993-05,9.763,
1993-06,9.876,
1993-07,9.921,
1993-08,9.901,
1993-09,9.949,
1993-10,9.947,
1993-11,10.033,
1993-12,10.564,
1994-01,10.578,
1994-02,10.624,
1994-03,10.644,
1994-04,10.786,
1994-05,10.996,
1994-06,11.025,
1994-07,10.924,
1994-08,10.902,
1994-09,10.849,
1994-10,10.495,
1994-11,10.194,
1994-12,11.019,
1995-01,10.528,
1995-02,10.461,
1995-03,10.477,
1995-04,10.586,
1995-05,10.715,
1995-06,10.890,
1995-07,11.385,
1995-08,11.369,
1995-09,11.466,
1995-10,11.470,
1995-11,11.461,
1995-12,11.086,
1996-01,10.832,
1996-02,11.082,
1996-03,10.656,
1996-04,10.747,
1996-05,10.842,
1996-06,10.685,
1996-07,10.606,
1996-08,10.659,
1996-09,10.902,
1996-10,11.055,
1996-11,11.110,
1996-12,10.599,
1997-01,10.687,
1997-02,10.701,
1997-03,10.713,
1997-04,10.888,
1997-05,10.805,
1997-06,10.763,
1997-07,11.532,
1997-08,11.804,
1997-09,12.837,
1997-10,12.861,
1997-11,12.750,
1997-12,12.530,
1998-01,12.275,
1998-02,13.859,
1998-03,14.833,
1998-04,15.646,
1998-05,16.364,
1998-06,16.902,
1998-07,18.291,
1998-08,17.763,
1998-09,17.944,
1998-10,19.015,
1998-11,18.374,
1998-12,20.516,
1999-01,20.538,
1999-02,20.579,
1999-03,20.799,
1999-04,20.690,
1999-05,24.706,
1999-06,25.771,
1999-07,28.614,
1999-08,29.115,
1999-09,31.334,
1999-10,33.948,
1999-11,35.376,
1999-12,37.386,
2000-01,37.980,
2000-02,39.203,
2000-03,39.264,
2000-04,38.359,
2000-05,38.640,
2000-06,40.682,
2000-07,56.407,
2000-08,56.259,
2000-09,57.626,
2000-10,57.587,
2000-11,54.793,
2000-12,54.332,
2001-01,56.485,
2001-02,56.128,
2001-03,56.736,
2001-04,55.593,
2001-05,56.589,
2001-06,55.289,
2001-07,63.786,
2001-08,63.201,
2001-09,65.928,
2001-10,66.785,
2001-11,67.702,
2001-12,68.129,
2002-01,72.973,
2002-02,75.846,
2002-03,80.226,
2002-04,87.793,
2002-05,106.685,
2002-06,106.817,
2002-07,107.832,
2002-08,107.750,
2002-09,108.193,
2002-10,110.275,
2002-11,111.293,
2002-12,107.588,
2003-01,107.507,
2003-02,108.799,
2003-03,109.454,
2003-04,112.506,
2003-05,112.963,
2003-06,116.505,
2003-07,116.472,
2003-08,117.489,
2003-09,114.889,
2003-10,115.431,
2003-11,115.980,
2003-12,114.629,
2004-01,114.573,
2004-02,113.828,
2004-03,113.722,
2004-04,113.717,
2004-05,119.691,
2004-06,120.533,
2004-07,120.578,
2004-08,119.865,
2004-09,115.331,
2004-10,112.535,
2004-11,110.417,
2004-12,110.140,
2005-01,112.388,
2005-02,113.929,
2005-03,112.540,
2005-04,112.286,
2005-05,114.978,
2005-06,113.080,
2005-07,109.776,
2005-08,108.954,
2005-09,108.677,
2005-10,111.931,
2005-11,111.796,
2005-12,110.499,
2006-01,112.068,
2006-02,113.009,
2006-03,117.841,
2006-04,116.332,
2006-05,116.066,
2006-06,116.799,
2006-07,113.785,
2006-08,113.671,
2006-09,113.672,
2006-10,113.793,
2006-11,114.476,
2006-12,110.195,
2007-01,110.466,
2007-02,108.694,
2007-03,108.495,
2007-04,110.712,
2007-05,108.388,
2007-06,108.656,
2007-07,121.696,
2007-08,122.525,
2007-09,120.547,
2007-10,122.197,
2007-11,119.132,
2007-12,112.805,
2008-01,113.175,
2008-02,112.056,
2008-03,111.700,
2008-04,114.710,
2008-05,118.679,
2008-06,115.251,
2008-07,115.396,
2008-08,116.206,
2008-09,120.764,
2008-10,107.996,
2008-11,107.021,
2008-12,106.594,
2009-01,114.087,
2009-02,123.589,
2009-03,123.452,
2009-04,126.134,
2009-05,127.930,
2009-06,129.600,
2009-07,133.883,
2009-08,133.963,
2009-09,131.310,
2009-10,132.670,
2009-11,132.437,
2009-12,134.052,
2010-01,130.386,
2010-02,130.441,
2010-03,133.923,
2010-04,134.379,
2010-05,131.254,
2010-06,129.027,
2010-07,131.738,
2010-08,132.352,
2010-09,132.787,
2010-10,131.727,
2010-11,130.503,
2010-12,130.238,
2011-01,129.588,
2011-02,127.426,
2011-03,130.127,
2011-04,129.715,
2011-05,130.244,
2011-06,129.090,
2011-07,127.929,
2011-08,126.688,
2011-09,124.643,
2011-10,124.815,
2011-11,124.485,
2011-12,124.535,
2012-01,125.900,
2012-02,125.562,
2012-03,128.167,
2012-04,130.809,
2012-05,133.290,
2012-06,134.292,
2012-07,134.151,
2012-08,135.698,
2012-09,136.277,
2012-10,134.807,
2012-11,136.914,
2012-12,136.872,
2013-01,137.587,
2013-02,136.574,
2013-03,141.479,
2013-04,151.167,
2013-05,150.298,
2013-06,150.715,
2013-07,149.735,
2013-08,147.010,
2013-09,148.035,
2013-10,151.146,
2013-11,150.020,
2013-12,148.778,
2014-01,146.191,
2014-02,147.357,
2014-03,151.517,
2014-04,150.556,
2014-05,153.219,
2014-06,153.896,
2014-07,153.238,
2014-08,153.031,
2014-09,152.416,
2014-10,154.168,
2014-11,154.000,
2014-12,152.582,
