"",BBAI3.Q.DE.N.V.LE.F511.RV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F511.RV.A1.S.1.N.E.Z_FLAGS
"",Assets / Reinsurance companies / Shares and other equity - Quoted shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:00,
2005-10,21083,
2006-01,24357,
2006-04,26216,
2006-07,28537,
2006-10,30711,
2007-01,27469,
2007-04,24350,
2007-07,22840,
2007-10,22869,
2008-01,19596,
2008-04,16323,
2008-07,13108,
2008-10,9078,
2009-01,9205,
2009-04,9081,
2009-07,10187,
2009-10,11734,
2010-01,11346,
2010-04,11108,
2010-07,8984,
2010-10,7744,
2011-01,7520,
2011-04,7226,
2011-07,6961,
2011-10,5991,
2012-01,6490,
2012-04,6923,
2012-07,6602,
2012-10,8292,
2013-01,5631,
2013-04,6621,
2013-07,7130,
2013-10,7771,
2014-01,7844,
2014-04,7216,
2014-07,7165,
