"",BBK01.CEH42Q,BBK01.CEH42Q_FLAGS
"",Loans (consolidated) debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:09,
1991-01,1.3,
1991-04,2.5,
1991-07,-0.2,
1991-10,-0.3,
1992-01,1.1,
1992-04,2.1,
1992-07,1.9,
1992-10,2.0,
1993-01,1.4,
1993-04,1.3,
1993-07,-0.4,
1993-10,1.5,
1994-01,4.4,
1994-04,1.7,
1994-07,0.2,
1994-10,1.1,
1995-01,5.5,
1995-04,1.7,
1995-07,-0.6,
1995-10,2.1,
1996-01,4.6,
1996-04,0.9,
1996-07,-0.2,
1996-10,8.4,
1997-01,4.1,
1997-04,7.7,
1997-07,-3.0,
1997-10,3.7,
1998-01,7.5,
1998-04,15.8,
1998-07,-6.8,
1998-10,3.2,
1999-01,1.2,
1999-04,16.0,
1999-07,-8.0,
1999-10,10.7,
2000-01,31.6,
2000-04,16.8,
2000-07,-5.8,
2000-10,44.9,
2001-01,26.2,
2001-04,-1.7,
2001-07,17.3,
2001-10,-7.6,
2002-01,-2.4,
2002-04,12.0,
2002-07,7.9,
2002-10,9.3,
2003-01,16.4,
2003-04,6.3,
2003-07,10.2,
2003-10,-25.3,
2004-01,-13.3,
2004-04,-6.0,
2004-07,-3.9,
2004-10,-11.5,
2005-01,3.8,
2005-04,6.1,
2005-07,22.2,
2005-10,-7.5,
2006-01,40.7,
2006-04,18.7,
2006-07,14.4,
2006-10,-18.9,
2007-01,31.9,
2007-04,17.9,
2007-07,8.2,
2007-10,-31.2,
2008-01,44.4,
2008-04,13.8,
2008-07,3.1,
2008-10,20.3,
2009-01,27.1,
2009-04,17.4,
2009-07,-3.7,
2009-10,19.5,
2010-01,-15.7,
2010-04,42.4,
2010-07,5.0,
2010-10,13.4,
2011-01,4.0,
2011-04,42.7,
2011-07,53.3,
2011-10,-28.3,
2012-01,35.9,
2012-04,39.3,
2012-07,-18.4,
2012-10,-21.3,
2013-01,36.7,
2013-04,53.1,
2013-07,-44.4,
2013-10,-17.2,
2014-01,17.2,
