"",BBAI3.Q.DE.N.V.LE.F29AB.EV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AB.EV.A1.S.1.N.E.Z_FLAGS
"",Assets / Primary insurance companies / Deposits over 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:17,
2005-10,352434,
2006-01,356553,
2006-04,362179,
2006-07,367468,
2006-10,370649,
2007-01,377924,
2007-04,384738,
2007-07,388759,
2007-10,393248,
2008-01,395904,
2008-04,399034,
2008-07,397588,
2008-10,392971,
2009-01,399624,
2009-04,404079,
2009-07,402644,
2009-10,395125,
2010-01,398354,
2010-04,395353,
2010-07,392495,
2010-10,385053,
2011-01,387204,
2011-04,386378,
2011-07,383820,
2011-10,375127,
2012-01,371317,
2012-04,368720,
2012-07,366067,
2012-10,359999,
2013-01,358514,
2013-04,355545,
2013-07,349896,
2013-10,343895,
2014-01,338463,
2014-04,335232,
2014-07,331868,
