"",BBK01.CEB5B0,BBK01.CEB5B0_FLAGS
"",Shares and other equity debtor: Insurance corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:47,
1991-01,96.6,
1991-04,101.3,
1991-07,95.4,
1991-10,95.6,
1992-01,104.1,
1992-04,102.6,
1992-07,83.8,
1992-10,92.9,
1993-01,107.1,
1993-04,109.2,
1993-07,128.9,
1993-10,142.9,
1994-01,124.1,
1994-04,129.7,
1994-07,126.2,
1994-10,131.0,
1995-01,120.7,
1995-04,138.0,
1995-07,144.4,
1995-10,145.6,
1996-01,144.6,
1996-04,153.8,
1996-07,166.6,
1996-10,155.5,
1997-01,184.5,
1997-04,207.3,
1997-07,236.8,
1997-10,238.1,
1998-01,277.2,
1998-04,298.5,
1998-07,270.4,
1998-10,280.7,
1999-01,275.3,
1999-04,264.5,
1999-07,253.3,
1999-10,333.4,
2000-01,407.6,
2000-04,332.5,
2000-07,372.7,
2000-10,304.6,
2001-01,320.0,
2001-04,331.5,
2001-07,211.8,
2001-10,239.4,
2002-01,281.7,
2002-04,252.8,
2002-07,124.1,
2002-10,85.7,
2003-01,77.0,
2003-04,115.1,
2003-07,117.4,
2003-10,140.9,
2004-01,134.2,
2004-04,133.9,
2004-07,122.7,
2004-10,139.7,
2005-01,147.1,
2005-04,141.0,
2005-07,160.4,
2005-10,186.0,
2006-01,180.4,
2006-04,166.0,
2006-07,193.7,
2006-10,210.0,
2007-01,219.2,
2007-04,232.5,
2007-07,225.6,
2007-10,214.8,
2008-01,192.8,
2008-04,178.4,
2008-07,161.1,
2008-10,136.0,
2009-01,109.5,
2009-04,110.0,
2009-07,134.3,
2009-10,136.2,
2010-01,146.8,
2010-04,129.9,
2010-07,128.4,
2010-10,137.6,
2011-01,146.1,
2011-04,137.8,
2011-07,108.3,
2011-10,111.8,
2012-01,134.6,
2012-04,123.0,
2012-07,141.1,
2012-10,158.9,
2013-01,169.7,
2013-04,172.1,
2013-07,177.0,
2013-10,197.7,
2014-01,191.3,
