"",BBSF2.M.1.P.00000.GEL01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEL01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
1987-11,-,Nothing exists
1987-12,-,Nothing exists
1988-01,-,Nothing exists
1988-02,-,Nothing exists
1988-03,-,Nothing exists
1988-04,-,Nothing exists
1988-05,-,Nothing exists
1988-06,-,Nothing exists
1988-07,-,Nothing exists
1988-08,-,Nothing exists
1988-09,-,Nothing exists
1988-10,-,Nothing exists
1988-11,-,Nothing exists
1988-12,-,Nothing exists
1989-01,-,Nothing exists
1989-02,-,Nothing exists
1989-03,-,Nothing exists
1989-04,-,Nothing exists
1989-05,-,Nothing exists
1989-06,-,Nothing exists
1989-07,-,Nothing exists
1989-08,-,Nothing exists
1989-09,-,Nothing exists
1989-10,-,Nothing exists
1989-11,-,Nothing exists
1989-12,-,Nothing exists
1990-01,-,Nothing exists
1990-02,-,Nothing exists
1990-03,-,Nothing exists
1990-04,-,Nothing exists
1990-05,-,Nothing exists
1990-06,-,Nothing exists
1990-07,-,Nothing exists
1990-08,-,Nothing exists
1990-09,-,Nothing exists
1990-10,-,Nothing exists
1990-11,-,Nothing exists
1990-12,-,Nothing exists
1991-01,-,Nothing exists
1991-02,-,Nothing exists
1991-03,-,Nothing exists
1991-04,-,Nothing exists
1991-05,-,Nothing exists
1991-06,-,Nothing exists
1991-07,-,Nothing exists
1991-08,-,Nothing exists
1991-09,-,Nothing exists
1991-10,-,Nothing exists
1991-11,-,Nothing exists
1991-12,-,Nothing exists
1992-01,-,Nothing exists
1992-02,-,Nothing exists
1992-03,-,Nothing exists
1992-04,-,Nothing exists
1992-05,-,Nothing exists
1992-06,-,Nothing exists
1992-07,-,Nothing exists
1992-08,-,Nothing exists
1992-09,-,Nothing exists
1992-10,-,Nothing exists
1992-11,-,Nothing exists
1992-12,-,Nothing exists
1993-01,-,Nothing exists
1993-02,-,Nothing exists
1993-03,-,Nothing exists
1993-04,-,Nothing exists
1993-05,-,Nothing exists
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,-,Nothing exists
1993-11,-,Nothing exists
1993-12,-,Nothing exists
1994-01,-,Nothing exists
1994-02,-,Nothing exists
1994-03,-,Nothing exists
1994-04,-,Nothing exists
1994-05,-,Nothing exists
1994-06,-,Nothing exists
1994-07,-,Nothing exists
1994-08,-,Nothing exists
1994-09,820,
1994-10,1507,
1994-11,2660,
1994-12,12834,
1995-01,2718,
1995-02,1840,
1995-03,1908,
1995-04,1828,
1995-05,2134,
1995-06,2079,
1995-07,2034,
1995-08,2035,
1995-09,1849,
1995-10,2120,
1995-11,2321,
1995-12,6091,
1996-01,3378,
1996-02,3401,
1996-03,2487,
1996-04,2169,
1996-05,2042,
1996-06,1531,
1996-07,1875,
1996-08,1607,
1996-09,1652,
1996-10,2117,
1996-11,1660,
1996-12,2676,
1997-01,2509,
1997-02,2120,
1997-03,1858,
1997-04,1881,
1997-05,1520,
1997-06,1766,
1997-07,2522,
1997-08,2272,
1997-09,2008,
1997-10,1813,
1997-11,1615,
1997-12,2503,
1998-01,2971,
1998-02,3047,
1998-03,2848,
1998-04,2530,
1998-05,2167,
1998-06,2301,
1998-07,2725,
1998-08,2763,
1998-09,2523,
1998-10,2695,
1998-11,2118,
1998-12,3085,
1999-01,3662,
1999-02,2739,
1999-03,2767,
1999-04,3003,
1999-05,2907,
1999-06,3174,
1999-07,3398,
1999-08,2992,
1999-09,3106,
1999-10,2672,
1999-11,2895,
1999-12,3364,
2000-01,5546,
2000-02,4601,
2000-03,4363,
2000-04,2904,
2000-05,3346,
2000-06,2500,
2000-07,2467,
2000-08,2812,
2000-09,2754,
2000-10,2959,
2000-11,3250,
2000-12,3669,
2001-01,4590,
2001-02,3701,
2001-03,4231,
2001-04,3207,
2001-05,3235,
2001-06,3339,
2001-07,3444,
2001-08,4121,
2001-09,4518,
2001-10,5082,
2001-11,4834,
2001-12,6977,
2002-01,5859,
2002-02,4341,
2002-03,4090,
2002-04,4276,
2002-05,4127,
2002-06,5062,
2002-07,5174,
2002-08,4668,
2002-09,4382,
2002-10,5242,
2002-11,5070,
2002-12,5645,
2003-01,7002,
2003-02,5873,
2003-03,5484,
2003-04,4253,
2003-05,4295,
2003-06,4249,
2003-07,4739,
2003-08,3892,
2003-09,4636,
2003-10,3352,
2003-11,3117,
2003-12,5115,
2004-01,4208,
2004-02,3966,
2004-03,4319,
2004-04,2805,
2004-05,2823,
2004-06,2872,
2004-07,6822,
2004-08,3891,
2004-09,2578,
2004-10,2882,
2004-11,2735,
2004-12,3217,
2005-01,4328,
2005-02,3469,
2005-03,5395,
2005-04,4288,
2005-05,2217,
2005-06,3755,
2005-07,3465,
2005-08,2668,
2005-09,2657,
2005-10,3572,
2005-11,3295,
2005-12,4524,
2006-01,3636,
2006-02,3199,
2006-03,3166,
2006-04,2704,
2006-05,4052,
2006-06,3970,
2006-07,3311,
2006-08,2969,
2006-09,2802,
2006-10,3529,
2006-11,3221,
2006-12,4554,
2007-01,3706,
2007-02,3320,
2007-03,4787,
2007-04,3095,
2007-05,3372,
2007-06,4521,
2007-07,3580,
2007-08,4061,
2007-09,3962,
2007-10,2582,
2007-11,2644,
2007-12,2420,
2008-01,3502,
2008-02,2081,
2008-03,1744,
2008-04,1313,
2008-05,1211,
2008-06,1300,
2008-07,1537,
2008-08,1151,
2008-09,1383,
2008-10,1184,
2008-11,712,
2008-12,896,
2009-01,706,
2009-02,506,
2009-03,693,
2009-04,410,
2009-05,400,
2009-06,377,
2009-07,569,
2009-08,503,
2009-09,464,
2009-10,466,
2009-11,423,
2009-12,531,
2010-01,1249,
2010-02,384,
2010-03,426,
2010-04,460,
2010-05,822,
2010-06,576,
2010-07,1173,
2010-08,605,
2010-09,301,
2010-10,303,
2010-11,734,
2010-12,528,
2011-01,587,
2011-02,459,
2011-03,742,
2011-04,403,
2011-05,271,
2011-06,308,
2011-07,222,
2011-08,700,
2011-09,432,
2011-10,368,
2011-11,230,
2011-12,294,
2012-01,274,
2012-02,170,
2012-03,192,
2012-04,172,
2012-05,225,
2012-06,322,
2012-07,183,
2012-08,180,
2012-09,110,
2012-10,196,
2012-11,97,
2012-12,183,
2013-01,87,
2013-02,61,
2013-03,65,
2013-04,121,
2013-05,117,
2013-06,286,
2013-07,235,
2013-08,140,
2013-09,112,
2013-10,68,
2013-11,73,
2013-12,152,
2014-01,262,
2014-02,116,
2014-03,70,
2014-04,125,
2014-05,128,
2014-06,48,
2014-07,110,
2014-08,91,
2014-09,111,
2014-10,168,
2014-11,126,
