"",BBNZ1.Q.DE.N.H.0151.L,BBNZ1.Q.DE.N.H.0151.L_FLAGS
"","Germany / National accounts / Use of gross domestic product / Gross fixed capital formation (price adjusted) 1, 2, 3",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:42:44,
1970-01,44.95,
1970-04,62.67,
1970-07,64.07,
1970-10,67.29,
1971-01,52.98,
1971-04,66.36,
1971-07,65.21,
1971-10,68.70,
1972-01,55.97,
1972-04,67.42,
1972-07,65.96,
1972-10,70.73,
1973-01,59.02,
1973-04,68.63,
1973-07,65.58,
1973-10,68.01,
1974-01,54.73,
1974-04,61.76,
1974-07,59.92,
1974-10,62.27,
1975-01,49.22,
1975-04,58.03,
1975-07,57.59,
1975-10,63.10,
1976-01,49.30,
1976-04,61.84,
1976-07,59.18,
1976-10,65.59,
1977-01,53.54,
1977-04,63.17,
1977-07,62.31,
1977-10,67.50,
1978-01,53.45,
1978-04,67.24,
1978-07,66.41,
1978-10,71.35,
1979-01,54.77,
1979-04,72.31,
1979-07,71.16,
1979-10,76.23,
1980-01,62.00,
1980-04,72.96,
1980-07,72.17,
1980-10,73.51,
1981-01,57.07,
1981-04,71.84,
1981-07,70.08,
1981-10,68.57,
1982-01,53.20,
1982-04,67.52,
1982-07,66.20,
1982-10,68.44,
1983-01,53.23,
1983-04,68.87,
1983-07,68.61,
1983-10,72.27,
1984-01,55.10,
1984-04,66.48,
1984-07,68.91,
1984-10,72.92,
1985-01,52.20,
1985-04,68.85,
1985-07,70.10,
1985-10,74.05,
1986-01,53.35,
1986-04,72.10,
1986-07,71.68,
1986-10,76.50,
1987-01,53.86,
1987-04,73.00,
1987-07,74.15,
1987-10,78.30,
1988-01,60.49,
1988-04,75.76,
1988-07,76.29,
1988-10,80.86,
1989-01,66.50,
1989-04,81.46,
1989-07,80.04,
1989-10,86.63,
1990-01,73.64,
1990-04,87.37,
1990-07,86.12,
1990-10,92.69,
1991-01,77.41,
1991-04,92.70,
1991-07,92.04,
1991-10,95.13,
1992-01,84.37,
1992-04,96.28,
1992-07,94.12,
1992-10,96.10,
1993-01,79.72,
1993-04,92.15,
1993-07,91.89,
1993-10,91.60,
1994-01,81.52,
1994-04,95.10,
1994-07,94.73,
1994-10,96.77,
1995-01,83.16,
1995-04,95.66,
1995-07,94.22,
1995-10,94.58,
1996-01,77.48,
1996-04,95.71,
1996-07,96.47,
1996-10,95.84,
1997-01,79.01,
1997-04,96.66,
1997-07,96.13,
1997-10,96.55,
1998-01,85.95,
1998-04,96.75,
1998-07,99.63,
1998-10,100.64,
1999-01,88.19,
1999-04,101.90,
1999-07,104.79,
1999-10,106.23,
2000-01,93.85,
2000-04,104.17,
2000-07,105.85,
2000-10,107.04,
2001-01,93.67,
2001-04,102.74,
2001-07,102.30,
2001-10,102.24,
2002-01,85.82,
2002-04,97.00,
2002-07,98.00,
2002-10,97.13,
2003-01,83.46,
2003-04,94.75,
2003-07,97.21,
2003-10,97.26,
2004-01,83.67,
2004-04,94.65,
2004-07,96.38,
2004-10,97.92,
2005-01,79.57,
2005-04,96.08,
2005-07,97.07,
2005-10,100.92,
2006-01,85.38,
2006-04,101.63,
2006-07,103.49,
2006-10,109.39,
2007-01,94.25,
2007-04,105.02,
2007-07,106.63,
2007-10,111.64,
2008-01,95.29,
2008-04,109.42,
2008-07,109.11,
2008-10,108.79,
2009-01,84.59,
2009-04,96.43,
2009-07,99.46,
2009-10,100.21,
2010-01,84.51,
2010-04,103.13,
2010-07,105.59,
2010-10,106.76,
2011-01,96.05,
2011-04,109.55,
2011-07,111.39,
2011-10,112.23,
2012-01,98.20,
2012-04,108.15,
2012-07,109.86,
2012-10,109.95,
2013-01,92.03,
2013-04,108.72,
2013-07,111.59,
2013-10,111.31,
2014-01,100.40,
2014-04,111.04,
2014-07,113.19,
2014-10,113.35,
"","General: 1 Source of the original data: Federal Statistical Office. - 2 Territorial definition: Germany as of 1991, prior to that western Germany. Linked over annual average of 1991 (Bundesbank calculation). - 3 Methodology: Figures are chain-linked Laspeyres indices (annual overlap). As of 1970 up to the end of 1990, data basis according to ESA 1995. As of 1991, data basis according to ESA 2010.",
