"",BBFN1.M.DE.N.1.L.GB.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.GB.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1985-02,2.012,
1985-03,1.935,
1985-04,2.169,
1985-05,2.149,
1985-06,2.163,
1985-07,2.101,
1985-08,2.064,
1985-09,2.083,
1985-10,2.001,
1985-11,1.955,
1985-12,1.826,
1986-01,1.740,
1986-02,1.737,
1986-03,1.961,
1986-04,2.074,
1986-05,2.072,
1986-06,2.103,
1986-07,2.122,
1986-08,2.095,
1986-09,2.117,
1986-10,2.133,
1986-11,2.094,
1986-12,2.077,
1987-01,2.050,
1987-02,2.067,
1987-03,2.316,
1987-04,2.317,
1987-05,2.301,
1987-06,2.318,
1987-07,2.320,
1987-08,2.343,
1987-09,2.328,
1987-10,2.315,
1987-11,2.416,
1987-12,2.355,
1988-01,2.354,
1988-02,2.351,
1988-03,2.447,
1988-04,2.566,
1988-05,2.561,
1988-06,2.664,
1988-07,2.640,
1988-08,2.689,
1988-09,2.657,
1988-10,2.658,
1988-11,2.771,
1988-12,2.639,
1989-01,2.725,
1989-02,2.734,
1989-03,2.831,
1989-04,3.097,
1989-05,3.078,
1989-06,3.081,
1989-07,2.755,
1989-08,2.727,
1989-09,2.781,
1989-10,2.601,
1989-11,2.648,
1989-12,2.595,
1990-01,2.586,
1990-02,2.607,
1990-03,2.990,
1990-04,3.035,
1990-05,3.238,
1990-06,2.927,
1990-07,3.030,
1990-08,3.011,
1990-09,2.905,
1990-10,2.776,
1990-11,2.828,
1990-12,2.834,
1991-01,2.948,
1991-02,2.886,
1991-03,3.035,
1991-04,3.028,
1991-05,2.963,
1991-06,2.993,
1991-07,2.991,
1991-08,2.821,
1991-09,2.788,
1991-10,2.805,
1991-11,2.832,
1991-12,2.858,
1992-01,2.896,
1992-02,2.913,
1992-03,3.173,
1992-04,3.084,
1992-05,3.053,
1992-06,3.151,
1992-07,3.199,
1992-08,3.345,
1992-09,3.391,
1992-10,3.596,
1992-11,3.747,
1992-12,3.868,
1993-01,3.865,
1993-02,4.284,
1993-03,4.285,
1993-04,4.257,
1993-05,4.380,
1993-06,4.567,
1993-07,4.817,
1993-08,4.868,
1993-09,4.834,
1993-10,4.702,
1993-11,5.017,
1993-12,5.054,
1994-01,5.325,
1994-02,5.260,
1994-03,5.110,
1994-04,5.272,
1994-05,5.514,
1994-06,5.405,
1994-07,5.466,
1994-08,5.813,
1994-09,5.708,
1994-10,5.301,
1994-11,5.681,
1994-12,5.741,
1995-01,5.050,
1995-02,4.638,
1995-03,4.723,
1995-04,4.725,
1995-05,5.184,
1995-06,5.093,
1995-07,5.189,
1995-08,5.169,
1995-09,5.150,
1995-10,5.220,
1995-11,5.283,
1995-12,5.123,
1996-01,5.078,
1996-02,5.082,
1996-03,5.365,
1996-04,5.581,
1996-05,5.595,
1996-06,5.560,
1996-07,5.541,
1996-08,5.567,
1996-09,5.473,
1996-10,5.444,
1996-11,5.332,
1996-12,5.269,
1997-01,5.289,
1997-02,5.253,
1997-03,5.295,
1997-04,5.416,
1997-05,5.431,
1997-06,5.515,
1997-07,5.881,
1997-08,5.859,
1997-09,5.765,
1997-10,5.928,
1997-11,6.091,
1997-12,6.539,
1998-01,6.888,
1998-02,6.731,
1998-03,7.012,
1998-04,7.211,
1998-05,7.200,
1998-06,7.353,
1998-07,7.638,
1998-08,8.102,
1998-09,8.113,
1998-10,8.888,
1998-11,8.760,
1998-12,8.096,
1999-01,8.738,
1999-02,8.739,
1999-03,8.620,
1999-04,8.711,
1999-05,8.762,
1999-06,8.530,
1999-07,8.765,
1999-08,9.177,
1999-09,9.174,
1999-10,9.293,
1999-11,9.997,
1999-12,9.114,
2000-01,8.981,
2000-02,9.758,
2000-03,9.754,
2000-04,10.061,
2000-05,10.303,
2000-06,11.401,
2000-07,11.709,
2000-08,11.696,
2000-09,12.110,
2000-10,12.267,
2000-11,13.706,
2000-12,15.144,
2001-01,17.484,
2001-02,17.393,
2001-03,17.406,
2001-04,18.546,
2001-05,18.800,
2001-06,18.695,
2001-07,19.029,
2001-08,20.480,
2001-09,20.504,
2001-10,21.413,
2001-11,22.255,
2001-12,21.371,
2002-01,22.124,
2002-02,23.170,
2002-03,24.620,
2002-04,25.148,
2002-05,23.705,
2002-06,23.892,
2002-07,24.420,
2002-08,25.476,
2002-09,25.549,
2002-10,25.859,
2002-11,26.912,
2002-12,26.881,
2003-01,22.362,
2003-02,22.222,
2003-03,22.329,
2003-04,22.740,
2003-05,22.608,
2003-06,23.389,
2003-07,23.226,
2003-08,24.719,
2003-09,24.812,
2003-10,25.584,
2003-11,25.679,
2003-12,25.467,
2004-01,25.146,
2004-02,23.595,
2004-03,24.430,
2004-04,24.667,
2004-05,24.222,
2004-06,23.686,
2004-07,23.131,
2004-08,23.147,
2004-09,23.289,
2004-10,22.982,
2004-11,23.516,
2004-12,23.402,
2005-01,23.106,
2005-02,24.656,
2005-03,25.139,
2005-04,25.312,
2005-05,22.709,
2005-06,24.413,
2005-07,25.076,
2005-08,25.194,
2005-09,28.482,
2005-10,28.321,
2005-11,28.604,
2005-12,28.421,
2006-01,29.261,
2006-02,30.374,
2006-03,29.720,
2006-04,28.621,
2006-05,29.611,
2006-06,34.540,
2006-07,35.656,
2006-08,36.441,
2006-09,37.133,
2006-10,37.674,
2006-11,38.649,
2006-12,38.298,
2007-01,38.378,
2007-02,37.020,
2007-03,37.241,
2007-04,37.103,
2007-05,38.067,
2007-06,37.593,
2007-07,37.639,
2007-08,39.042,
2007-09,39.886,
2007-10,40.175,
2007-11,39.704,
2007-12,38.698,
2008-01,39.315,
2008-02,40.098,
2008-03,40.786,
2008-04,41.385,
2008-05,41.954,
2008-06,41.657,
2008-07,41.937,
2008-08,42.365,
2008-09,41.964,
2008-10,42.140,
2008-11,41.764,
2008-12,41.963,
2009-01,42.585,
2009-02,42.840,
2009-03,41.997,
2009-04,42.722,
2009-05,44.498,
2009-06,41.942,
2009-07,41.701,
2009-08,42.660,
2009-09,41.473,
2009-10,41.549,
2009-11,41.456,
2009-12,39.812,
2010-01,39.439,
2010-02,39.720,
2010-03,41.818,
2010-04,41.821,
2010-05,42.172,
2010-06,42.774,
2010-07,42.294,
2010-08,41.665,
2010-09,41.613,
2010-10,41.610,
2010-11,41.396,
2010-12,43.160,
2011-01,42.812,
2011-02,42.061,
2011-03,41.856,
2011-04,39.975,
2011-05,40.108,
2011-06,39.347,
2011-07,39.482,
2011-08,39.376,
2011-09,39.452,
2011-10,39.607,
2011-11,38.371,
2011-12,38.112,
2012-01,37.856,
2012-02,37.545,
2012-03,38.905,
2012-04,40.134,
2012-05,35.958,
2012-06,36.115,
2012-07,35.698,
2012-08,35.428,
2012-09,35.016,
2012-10,34.174,
2012-11,34.345,
2012-12,32.648,
2013-01,32.234,
2013-02,30.877,
2013-03,30.306,
2013-04,31.228,
2013-05,31.886,
2013-06,30.255,
2013-07,26.701,
2013-08,26.448,
2013-09,28.043,
2013-10,24.979,
2013-11,24.882,
2013-12,26.023,
2014-01,24.087,
2014-02,24.591,
2014-03,23.526,
2014-04,23.490,
2014-05,24.580,
2014-06,24.617,
2014-07,24.230,
2014-08,24.217,
2014-09,23.940,
2014-10,24.874,
2014-11,24.476,
2014-12,24.756,
"","General: Up to December 2002, including Guernsey, Jersey and the Isle of Man.",
