"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.EE.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.EE.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Estonia,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:15,
2009-09,6,
2009-10,4,
2009-11,4,
2009-12,4,
2010-01,6,
2010-02,5,
2010-03,5,
2010-04,6,
2010-05,4,
2010-06,4,
2010-07,4,
2010-08,4,
2010-09,4,
2010-10,5,
2010-11,4,
2010-12,5,
2011-01,5,
2011-02,5,
2011-03,4,
2011-04,4,
2011-05,4,
2011-06,4,
2011-07,4,
2011-08,4,
2011-09,3,
2011-10,3,
2011-11,3,
2011-12,3,
2012-01,3,
2012-02,3,
2012-03,3,
2012-04,3,
2012-05,3,
2012-06,3,
2012-07,3,
2012-08,4,
2012-09,4,
2012-10,4,
2012-11,4,
2012-12,4,
2013-01,5,
2013-02,5,
2013-03,5,
2013-04,5,
2013-05,4,
2013-06,5,
2013-07,5,
2013-08,5,
2013-09,5,
2013-10,5,
2013-11,5,
2013-12,5,
2014-01,5,
2014-02,5,
2014-03,5,
2014-04,4,
2014-05,4,
2014-06,4,
2014-07,4,
2014-08,4,
2014-09,4,
2014-10,3,
2014-11,3,
