"",BBK01.CELFCK,BBK01.CELFCK_FLAGS
"",long-term loans debtor: General government                                                          creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:02,
1999-01,0.2,
1999-04,0.2,
1999-07,0.1,
1999-10,2.6,
2000-01,0.4,
2000-04,0.2,
2000-07,0.1,
2000-10,-6.4,
2001-01,0.1,
2001-04,0.3,
2001-07,0.0,
2001-10,3.7,
2002-01,0.3,
2002-04,0.2,
2002-07,0.4,
2002-10,2.4,
2003-01,0.6,
2003-04,0.8,
2003-07,1.1,
2003-10,4.1,
2004-01,1.7,
2004-04,1.3,
2004-07,1.0,
2004-10,11.4,
2005-01,0.8,
2005-04,1.0,
2005-07,0.8,
2005-10,7.3,
2006-01,1.7,
2006-04,1.4,
2006-07,1.3,
2006-10,3.7,
2007-01,1.0,
2007-04,0.8,
2007-07,0.9,
2007-10,-2.0,
2008-01,1.5,
2008-04,1.5,
2008-07,1.4,
2008-10,1.4,
2009-01,4.3,
2009-04,4.7,
2009-07,4.8,
2009-10,4.7,
2010-01,2.2,
2010-04,0.4,
2010-07,0.2,
2010-10,-1.7,
2011-01,1.4,
2011-04,1.9,
2011-07,0.5,
2011-10,1.3,
2012-01,1.4,
2012-04,2.5,
2012-07,-0.4,
2012-10,0.2,
2013-01,-2.1,
2013-04,-0.5,
2013-07,0.5,
2013-10,1.8,
2014-01,1.3,
2014-04,0.2,
2014-07,0.6,
