"",BBFN1.M.DE.N.1.A.IE.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IE.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1984-04,0.001,
1984-05,0.001,
1984-06,0.002,
1984-07,0.001,
1984-08,0.001,
1984-09,0.001,
1984-10,0.001,
1984-11,0.001,
1984-12,0.003,
1985-01,0.003,
1985-02,0.002,
1985-03,0.002,
1985-04,0.005,
1985-05,0.005,
1985-06,0.005,
1985-07,0.003,
1985-08,0.003,
1985-09,0.003,
1985-10,0.003,
1985-11,0.004,
1985-12,0.005,
1986-01,0.004,
1986-02,0.003,
1986-03,0.004,
1986-04,0.003,
1986-05,0.004,
1986-06,0.006,
1986-07,0.004,
1986-08,0.004,
1986-09,0.004,
1986-10,0.005,
1986-11,0.003,
1986-12,0.003,
1987-01,0.004,
1987-02,0.004,
1987-03,0.005,
1987-04,0.004,
1987-05,0.004,
1987-06,0.004,
1987-07,0.004,
1987-08,0.004,
1987-09,0.009,
1987-10,0.004,
1987-11,0.008,
1987-12,0.008,
1988-01,0.004,
1988-02,0.004,
1988-03,0.006,
1988-04,0.004,
1988-05,0.005,
1988-06,0.006,
1988-07,0.005,
1988-08,0.005,
1988-09,0.025,
1988-10,0.007,
1988-11,0.005,
1988-12,0.011,
1989-01,0.011,
1989-02,0.011,
1989-03,0.011,
1989-04,0.012,
1989-05,0.011,
1989-06,0.015,
1989-07,0.011,
1989-08,0.006,
1989-09,0.025,
1989-10,0.007,
1989-11,0.008,
1989-12,0.008,
1990-01,0.006,
1990-02,0.007,
1990-03,0.008,
1990-04,0.006,
1990-05,0.010,
1990-06,0.007,
1990-07,0.007,
1990-08,0.006,
1990-09,0.015,
1990-10,0.014,
1990-11,0.014,
1990-12,0.012,
1991-01,0.013,
1991-02,0.013,
1991-03,0.015,
1991-04,0.015,
1991-05,0.016,
1991-06,0.021,
1991-07,0.029,
1991-08,0.028,
1991-09,0.027,
1991-10,0.026,
1991-11,0.027,
1991-12,0.025,
1992-01,0.025,
1992-02,0.025,
1992-03,0.030,
1992-04,0.029,
1992-05,0.031,
1992-06,0.031,
1992-07,0.029,
1992-08,0.132,
1992-09,0.035,
1992-10,0.039,
1992-11,0.049,
1992-12,0.066,
1993-01,0.033,
1993-02,0.034,
1993-03,0.028,
1993-04,0.033,
1993-05,0.032,
1993-06,0.040,
1993-07,0.048,
1993-08,0.048,
1993-09,0.048,
1993-10,0.032,
1993-11,0.032,
1993-12,0.032,
1994-01,0.071,
1994-02,0.088,
1994-03,0.131,
1994-04,0.279,
1994-05,0.329,
1994-06,0.342,
1994-07,0.428,
1994-08,0.652,
1994-09,0.691,
1994-10,0.803,
1994-11,0.778,
1994-12,0.782,
1995-01,0.872,
1995-02,0.911,
1995-03,1.069,
1995-04,1.134,
1995-05,1.189,
1995-06,1.308,
1995-07,1.416,
1995-08,1.332,
1995-09,1.436,
1995-10,1.676,
1995-11,1.621,
1995-12,1.202,
1996-01,1.236,
1996-02,1.345,
1996-03,1.572,
1996-04,1.650,
1996-05,1.860,
1996-06,1.647,
1996-07,1.767,
1996-08,1.716,
1996-09,1.733,
1996-10,1.741,
1996-11,1.681,
1996-12,1.772,
1997-01,1.749,
1997-02,1.790,
1997-03,1.841,
1997-04,1.701,
1997-05,1.651,
1997-06,1.837,
1997-07,2.129,
1997-08,1.933,
1997-09,2.197,
1997-10,2.326,
1997-11,2.108,
1997-12,1.683,
1998-01,2.292,
1998-02,2.541,
1998-03,2.493,
1998-04,2.091,
1998-05,2.070,
1998-06,2.372,
1998-07,2.532,
1998-08,2.681,
1998-09,2.281,
1998-10,2.412,
1998-11,2.203,
1998-12,1.815,
1999-01,2.413,
1999-02,2.380,
1999-03,2.001,
1999-04,2.121,
1999-05,2.203,
1999-06,1.405,
1999-07,1.593,
1999-08,1.638,
1999-09,1.403,
1999-10,1.822,
1999-11,1.838,
1999-12,1.364,
2000-01,1.585,
2000-02,1.611,
2000-03,1.670,
2000-04,1.808,
2000-05,1.728,
2000-06,1.734,
2000-07,1.834,
2000-08,1.795,
2000-09,1.666,
2000-10,1.695,
2000-11,1.825,
2000-12,1.391,
2001-01,2.427,
2001-02,2.397,
2001-03,2.318,
2001-04,2.367,
2001-05,2.387,
2001-06,2.467,
2001-07,2.911,
2001-08,3.117,
2001-09,3.186,
2001-10,3.098,
2001-11,3.255,
2001-12,2.619,
2002-01,2.971,
2002-02,2.991,
2002-03,2.736,
2002-04,2.670,
2002-05,2.558,
2002-06,2.404,
2002-07,2.951,
2002-08,3.349,
2002-09,2.871,
2002-10,3.256,
2002-11,2.402,
2002-12,2.211,
2003-01,3.079,
2003-02,3.120,
2003-03,2.670,
2003-04,2.709,
2003-05,2.663,
2003-06,2.488,
2003-07,2.739,
2003-08,2.773,
2003-09,2.568,
2003-10,2.732,
2003-11,2.691,
2003-12,2.262,
2004-01,3.186,
2004-02,3.385,
2004-03,3.370,
2004-04,3.062,
2004-05,2.623,
2004-06,3.055,
2004-07,2.968,
2004-08,2.760,
2004-09,2.706,
2004-10,2.970,
2004-11,3.107,
2004-12,2.440,
2005-01,3.559,
2005-02,3.783,
2005-03,4.147,
2005-04,4.076,
2005-05,4.104,
2005-06,4.030,
2005-07,3.691,
2005-08,3.824,
2005-09,3.763,
2005-10,3.697,
2005-11,3.514,
2005-12,3.420,
2006-01,4.103,
2006-02,4.075,
2006-03,3.837,
2006-04,3.492,
2006-05,3.309,
2006-06,3.402,
2006-07,3.214,
2006-08,3.440,
2006-09,3.791,
2006-10,3.502,
2006-11,3.040,
2006-12,2.921,
2007-01,3.686,
2007-02,3.195,
2007-03,3.937,
2007-04,3.872,
2007-05,4.485,
2007-06,4.215,
2007-07,4.433,
2007-08,4.181,
2007-09,4.189,
2007-10,4.828,
2007-11,4.397,
2007-12,3.566,
2008-01,4.971,
2008-02,4.340,
2008-03,5.296,
2008-04,4.724,
2008-05,4.887,
2008-06,5.126,
2008-07,4.893,
2008-08,4.522,
2008-09,4.338,
2008-10,3.637,
2008-11,3.478,
2008-12,3.451,
2009-01,2.621,
2009-02,2.770,
2009-03,2.985,
2009-04,3.992,
2009-05,3.878,
2009-06,4.045,
2009-07,4.344,
2009-08,4.510,
2009-09,4.900,
2009-10,4.704,
2009-11,4.467,
2009-12,3.724,
2010-01,4.425,
2010-02,4.746,
2010-03,4.831,
2010-04,4.786,
2010-05,5.005,
2010-06,4.122,
2010-07,4.296,
2010-08,4.958,
2010-09,4.442,
2010-10,3.272,
2010-11,4.073,
2010-12,3.529,
2011-01,4.068,
2011-02,3.522,
2011-03,3.395,
2011-04,2.922,
2011-05,3.695,
2011-06,3.395,
2011-07,4.237,
2011-08,3.468,
2011-09,3.323,
2011-10,3.098,
2011-11,3.230,
2011-12,2.871,
2012-01,9.172,
2012-02,9.475,
2012-03,11.413,
2012-04,13.876,
2012-05,17.041,
2012-06,16.065,
2012-07,16.898,
2012-08,17.577,
2012-09,17.953,
2012-10,17.312,
2012-11,16.341,
2012-12,17.519,
2013-01,16.448,
2013-02,15.630,
2013-03,14.439,
2013-04,15.632,
2013-05,16.653,
2013-06,15.765,
2013-07,15.539,
2013-08,15.133,
2013-09,4.847,
2013-10,3.854,
2013-11,4.133,
2013-12,4.962,
2014-01,4.387,
2014-02,4.066,
2014-03,4.424,
2014-04,3.946,
2014-05,3.948,
2014-06,4.160,
2014-07,3.784,
2014-08,4.084,
2014-09,4.170,
2014-10,3.806,
2014-11,5.203,
2014-12,3.893,
