"",BBAI3.Q.DE.N.V.LE.F.S1251.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F.S1251.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations (ICs) / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:59,
2005-10,1381655,
2006-01,1390499,
2006-04,1383546,
2006-07,1418562,
2006-10,1440640,
2007-01,1464986,
2007-04,1484859,
2007-07,1480051,
2007-10,1470537,
2008-01,1457334,
2008-04,1443664,
2008-07,1425893,
2008-10,1387580,
2009-01,1376384,
2009-04,1385378,
2009-07,1415653,
2009-10,1422810,
2010-01,1463000,
2010-04,1458507,
2010-07,1462497,
2010-10,1478964,
2011-01,1507445,
2011-04,1506678,
2011-07,1483849,
2011-10,1486273,
2012-01,1532216,
2012-04,1533985,
2012-07,1565513,
2012-10,1596993,
2013-01,1637478,
2013-04,1645928,
2013-07,1659308,
2013-10,1691600,
2014-01,1708563,
2014-04,1718627,
2014-07,1730014,
