"",BBK01.CEBH0B,BBK01.CEBH0B_FLAGS
"",Shares debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:42,
1991-01,32.3,
1991-04,33.0,
1991-07,30.5,
1991-10,32.1,
1992-01,36.9,
1992-04,32.0,
1992-07,32.8,
1992-10,34.9,
1993-01,40.9,
1993-04,37.5,
1993-07,51.6,
1993-10,58.7,
1994-01,52.0,
1994-04,51.9,
1994-07,50.8,
1994-10,56.2,
1995-01,52.1,
1995-04,58.3,
1995-07,59.7,
1995-10,65.6,
1996-01,65.7,
1996-04,68.3,
1996-07,71.9,
1996-10,79.4,
1997-01,91.8,
1997-04,97.9,
1997-07,108.6,
1997-10,133.7,
1998-01,137.6,
1998-04,147.7,
1998-07,150.7,
1998-10,154.2,
1999-01,94.0,
1999-04,100.2,
1999-07,101.7,
1999-10,127.6,
2000-01,140.5,
2000-04,139.2,
2000-07,142.7,
2000-10,125.8,
2001-01,128.1,
2001-04,133.7,
2001-07,128.4,
2001-10,118.7,
2002-01,134.1,
2002-04,124.2,
2002-07,102.1,
2002-10,86.8,
2003-01,79.9,
2003-04,91.8,
2003-07,94.1,
2003-10,94.8,
2004-01,93.0,
2004-04,91.7,
2004-07,90.6,
2004-10,93.7,
2005-01,96.0,
2005-04,97.2,
2005-07,110.4,
2005-10,102.7,
2006-01,152.1,
2006-04,154.7,
2006-07,162.6,
2006-10,168.6,
2007-01,169.6,
2007-04,174.1,
2007-07,167.0,
2007-10,172.1,
2008-01,165.5,
2008-04,160.1,
2008-07,154.2,
2008-10,142.1,
2009-01,139.8,
2009-04,140.3,
2009-07,142.6,
2009-10,145.7,
2010-01,146.6,
2010-04,145.6,
2010-07,147.0,
2010-10,153.6,
2011-01,154.9,
2011-04,154.3,
2011-07,150.6,
2011-10,147.7,
2012-01,150.9,
2012-04,149.2,
2012-07,150.3,
2012-10,155.9,
2013-01,151.3,
2013-04,151.8,
2013-07,153.2,
2013-10,154.4,
2014-01,158.5,
