"",BBK01.CELB0K,BBK01.CELB0K_FLAGS
"",long-term debt securities debtor: Total                               creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:55,
1999-01,1.8,
1999-04,0.6,
1999-07,-2.3,
1999-10,-11.5,
2000-01,0.2,
2000-04,-1.4,
2000-07,-1.9,
2000-10,-4.6,
2001-01,0.4,
2001-04,1.2,
2001-07,-1.4,
2001-10,4.0,
2002-01,4.5,
2002-04,-1.2,
2002-07,2.2,
2002-10,-1.8,
2003-01,4.2,
2003-04,4.1,
2003-07,0.8,
2003-10,20.4,
2004-01,0.7,
2004-04,1.8,
2004-07,-1.7,
2004-10,5.5,
2005-01,1.1,
2005-04,4.5,
2005-07,2.8,
2005-10,8.4,
2006-01,1.5,
2006-04,0.8,
2006-07,1.4,
2006-10,-1.6,
2007-01,3.2,
2007-04,1.6,
2007-07,-0.4,
2007-10,-1.5,
2008-01,1.7,
2008-04,-1.6,
2008-07,3.7,
2008-10,2.0,
2009-01,1.9,
2009-04,1.9,
2009-07,1.4,
2009-10,-0.2,
2010-01,9.1,
2010-04,5.4,
2010-07,2.0,
2010-10,2.1,
2011-01,6.1,
2011-04,6.5,
2011-07,-3.4,
2011-10,4.5,
2012-01,16.5,
2012-04,8.7,
2012-07,15.4,
2012-10,9.7,
2013-01,6.4,
2013-04,3.8,
2013-07,6.7,
2013-10,8.5,
2014-01,5.5,
2014-04,9.6,
2014-07,4.8,
