"",BBFN1.M.DE.N.1.A.US.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.US.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1978-11,0.349,
1978-12,0.143,
1979-01,0.153,
1979-02,0.090,
1979-03,0.106,
1979-04,0.118,
1979-05,0.163,
1979-06,0.144,
1979-07,0.166,
1979-08,0.228,
1979-09,0.126,
1979-10,0.128,
1979-11,0.128,
1979-12,0.110,
1980-01,0.172,
1980-02,0.150,
1980-03,0.188,
1980-04,0.158,
1980-05,0.142,
1980-06,0.147,
1980-07,0.147,
1980-08,0.191,
1980-09,0.189,
1980-10,0.189,
1980-11,0.272,
1980-12,0.196,
1981-01,0.257,
1981-02,0.262,
1981-03,0.238,
1981-04,0.293,
1981-05,0.428,
1981-06,0.326,
1981-07,0.349,
1981-08,0.368,
1981-09,0.339,
1981-10,0.328,
1981-11,0.350,
1981-12,0.296,
1982-01,0.384,
1982-02,0.322,
1982-03,0.323,
1982-04,0.353,
1982-05,0.348,
1982-06,0.379,
1982-07,0.346,
1982-08,0.373,
1982-09,0.366,
1982-10,0.386,
1982-11,0.391,
1982-12,0.384,
1983-01,0.341,
1983-02,0.385,
1983-03,0.399,
1983-04,0.423,
1983-05,0.411,
1983-06,0.490,
1983-07,0.489,
1983-08,0.468,
1983-09,0.368,
1983-10,0.336,
1983-11,0.378,
1983-12,0.468,
1984-01,0.396,
1984-02,0.531,
1984-03,0.493,
1984-04,0.582,
1984-05,0.601,
1984-06,0.635,
1984-07,0.741,
1984-08,0.659,
1984-09,0.552,
1984-10,0.502,
1984-11,0.484,
1984-12,0.595,
1985-01,0.551,
1985-02,0.596,
1985-03,0.652,
1985-04,0.625,
1985-05,0.572,
1985-06,0.581,
1985-07,0.539,
1985-08,0.556,
1985-09,0.518,
1985-10,0.582,
1985-11,0.591,
1985-12,0.725,
1986-01,0.821,
1986-02,0.809,
1986-03,0.921,
1986-04,1.073,
1986-05,1.139,
1986-06,1.152,
1986-07,0.948,
1986-08,1.156,
1986-09,1.082,
1986-10,1.151,
1986-11,1.069,
1986-12,0.937,
1987-01,0.968,
1987-02,1.174,
1987-03,1.175,
1987-04,1.231,
1987-05,1.258,
1987-06,1.059,
1987-07,1.392,
1987-08,1.345,
1987-09,1.164,
1987-10,1.203,
1987-11,1.263,
1987-12,1.410,
1988-01,1.547,
1988-02,1.500,
1988-03,1.693,
1988-04,1.735,
1988-05,1.736,
1988-06,1.578,
1988-07,1.462,
1988-08,1.456,
1988-09,1.477,
1988-10,1.663,
1988-11,1.583,
1988-12,1.294,
1989-01,1.675,
1989-02,1.347,
1989-03,1.423,
1989-04,1.597,
1989-05,1.527,
1989-06,1.469,
1989-07,1.490,
1989-08,1.625,
1989-09,1.543,
1989-10,1.606,
1989-11,1.782,
1989-12,1.434,
1990-01,1.494,
1990-02,2.114,
1990-03,2.104,
1990-04,2.293,
1990-05,2.214,
1990-06,1.595,
1990-07,1.858,
1990-08,2.107,
1990-09,2.086,
1990-10,2.289,
1990-11,1.639,
1990-12,1.446,
1991-01,1.580,
1991-02,1.690,
1991-03,1.845,
1991-04,2.093,
1991-05,2.379,
1991-06,2.504,
1991-07,2.036,
1991-08,1.891,
1991-09,1.990,
1991-10,2.169,
1991-11,2.540,
1991-12,1.730,
1992-01,1.910,
1992-02,2.305,
1992-03,2.199,
1992-04,2.168,
1992-05,1.913,
1992-06,1.874,
1992-07,2.042,
1992-08,1.875,
1992-09,1.583,
1992-10,1.854,
1992-11,1.943,
1992-12,1.854,
1993-01,1.723,
1993-02,1.994,
1993-03,1.977,
1993-04,2.018,
1993-05,1.764,
1993-06,2.049,
1993-07,1.797,
1993-08,1.774,
1993-09,1.841,
1993-10,2.296,
1993-11,2.404,
1993-12,2.180,
1994-01,1.969,
1994-02,1.833,
1994-03,1.792,
1994-04,2.052,
1994-05,2.211,
1994-06,1.921,
1994-07,1.831,
1994-08,1.858,
1994-09,2.157,
1994-10,1.892,
1994-11,2.151,
1994-12,1.734,
1995-01,1.701,
1995-02,2.142,
1995-03,2.000,
1995-04,1.731,
1995-05,1.697,
1995-06,1.577,
1995-07,1.845,
1995-08,2.054,
1995-09,1.711,
1995-10,2.191,
1995-11,1.863,
1995-12,1.344,
1996-01,1.628,
1996-02,1.673,
1996-03,2.240,
1996-04,2.307,
1996-05,3.980,
1996-06,3.238,
1996-07,2.186,
1996-08,2.447,
1996-09,2.246,
1996-10,2.057,
1996-11,2.588,
1996-12,2.145,
1997-01,1.522,
1997-02,2.372,
1997-03,3.080,
1997-04,2.915,
1997-05,2.975,
1997-06,2.535,
1997-07,2.667,
1997-08,1.383,
1997-09,1.296,
1997-10,1.214,
1997-11,1.266,
1997-12,1.341,
1998-01,2.072,
1998-02,1.854,
1998-03,2.243,
1998-04,2.538,
1998-05,2.726,
1998-06,1.750,
1998-07,1.461,
1998-08,1.632,
1998-09,2.015,
1998-10,1.727,
1998-11,1.698,
1998-12,1.765,
1999-01,1.622,
1999-02,1.515,
1999-03,1.645,
1999-04,1.485,
1999-05,1.524,
1999-06,1.240,
1999-07,1.092,
1999-08,1.038,
1999-09,1.132,
1999-10,1.181,
1999-11,1.421,
1999-12,1.330,
2000-01,1.380,
2000-02,1.350,
2000-03,1.308,
2000-04,1.698,
2000-05,1.559,
2000-06,1.531,
2000-07,1.818,
2000-08,1.710,
2000-09,1.136,
2000-10,2.429,
2000-11,1.244,
2000-12,1.180,
2001-01,1.273,
2001-02,1.334,
2001-03,1.324,
2001-04,1.302,
2001-05,2.108,
2001-06,1.052,
2001-07,1.070,
2001-08,1.183,
2001-09,1.097,
2001-10,1.212,
2001-11,1.222,
2001-12,1.315,
2002-01,1.264,
2002-02,0.961,
2002-03,0.999,
2002-04,0.828,
2002-05,1.131,
2002-06,0.890,
2002-07,0.977,
2002-08,1.283,
2002-09,1.174,
2002-10,0.962,
2002-11,0.918,
2002-12,0.937,
2003-01,0.841,
2003-02,1.026,
2003-03,1.061,
2003-04,0.958,
2003-05,0.965,
2003-06,1.080,
2003-07,1.020,
2003-08,0.932,
2003-09,0.905,
2003-10,1.015,
2003-11,0.907,
2003-12,0.928,
2004-01,0.995,
2004-02,0.878,
2004-03,1.109,
2004-04,0.679,
2004-05,0.998,
2004-06,1.041,
2004-07,1.170,
2004-08,0.915,
2004-09,0.939,
2004-10,0.924,
2004-11,0.979,
2004-12,0.893,
2005-01,0.938,
2005-02,0.668,
2005-03,0.750,
2005-04,0.616,
2005-05,0.626,
2005-06,0.637,
2005-07,0.668,
2005-08,0.622,
2005-09,0.736,
2005-10,0.714,
2005-11,0.599,
2005-12,0.779,
2006-01,0.901,
2006-02,1.065,
2006-03,1.199,
2006-04,1.250,
2006-05,1.522,
2006-06,1.198,
2006-07,1.002,
2006-08,1.022,
2006-09,1.130,
2006-10,1.132,
2006-11,1.045,
2006-12,1.349,
2007-01,1.488,
2007-02,1.762,
2007-03,1.463,
2007-04,1.621,
2007-05,1.495,
2007-06,1.698,
2007-07,1.760,
2007-08,1.462,
2007-09,1.270,
2007-10,1.675,
2007-11,1.564,
2007-12,1.456,
2008-01,1.488,
2008-02,0.934,
2008-03,1.153,
2008-04,1.301,
2008-05,0.858,
2008-06,0.829,
2008-07,0.985,
2008-08,1.123,
2008-09,1.855,
2008-10,1.957,
2008-11,1.679,
2008-12,0.802,
2009-01,1.860,
2009-02,1.183,
2009-03,1.133,
2009-04,0.980,
2009-05,0.715,
2009-06,0.601,
2009-07,0.612,
2009-08,0.612,
2009-09,0.626,
2009-10,0.873,
2009-11,0.648,
2009-12,0.745,
2010-01,0.535,
2010-02,0.517,
2010-03,0.524,
2010-04,0.600,
2010-05,0.621,
2010-06,0.549,
2010-07,0.724,
2010-08,0.526,
2010-09,0.721,
2010-10,0.593,
2010-11,0.586,
2010-12,0.614,
2011-01,0.662,
2011-02,0.552,
2011-03,0.636,
2011-04,0.919,
2011-05,0.661,
2011-06,0.661,
2011-07,0.560,
2011-08,0.698,
2011-09,0.631,
2011-10,0.903,
2011-11,0.763,
2011-12,0.841,
2012-01,0.995,
2012-02,0.975,
2012-03,1.200,
2012-04,0.983,
2012-05,1.029,
2012-06,1.739,
2012-07,0.895,
2012-08,0.938,
2012-09,0.918,
2012-10,1.010,
2012-11,1.150,
2012-12,1.107,
2013-01,0.842,
2013-02,1.011,
2013-03,0.903,
2013-04,0.977,
2013-05,0.956,
2013-06,1.144,
2013-07,0.908,
2013-08,0.837,
2013-09,0.811,
2013-10,1.007,
2013-11,1.197,
2013-12,0.997,
2014-01,0.849,
2014-02,0.909,
2014-03,0.727,
2014-04,0.782,
2014-05,0.903,
2014-06,0.739,
2014-07,0.805,
2014-08,0.857,
2014-09,0.903,
2014-10,0.885,
2014-11,1.153,
2014-12,1.217,
