"",BBAI3.Q.DE.N.V.LE.F6.S1252.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F6.S1252.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Pension undertakings / Insurance technical reserves / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:12,
2005-10,238076,
2006-01,242428,
2006-04,247270,
2006-07,252291,
2006-10,257486,
2007-01,262178,
2007-04,268033,
2007-07,275943,
2007-10,287833,
2008-01,292430,
2008-04,294755,
2008-07,297944,
2008-10,300563,
2009-01,307834,
2009-04,313459,
2009-07,319538,
2009-10,324171,
2010-01,332326,
2010-04,339129,
2010-07,346131,
2010-10,382083,
2011-01,387478,
2011-04,391313,
2011-07,395853,
2011-10,400641,
2012-01,407924,
2012-04,411514,
2012-07,416009,
2012-10,423256,
2013-01,430114,
2013-04,433942,
2013-07,439122,
2013-10,454694,
2014-01,458794,
2014-04,465773,
2014-07,470120,
