"",BBFI1.Q.N.DE.W1.S1V.S1.LE.A.FA.O.F6._Z._T._X.N,BBFI1.Q.N.DE.W1.S1V.S1.LE.A.FA.O.F6._Z._T._X.N_FLAGS
"","IIP - Other Investment - Insurance, pension and standardized guarantee schemes - Assets - Positions - Non financial corporations, households and NPISH - all countries",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:07:55,
1999-10,545,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,411,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,949,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,1062,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,1328,
2004-01,2273,
2004-04,3192,
2004-07,4108,
2004-10,5021,
2005-01,5161,
2005-04,5256,
2005-07,5348,
2005-10,5442,
2006-01,6186,
2006-04,6895,
2006-07,7603,
2006-10,8307,
2007-01,8713,
2007-04,9075,
2007-07,9436,
2007-10,9798,
2008-01,9602,
2008-04,9317,
2008-07,9033,
2008-10,8747,
2009-01,7870,
2009-04,7003,
2009-07,6132,
2009-10,5258,
2010-01,5716,
2010-04,6056,
2010-07,6397,
2010-10,6738,
2011-01,7514,
2011-04,8189,
2011-07,8861,
2011-10,9533,
2012-01,8953,
2012-04,8375,
2012-07,7797,
2012-10,7212,
2013-01,7027,
2013-04,6837,
2013-07,6647,
2013-10,6456,
2014-01,5704,
2014-04,5087,
2014-07,4934,
