"",BBK01.CEFFK3,BBK01.CEFFK3_FLAGS
"",long-term loans  debtor: Insurance corporations                                                                                                             creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:35,
1999-01,1.9,
1999-04,2.0,
1999-07,2.2,
1999-10,2.2,
2000-01,1.8,
2000-04,1.8,
2000-07,1.8,
2000-10,1.8,
2001-01,2.0,
2001-04,2.0,
2001-07,1.8,
2001-10,1.8,
2002-01,2.0,
2002-04,2.1,
2002-07,2.2,
2002-10,2.2,
2003-01,2.1,
2003-04,2.1,
2003-07,2.1,
2003-10,2.0,
2004-01,2.1,
2004-04,1.6,
2004-07,1.5,
2004-10,5.0,
2005-01,5.0,
2005-04,5.3,
2005-07,5.7,
2005-10,5.7,
2006-01,5.6,
2006-04,5.5,
2006-07,5.6,
2006-10,5.7,
2007-01,5.8,
2007-04,6.0,
2007-07,5.9,
2007-10,6.2,
2008-01,6.4,
2008-04,6.8,
2008-07,6.9,
2008-10,6.7,
2009-01,6.8,
2009-04,6.8,
2009-07,6.7,
2009-10,6.9,
2010-01,6.9,
2010-04,7.0,
2010-07,7.1,
2010-10,2.7,
2011-01,2.7,
2011-04,2.6,
2011-07,2.8,
2011-10,2.5,
2012-01,2.2,
2012-04,2.2,
2012-07,2.2,
2012-10,2.1,
2013-01,1.9,
2013-04,1.8,
2013-07,1.8,
2013-10,1.8,
2014-01,1.8,
2014-04,1.8,
2014-07,1.8,
