"",BBK01.CEF7K0,BBK01.CEF7K0_FLAGS
"",Other accounts payable  debtor: Insurance corporations           creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:42,
1999-01,73.2,
1999-04,74.0,
1999-07,75.1,
1999-10,85.9,
2000-01,89.5,
2000-04,90.7,
2000-07,91.9,
2000-10,88.9,
2001-01,92.0,
2001-04,92.7,
2001-07,95.3,
2001-10,103.6,
2002-01,109.4,
2002-04,110.0,
2002-07,111.1,
2002-10,121.1,
2003-01,123.5,
2003-04,125.7,
2003-07,127.2,
2003-10,118.7,
2004-01,121.1,
2004-04,120.7,
2004-07,121.4,
2004-10,109.7,
2005-01,115.2,
2005-04,117.9,
2005-07,122.3,
2005-10,108.8,
2006-01,108.3,
2006-04,107.5,
2006-07,107.1,
2006-10,108.7,
2007-01,108.5,
2007-04,108.1,
2007-07,107.8,
2007-10,103.3,
2008-01,100.5,
2008-04,100.1,
2008-07,99.4,
2008-10,94.9,
2009-01,97.1,
2009-04,92.8,
2009-07,92.4,
2009-10,88.0,
2010-01,89.9,
2010-04,88.3,
2010-07,86.9,
2010-10,88.3,
2011-01,89.2,
2011-04,89.7,
2011-07,90.4,
2011-10,90.1,
2012-01,91.3,
2012-04,91.3,
2012-07,91.4,
2012-10,91.9,
2013-01,95.2,
2013-04,93.3,
2013-07,93.7,
2013-10,97.0,
2014-01,100.3,
2014-04,99.3,
2014-07,99.5,
