"",BBEX3.M.NPR.USD.CA.AA.A01,BBEX3.M.NPR.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Nepal * / USD 1 = NPR ... (buying),
unit,NPR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:52,
1990-01,28.40,
1990-02,28.50,
1990-03,28.80,
1990-04,29.00,
1990-05,29.10,
1990-06,29.30,
1990-07,29.20,
1990-08,29.30,
1990-09,30.20,
1990-10,30.30,
1990-11,30.30,
1990-12,30.40,
1991-01,31.00,
1991-02,31.90,
1991-03,32.90,
1991-04,34.00,
1991-05,34.90,
1991-06,35.30,
1991-07,42.30,comment
1991-08,42.70,
1991-09,42.60,
1991-10,42.60,
1991-11,42.60,
1991-12,42.60,
1992-01,42.60,
1992-02,42.60,
1992-03,42.60,comment
1992-04,42.60,comment
1992-05,42.60,comment
1992-06,42.60,comment
1992-07,42.60,comment
1992-08,42.60,comment
1992-09,42.60,comment
1992-10,42.60,comment
1992-11,42.60,comment
1992-12,43.10,comment
1993-01,43.10,comment
1993-02,49.90,comment
1993-03,49.63,
1993-04,49.23,
1993-05,49.02,
1993-06,49.00,
1993-07,49.00,
1993-08,49.00,
1993-09,49.00,
1993-10,49.00,
1993-11,49.00,
1993-12,49.00,
1994-01,49.00,
1994-02,49.00,
1994-03,49.00,
1994-04,49.01,
1994-05,49.04,
1994-06,49.10,
1994-07,49.11,
1994-08,49.16,
1994-09,49.37,
1994-10,49.37,
1994-11,49.42,
1994-12,49.64,
1995-01,49.66,
1995-02,49.91,
1995-03,50.14,
1995-04,50.14,
1995-05,50.14,
1995-06,50.19,
1995-07,50.76,
1995-08,51.50,
1995-09,54.00,
1995-10,55.75,
1995-11,55.67,
1995-12,55.75,
1996-01,56.75,
1996-02,55.73,
1996-03,55.25,
1996-04,55.25,
1996-05,55.75,
1996-06,55.75,
1996-07,56.75,
1996-08,56.75,
1996-09,56.75,
1996-10,56.75,
1996-11,56.75,
1996-12,56.75,
1997-01,56.75,
1997-02,56.75,
1997-03,56.75,
1997-04,56.75,
1997-05,56.75,
1997-06,56.75,
1997-07,56.75,
1997-08,57.50,
1997-09,58.50,
1997-10,58.50,
1997-11,61.25,
1997-12,63.00,
1998-01,62.00,
1998-02,62.60,
1998-03,63.10,
1998-04,63.10,
1998-05,65.60,
1998-06,68.00,
1998-07,67.60,
1998-08,68.00,
1998-09,68.00,
1998-10,67.60,
1998-11,67.35,
1998-12,67.35,
1999-01,67.35,
1999-02,67.35,
1999-03,67.35,
1999-04,68.00,
1999-05,67.90,
1999-06,68.15,
1999-07,68.15,
1999-08,68.40,
1999-09,68.40,
1999-10,68.40,
1999-11,68.40,
1999-12,68.40,
2000-01,68.65,
2000-02,68.65,
2000-03,68.65,
2000-04,68.65,
2000-05,70.00,
2000-06,70.40,
2000-07,70.65,
2000-08,72.20,
2000-09,72.90,
2000-10,73.70,
2000-11,73.95,
2000-12,73.95,
2001-01,73.65,
2001-02,73.65,
2001-03,73.90,
2001-04,74.40,
2001-05,74.40,
2001-06,74.40,
2001-07,74.65,
2001-08,74.65,
2001-09,75.85,
2001-10,76.10,
2001-11,76.10,
2001-12,76.30,
2002-01,76.30,
2002-02,77.30,
2002-03,77.35,
2002-04,77.75,
2002-05,78.00,
2002-06,78.00,
2002-07,78.00,
2002-08,78.01,
2002-09,78.00,
2002-10,78.00,
2002-11,78.00,
2002-12,77.75,
2003-01,77.75,
2003-02,77.75,
2003-03,77.50,
2003-04,77.27,
2003-05,76.25,
2003-06,75.78,
2003-07,74.75,
2003-08,74.24,
2003-09,74.23,
2003-10,73.49,
2003-11,73.99,
2003-12,73.74,
2004-01,73.49,
2004-02,73.24,
2004-03,71.81,
2004-04,71.89,
2004-05,73.39,
2004-06,74.14,
2004-07,74.64,
2004-08,74.64,
2004-09,74.48,
2004-10,73.80,
2004-11,72.99,
2004-12,70.74,
2005-01,70.65,
2005-02,70.64,
2005-03,70.65,
2005-04,70.65,
2005-05,70.15,
2005-06,70.35,
2005-07,70.27,
2005-08,71.14,
2005-09,71.15,
2005-10,72.55,
2005-11,73.80,
2005-12,72.71,
2006-01,71.05,
2006-02,71.39,
2006-03,71.65,
2006-04,72.25,
2006-05,73.85,
2006-06,74.10,
2006-07,74.40,
2006-08,74.20,
2006-09,73.30,
2006-10,72.00,
2006-11,71.25,
2006-12,70.71,
2007-01,70.70,
2007-02,70.50,
2007-03,69.55,
2007-04,65.40,
2007-05,64.80,
2007-06,65.10,
2007-07,64.90,
2007-08,65.70,
2007-09,63.70,
2007-10,63.30,
2007-11,63.75,
2007-12,63.25,
2008-01,63.11,
2008-02,63.64,
2008-03,63.70,
2008-04,64.20,
2008-05,68.49,
2008-06,68.30,
2008-07,67.75,
2008-08,69.80,
2008-09,75.05,
2008-10,79.30,
2008-11,79.60,
2008-12,77.35,
2009-01,78.20,
2009-02,81.08,
2009-03,81.60,
2009-04,79.90,
2009-05,76.00,
2009-06,76.73,
2009-07,77.21,
2009-08,77.55,
2009-09,76.59,
2009-10,74.87,
2009-11,74.60,
2009-12,74.35,
2010-01,73.86,
2010-02,73.70,
2010-03,71.80,
2010-04,70.95,
2010-05,73.85,
2010-06,74.13,
2010-07,74.00,
2010-08,74.70,
2010-09,71.74,
2010-10,70.90,
2010-11,72.85,
2010-12,71.82,
2011-01,72.85,
2011-02,72.20,
2011-03,71.30,
2011-04,70.65,
2011-05,71.80,
2011-06,71.55,
2011-07,70.35,
2011-08,73.35,
2011-09,78.00,
2011-10,77.70,
2011-11,82.96,
2011-12,85.09,
2012-01,78.60,
2012-02,78.20,
2012-03,81.49,
2012-04,83.76,
2012-05,89.44,
2012-06,89.75,
2012-07,88.35,
2012-08,88.70,
2012-09,83.95,
2012-10,86.14,
2012-11,87.71,
2012-12,87.48,
2013-01,85.21,
2013-02,85.71,
2013-03,86.55,
2013-04,86.61,
2013-05,89.46,
2013-06,96.20,
2013-07,96.09,
2013-08,106.05,
2013-09,99.70,
2013-10,97.96,
2013-11,99.56,
2013-12,98.76,
2014-01,99.80,
2014-02,98.88,
2014-03,95.56,
2014-04,96.38,
2014-05,94.16,
2014-06,95.84,
2014-07,95.80,
2014-08,96.50,
2014-09,98.16,
2014-10,98.03,
2014-11,98.71,
2014-12,101.12,
2015-01,98.68,
"","Source: Nepal Rastra Bank, Kathmandu",
"","Methodology: * While the multiple exchange rate system was in place (4 March 1992 to 12 February 1993): official exchange rate.  Use of exchange rates in the multiple exchange rate system: Official exchange rate: for transactions by general government; for 35% (25% as of 12 July 1992) of income from exports, services (including foreign travel, investment income) and transfers (including pensions, benefit payments) as well as for payments for the import of certain goods (including petroleum products, fertilisers, industrial machinery). Free market rate: for the remaining 65% (75% as of 12 July 1992) of the income listed above as well as for all other transactions.",
"","Comment on 1991-07: On 2 and 4 July 1991, the Nepalese rupee was devalued in two stages. We recorded the following exchange rates (buying/selling rate; calculated devaluation in brackets):  30 June 1991: USD 1 = NPR 35.30 / 35.50  2 July 1991: USD 1 = NPR 38.00 / 38.20 (-7.1%)  4 July 1991: USD 1 = NPR 42.70 / 42.90 (-11.0%)",
"","Comment on 1992-03: On 4 March 1992, a multiple exchange rate system was established with the introduction of a free market rate. We recorded the following free market rates (buying/selling rate):  6 March 1992: NPR 46.77 / 49.50  End-March 1992: USD 1 = NPR 48.48 / 52.15",
"",Comment on 1992-04: Free market rates (buying/selling rate) at end-April 1992: USD 1 = NPR 48.35 / 51.85.,
"",Comment on 1992-05: Free market rates (buying/selling rate) at end-May 1992: USD 1 = NPR 47.48 / 50.50.,
"",Comment on 1992-06: Free market rates (buying/selling rate) at end-June 1992: USD 1 = NPR 46.96 / 49.56.,
"",Comment on 1992-07: Free market rates (buying/selling rate) at end-July 1992: USD 1 = NPR 47.16 / 49.08.,
"",Comment on 1992-08: Free market rates (buying/selling rate) at end-August 1992: USD 1 = NPR 46.55/ 48.33.,
"",Comment on 1992-09: Free market rates (buying/selling rate) at end-September 1992: USD 1 = NPR 46.52 / 48.32.,
"",Comment on 1992-10: Free market rates (buying/selling rate) at end-October 1992: USD 1 = NPR 46.52 / 48.32.,
"",Comment on 1992-11: Free market rates (buying/selling rate) at end-November 1992: USD 1 = NPR 46.52 / 48.32.,
"",Comment on 1992-12: Free market rates (buying/selling rate) at end-December 1992: USD 1 = NPR 46.65 / 48.33.,
"",Comment on 1993-01: Free market rates (buying/selling rate) at end-January 1993: USD 1 = NPR 46.65 / 48.33.,
"",Comment on 1993-02: The exchange rate system was unified on 12 February 1993.,
