"",BBAI3.Q.DE.N.V.LE.F511.SV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F511.SV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Property and casualty insurance companies / Shares and other equity - Quoted shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:26,
2005-10,29295,
2006-01,28759,
2006-04,25647,
2006-07,30365,
2006-10,32945,
2007-01,35280,
2007-04,36562,
2007-07,32741,
2007-10,30444,
2008-01,27906,
2008-04,25330,
2008-07,22549,
2008-10,17444,
2009-01,14348,
2009-04,14106,
2009-07,16961,
2009-10,17105,
2010-01,19390,
2010-04,17227,
2010-07,17153,
2010-10,18625,
2011-01,20009,
2011-04,18643,
2011-07,14503,
2011-10,14891,
2012-01,18238,
2012-04,16450,
2012-07,18659,
2012-10,20913,
2013-01,22651,
2013-04,22639,
2013-07,23102,
2013-10,25869,
2014-01,25910,
2014-04,23695,
2014-07,24138,
