"",BBAI3.Q.DE.N.V.LE.F33.KV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F33.KV.A1.S.1.N.E.Z_FLAGS
"",Assets / Health insurance companies / Securities other than shares excluding financial derivatives / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:33,
2005-10,8335,
2006-01,8635,
2006-04,8085,
2006-07,8433,
2006-10,7801,
2007-01,8870,
2007-04,8450,
2007-07,9074,
2007-10,8940,
2008-01,8067,
2008-04,8392,
2008-07,8623,
2008-10,10402,
2009-01,10291,
2009-04,11325,
2009-07,11908,
2009-10,13390,
2010-01,15613,
2010-04,16846,
2010-07,17690,
2010-10,18362,
2011-01,19177,
2011-04,20098,
2011-07,21020,
2011-10,22409,
2012-01,26286,
2012-04,28187,
2012-07,31167,
2012-10,32927,
2013-01,35318,
2013-04,37037,
2013-07,38767,
2013-10,41528,
2014-01,44495,
2014-04,48093,
2014-07,51897,
