"",BBEX3.M.PGK.USD.CM.AC.A01,BBEX3.M.PGK.USD.CM.AC.A01_FLAGS
"",Exchange rates for the US dollar in Papua New Guinea / PGK 1 = USD ... (middle),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:08,
1976-01,1.25820,comment
1976-02,.,No value available
1976-03,.,No value available
1976-04,.,No value available
1976-05,.,No value available
1976-06,.,No value available
1976-07,.,No value available
1976-08,.,No value available
1976-09,.,No value available
1976-10,1.28995,
1976-11,1.19570,
1976-12,1.23240,
1977-01,.,No value available
1977-02,.,No value available
1977-03,.,No value available
1977-04,1.25190,
1977-05,1.25120,
1977-06,1.26440,
1977-07,1.27230,
1977-08,1.26530,
1977-09,1.26820,
1977-10,1.28645,
1977-11,1.30380,
1977-12,1.32000,
1978-01,1.36920,
1978-02,1.36720,
1978-03,1.37510,
1978-04,1.38570,
1978-05,1.37830,
1978-06,1.41280,
1978-07,1.44170,
1978-08,1.44730,
1978-09,1.45400,
1978-10,1.51480,
1978-11,1.43010,
1978-12,1.45300,
1979-01,1.43050,
1979-02,1.42610,
1979-03,1.41060,
1979-04,1.38240,
1979-05,1.38380,
1979-06,1.40790,
1979-07,1.41840,
1979-08,1.41370,
1979-09,1.41250,
1979-10,1.36540,
1979-11,1.36090,
1979-12,1.44880,
1980-01,1.45440,
1980-02,1.43760,
1980-03,1.41130,
1980-04,1.45460,
1980-05,1.49620,
1980-06,1.51780,
1980-07,1.50240,
1980-08,1.52300,
1980-09,1.53230,
1980-10,1.54030,
1980-11,1.52370,
1980-12,1.55310,
1981-01,1.54290,
1981-02,1.51900,
1981-03,1.52630,
1981-04,1.50030,
1981-05,1.47240,
1981-06,1.47340,
1981-07,1.44330,
1981-08,1.46390,
1981-09,1.45410,
1981-10,1.45380,
1981-11,1.49680,
1981-12,1.46950,
1982-01,1.42660,
1982-02,1.40380,
1982-03,1.37960,
1982-04,1.39580,
1982-05,1.38180,
1982-06,1.35360,
1982-07,1.33530,
1982-08,1.31090,
1982-09,1.29450,
1982-10,1.27740,
1982-11,1.30450,
1982-12,1.33710,
1983-01,1.32760,
1983-02,1.32130,
1983-03,1.18240,comment
1983-04,1.18500,
1983-05,1.17290,
1983-06,1.16210,
1983-07,1.16440,
1983-08,1.15310,
1983-09,1.16400,
1983-10,1.17590,
1983-11,1.16790,
1983-12,1.14220,
1984-01,1.14900,
1984-02,1.16790,
1984-03,1.17100,
1984-04,1.15780,
1984-05,1.14340,
1984-06,1.12240,
1984-07,1.08510,
1984-08,1.08640,
1984-09,1.06950,
1984-10,1.07880,
1984-11,1.08280,
1984-12,1.05990,
1985-01,1.04780,
1985-02,0.98110,
1985-03,0.98920,
1985-04,.,No value available
1985-05,0.96500,
1985-06,0.97580,
1985-07,1.02910,
1985-08,1.01650,
1985-09,1.03980,
1985-10,1.03700,
1985-11,0.99660,
1985-12,0.98770,
1986-01,1.01810,
1986-02,1.02620,
1986-03,1.03570,
1986-04,1.07170,
1986-05,1.05020,
1986-06,1.03810,
1986-07,1.01640,
1986-08,1.01420,
1986-09,1.02710,
1986-10,1.02050,
1986-11,1.02540,
1986-12,1.04040,
1987-01,1.05870,
1987-02,1.06550,
1987-03,1.09870,
1987-04,1.11290,
1987-05,1.10970,
1987-06,1.11030,
1987-07,1.08760,
1987-08,1.11380,
1987-09,1.11540,
1987-10,1.09490,
1987-11,1.13400,
1987-12,1.13840,
1988-01,1.11070,
1988-02,1.11300,
1988-03,1.13270,
1988-04,1.14520,
1988-05,1.17500,
1988-06,1.14850,
1988-07,1.15790,
1988-08,1.15000,
1988-09,1.13590,
1988-10,1.18100,
1988-11,.,No value available
1988-12,1.21000,
1989-01,1.21920,
1989-02,1.18320,
1989-03,1.18760,
1989-04,1.17600,
1989-05,1.14510,
1989-06,1.14210,
1989-07,1.14660,
1989-08,1.14910,
1989-09,1.15650,
1989-10,1.15890,
1989-11,1.15590,
1989-12,1.16330,
1990-01,1.03680,comment
1990-02,1.03130,
1990-03,1.02220,
1990-04,1.01910,
1990-05,1.03430,
1990-06,1.04000,
