"",BBAI3.Q.DE.N.V.LE.F511.LV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F511.LV.A1.S.1.N.E.Z_FLAGS
"",Assets / Life insurance companies / Shares and other equity - Quoted shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:28,
2005-10,12378,
2006-01,15626,
2006-04,15536,
2006-07,15916,
2006-10,17178,
2007-01,19194,
2007-04,21273,
2007-07,20191,
2007-10,20491,
2008-01,18229,
2008-04,17492,
2008-07,15893,
2008-10,12014,
2009-01,9720,
2009-04,10204,
2009-07,10158,
2009-10,10437,
2010-01,10779,
2010-04,9928,
2010-07,11514,
2010-10,14110,
2011-01,14265,
2011-04,11654,
2011-07,9294,
2011-10,8228,
2012-01,7656,
2012-04,7001,
2012-07,6988,
2012-10,9597,
2013-01,6212,
2013-04,6015,
2013-07,5429,
2013-10,5245,
2014-01,5811,
2014-04,6105,
2014-07,5523,
