"",BBQFS.M.IE.GOVE.YLD_SPRD_10.DE.GOVE,BBQFS.M.IE.GOVE.YLD_SPRD_10.DE.GOVE_FLAGS
"",Yield spreads between Irish sovereign bonds and Bunds (FSR 2014),
unit,%-Punkte/% points (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-07 17:09:28,
1993-01,2.95,
1993-02,2.58,
1993-03,2.20,
1993-04,1.64,
1993-05,1.18,
1993-06,1.01,
1993-07,0.89,
1993-08,0.92,
1993-09,1.00,
1993-10,0.92,
1993-11,0.88,
1993-12,0.85,
1994-01,0.61,
1994-02,0.67,
1994-03,0.90,
1994-04,1.25,
1994-05,1.45,
1994-06,1.65,
1994-07,1.64,
1994-08,1.51,
1994-09,1.45,
1994-10,1.32,
1994-11,1.21,
1994-12,1.30,
1995-01,1.41,
1995-02,1.44,
1995-03,1.73,
1995-04,1.81,
1995-05,1.70,
1995-06,1.76,
1995-07,1.85,
1995-08,1.65,
1995-09,1.55,
1995-10,1.59,
1995-11,1.46,
1995-12,1.45,
1996-01,1.47,
1996-02,1.42,
1996-03,1.52,
1996-04,1.37,
1996-05,1.18,
1996-06,1.19,
1996-07,1.16,
1996-08,1.25,
1996-09,1.11,
1996-10,0.88,
1996-11,0.94,
1996-12,0.92,
1997-01,0.86,
1997-02,0.86,
1997-03,0.96,
1997-04,0.89,
1997-05,0.84,
1997-06,0.85,
1997-07,0.78,
1997-08,0.75,
1997-09,0.56,
1997-10,0.49,
1997-11,0.50,
1997-12,0.33,
1998-01,0.31,
1998-02,0.28,
1998-03,0.22,
1998-04,0.19,
1998-05,0.23,
1998-06,0.28,
1998-07,0.30,
1998-08,0.32,
1998-09,0.37,
1998-10,0.35,
1998-11,0.23,
1998-12,0.18,
1999-01,0.20,
1999-02,0.19,
1999-03,0.16,
1999-04,0.07,
1999-05,0.14,
1999-06,0.23,
1999-07,0.24,
1999-08,0.27,
1999-09,0.27,
1999-10,0.27,
1999-11,0.25,
1999-12,0.23,
2000-01,0.25,
2000-02,0.24,
2000-03,0.24,
2000-04,0.24,
2000-05,0.26,
2000-06,0.26,
2000-07,0.26,
2000-08,0.26,
2000-09,0.25,
2000-10,0.23,
2000-11,0.23,
2000-12,0.23,
2001-01,0.23,
2001-02,0.21,
2001-03,0.22,
2001-04,0.23,
2001-05,0.21,
2001-06,0.19,
2001-07,0.20,
2001-08,0.17,
2001-09,0.16,
2001-10,0.14,
2001-11,0.16,
2001-12,0.12,
2002-01,0.14,
2002-02,0.26,
2002-03,0.23,
2002-04,0.23,
2002-05,0.22,
2002-06,0.22,
2002-07,0.23,
2002-08,0.24,
2002-09,0.24,
2002-10,0.21,
2002-11,0.17,
2002-12,0.11,
2003-01,0.08,
2003-02,0.09,
2003-03,0.07,
2003-04,0.06,
2003-05,0.05,
2003-06,0.05,
2003-07,0.00,
2003-08,0.01,
2003-09,-0.01,
2003-10,-0.01,
2003-11,-0.02,
2003-12,-0.03,
2004-01,-0.04,
2004-02,-0.05,
2004-03,0.05,
2004-04,0.25,
2004-05,0.22,
2004-06,0.17,
2004-07,0.17,
2004-08,0.16,
2004-09,0.15,
2004-10,0.14,
2004-11,0.12,
2004-12,0.06,
2005-01,0.05,
2005-02,0.04,
2005-03,0.05,
2005-04,0.07,
2005-05,0.04,
2005-06,0.02,
2005-07,0.04,
2005-08,0.03,
2005-09,0.03,
2005-10,0.02,
2005-11,0.00,
2005-12,-0.01,
2006-01,0.00,
2006-02,0.00,
2006-03,0.00,
2006-04,0.01,
2006-05,-0.01,
2006-06,-0.02,
2006-07,-0.02,
2006-08,-0.01,
2006-09,0.00,
2006-10,0.00,
2006-11,0.00,
2006-12,0.01,
2007-01,0.00,
2007-02,0.01,
2007-03,0.01,
2007-04,0.02,
2007-05,0.02,
2007-06,0.03,
2007-07,0.07,
2007-08,0.09,
2007-09,0.09,
2007-10,0.09,
2007-11,0.21,
2007-12,0.22,
2008-01,0.20,
2008-02,0.24,
2008-03,0.38,
2008-04,0.40,
2008-05,0.40,
2008-06,0.40,
2008-07,0.42,
2008-08,0.35,
2008-09,0.44,
2008-10,0.67,
2008-11,0.88,
2008-12,1.22,
2009-01,1.92,
2009-02,2.25,
2009-03,2.60,
2009-04,2.10,
2009-05,1.79,
2009-06,2.11,
2009-07,2.02,
2009-08,1.54,
2009-09,1.56,
2009-10,1.53,
2009-11,1.48,
2009-12,1.58,
2010-01,1.51,
2010-02,1.56,
2010-03,1.37,
2010-04,1.58,
2010-05,2.09,
2010-06,2.68,
2010-07,2.66,
2010-08,2.91,
2010-09,3.80,
2010-10,4.06,
2010-11,5.69,
2010-12,5.60,
2011-01,5.82,
2011-02,5.86,
2011-03,6.44,
2011-04,6.49,
2011-05,7.51,
2011-06,8.41,
2011-07,9.71,
2011-08,7.36,
2011-09,6.66,
2011-10,6.07,
2011-11,6.55,
2011-12,6.68,
2012-01,5.89,
2012-02,5.12,
2012-03,5.01,
2012-04,5.14,
2012-05,5.71,
2012-06,5.82,
2012-07,4.96,
2012-08,4.59,
2012-09,3.82,
2012-10,3.33,
2012-11,3.27,
2012-12,3.19,
2013-01,2.69,
2013-02,2.22,
2013-03,2.55,
2013-04,2.60,
2013-05,2.13,
2013-06,2.42,
2013-07,2.28,
2013-08,2.15,
2013-09,2.04,
2013-10,1.84,
2013-11,1.81,
2013-12,1.63,
2014-01,1.59,
2014-02,1.58,
2014-03,1.45,
2014-04,1.36,
2014-05,1.31,
2014-06,1.09,
2014-07,1.08,
2014-08,1.02,
2014-09,0.75,
2014-10,0.86,
2014-11,0.86,
"",Source: Bloomberg and Bundesbank calculations,
"","Methodology: With a residual maturity of ten years. Up to the end of 1998, the yield spreads contain not only credit (and liquidity) risk but also exchange rate risk.",
