"",BBK01.CEH50I,BBK01.CEH50I_FLAGS
"",Shares and other equity debtor: All sectors                    creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:53,
1991-01,4.6,
1991-04,4.7,
1991-07,4.6,
1991-10,4.6,
1992-01,8.0,
1992-04,5.9,
1992-07,5.6,
1992-10,11.8,
1993-01,21.5,
1993-04,11.8,
1993-07,5.4,
1993-10,-12.5,
1994-01,16.0,
1994-04,5.1,
1994-07,9.9,
1994-10,23.2,
1995-01,-0.6,
1995-04,2.6,
1995-07,2.1,
1995-10,9.6,
1996-01,6.9,
1996-04,2.8,
1996-07,2.2,
1996-10,8.1,
1997-01,9.1,
1997-04,5.8,
1997-07,9.6,
1997-10,4.0,
1998-01,12.5,
1998-04,10.9,
1998-07,8.9,
1998-10,6.5,
1999-01,16.3,
1999-04,26.6,
1999-07,17.7,
1999-10,10.7,
2000-01,23.8,
2000-04,30.6,
2000-07,10.1,
2000-10,14.7,
2001-01,17.5,
2001-04,6.5,
2001-07,-5.2,
2001-10,8.7,
2002-01,1.8,
2002-04,-10.7,
2002-07,-0.1,
2002-10,-20.8,
2003-01,6.6,
2003-04,5.9,
2003-07,2.5,
2003-10,-4.4,
2004-01,3.0,
2004-04,1.1,
2004-07,-1.5,
2004-10,-10.9,
2005-01,7.0,
2005-04,5.6,
2005-07,7.4,
2005-10,-3.3,
2006-01,22.0,
2006-04,-8.4,
2006-07,-1.1,
2006-10,-11.3,
2007-01,-9.5,
2007-04,-1.1,
2007-07,-9.1,
2007-10,8.1,
2008-01,-8.9,
2008-04,-0.8,
2008-07,-6.5,
2008-10,-24.5,
2009-01,8.7,
2009-04,4.6,
2009-07,1.0,
2009-10,3.8,
2010-01,6.7,
2010-04,12.5,
2010-07,-0.3,
2010-10,7.5,
2011-01,0.5,
2011-04,1.2,
2011-07,0.0,
2011-10,3.0,
2012-01,-1.8,
2012-04,-0.8,
2012-07,-0.8,
2012-10,3.3,
2013-01,13.9,
2013-04,4.1,
2013-07,-0.6,
2013-10,0.2,
2014-01,6.2,
