"",BBK01.CEL40K,BBK01.CEL40K_FLAGS
"",Loans                                                           debtor: Total            creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:57,
1999-01,2.0,
1999-04,2.8,
1999-07,2.1,
1999-10,4.9,
2000-01,5.3,
2000-04,3.0,
2000-07,2.9,
2000-10,-2.7,
2001-01,3.1,
2001-04,3.4,
2001-07,3.8,
2001-10,9.6,
2002-01,4.7,
2002-04,3.4,
2002-07,3.3,
2002-10,14.3,
2003-01,4.6,
2003-04,3.4,
2003-07,3.7,
2003-10,15.6,
2004-01,6.0,
2004-04,1.9,
2004-07,1.3,
2004-10,8.4,
2005-01,0.1,
2005-04,-0.9,
2005-07,-0.6,
2005-10,-7.1,
2006-01,1.3,
2006-04,0.5,
2006-07,1.4,
2006-10,-2.6,
2007-01,-3.1,
2007-04,0.2,
2007-07,1.7,
2007-10,-2.0,
2008-01,-2.8,
2008-04,1.2,
2008-07,-0.2,
2008-10,-2.4,
2009-01,7.4,
2009-04,4.2,
2009-07,1.6,
2009-10,1.3,
2010-01,6.7,
2010-04,1.7,
2010-07,1.6,
2010-10,-0.7,
2011-01,1.4,
2011-04,1.2,
2011-07,1.5,
2011-10,-0.2,
2012-01,3.5,
2012-04,0.8,
2012-07,1.8,
2012-10,0.0,
2013-01,0.7,
2013-04,-0.9,
2013-07,0.7,
2013-10,3.2,
2014-01,2.9,
2014-04,0.7,
2014-07,-0.3,
