"",BBAI3.Q.DE.N.V.LE.F332B.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F332B.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Securities other than shares excluding financial derivatives over 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:25,
2005-10,143500,
2006-01,146063,
2006-04,146523,
2006-07,150977,
2006-10,143696,
2007-01,149384,
2007-04,144935,
2007-07,148176,
2007-10,145349,
2008-01,140782,
2008-04,138612,
2008-07,140959,
2008-10,149655,
2009-01,143139,
2009-04,151506,
2009-07,158756,
2009-10,162224,
2010-01,180297,
2010-04,187864,
2010-07,190123,
2010-10,197552,
2011-01,200789,
2011-04,204969,
2011-07,207902,
2011-10,213911,
2012-01,233114,
2012-04,244653,
2012-07,260419,
2012-10,274034,
2013-01,289403,
2013-04,292361,
2013-07,297512,
2013-10,310437,
2014-01,326318,
2014-04,344992,
2014-07,362312,
