"",BBK01.CELC021,BBK01.CELC021_FLAGS
"",Financial derivatives debtor: Total                                                   creditor: Domestic financial sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:50,
1999-01,11.3,
1999-04,11.3,
1999-07,-0.4,
1999-10,-0.4,
2000-01,0.4,
2000-04,0.4,
2000-07,13.4,
2000-10,13.4,
2001-01,9.0,
2001-04,9.0,
2001-07,16.4,
2001-10,16.4,
2002-01,8.8,
2002-04,9.7,
2002-07,18.9,
2002-10,8.0,
2003-01,16.1,
2003-04,12.5,
2003-07,-11.7,
2003-10,-10.4,
2004-01,35.0,
2004-04,-12.9,
2004-07,-4.8,
2004-10,-146.1,
2005-01,21.9,
2005-04,-16.0,
2005-07,157.0,
2005-10,117.1,
2006-01,151.1,
2006-04,121.9,
2006-07,84.2,
2006-10,92.8,
2007-01,35.3,
2007-04,24.3,
2007-07,-30.3,
2007-10,1.5,
2008-01,35.4,
2008-04,-250.1,
2008-07,-178.0,
2008-10,-281.6,
2009-01,395.9,
2009-04,-414.0,
2009-07,39.4,
2009-10,-0.6,
2010-01,-21.2,
2010-04,160.6,
2010-07,14.0,
2010-10,-260.4,
2011-01,-90.3,
2011-04,51.9,
2011-07,276.2,
2011-10,-291.5,
2012-01,-98.9,
2012-04,103.5,
2012-07,0.3,
2012-10,-59.9,
2013-01,35.8,
2013-04,-26.2,
2013-07,15.7,
2013-10,-7.7,
2014-01,-11.3,
2014-04,38.8,
2014-07,89.0,
