"",BBK01.TZ4971,BBK01.TZ4971_FLAGS
"",Monetary capital formation / Debt securities / With an maturity of over 2 years / German contribution / Financial transactions (flows) / Seasonally adjusted,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-27 09:16:19,
1999-01,13.0,
1999-02,6.8,
1999-03,4.1,
1999-04,9.8,
1999-05,2.2,
1999-06,2.3,
1999-07,0.0,
1999-08,5.9,
1999-09,13.8,
1999-10,3.3,
1999-11,3.8,
1999-12,5.3,
2000-01,-10.1,
2000-02,-0.1,
2000-03,-0.3,
2000-04,8.7,
2000-05,7.6,
2000-06,1.4,
2000-07,4.9,
2000-08,2.9,
2000-09,-2.8,
2000-10,3.5,
2000-11,-9.1,
2000-12,6.7,
2001-01,6.9,
2001-02,3.7,
2001-03,-3.1,
2001-04,-8.2,
2001-05,-4.8,
2001-06,4.0,
2001-07,-3.7,
2001-08,3.2,
2001-09,0.4,
2001-10,3.7,
2001-11,8.1,
2001-12,5.4,
2002-01,-0.1,
2002-02,1.0,
2002-03,9.3,
2002-04,-3.5,
2002-05,1.5,
2002-06,3.0,
2002-07,5.7,
2002-08,5.7,
2002-09,0.1,
2002-10,1.2,
2002-11,0.5,
2002-12,-4.7,
2003-01,-0.1,
2003-02,2.0,
2003-03,-3.8,
2003-04,-0.5,
2003-05,1.3,
2003-06,3.9,
2003-07,3.3,
2003-08,4.8,
2003-09,7.9,
2003-10,4.0,
2003-11,4.6,
2003-12,4.1,
2004-01,2.5,
2004-02,2.2,
2004-03,6.7,
2004-04,5.1,
2004-05,1.1,
2004-06,-1.6,
2004-07,0.8,
2004-08,8.1,
2004-09,8.9,
2004-10,0.6,
2004-11,0.8,
2004-12,2.2,
2005-01,-4.0,
2005-02,6.5,
2005-03,5.0,
2005-04,9.5,
2005-05,-2.0,
2005-06,5.0,
2005-07,1.7,
2005-08,1.8,
2005-09,-2.7,
2005-10,1.6,
2005-11,-0.8,
2005-12,-3.1,
2006-01,-0.2,
2006-02,8.1,
2006-03,-6.6,
2006-04,-5.2,
2006-05,0.9,
2006-06,0.4,
2006-07,2.1,
2006-08,-2.4,
2006-09,-4.9,
2006-10,-0.5,
2006-11,1.3,
2006-12,7.4,
2007-01,1.1,
2007-02,1.3,
2007-03,-6.7,
2007-04,1.1,
2007-05,3.0,
2007-06,-3.7,
2007-07,-0.4,
2007-08,-7.0,
2007-09,-3.7,
2007-10,6.1,
2007-11,-10.7,
2007-12,-3.2,
2008-01,-3.2,
2008-02,-4.9,
2008-03,-2.3,
2008-04,-1.5,
2008-05,-7.0,
2008-06,0.7,
2008-07,0.6,
2008-08,-0.3,
2008-09,-6.9,
2008-10,-17.4,
2008-11,-9.0,
2008-12,-11.9,
2009-01,-3.7,
2009-02,-8.6,
2009-03,-7.5,
2009-04,-9.3,
2009-05,0.8,
2009-06,-3.2,
2009-07,-8.1,
2009-08,3.0,
2009-09,-17.6,
2009-10,-2.1,
2009-11,-9.2,
2009-12,-7.8,
2010-01,-2.6,
2010-02,-5.7,
2010-03,2.7,
2010-04,-4.1,
2010-05,1.2,
2010-06,-3.8,
2010-07,-11.1,
2010-08,-1.3,
2010-09,1.4,
2010-10,-5.6,
2010-11,3.7,
2010-12,4.0,
2011-01,0.6,
2011-02,0.4,
2011-03,-4.4,
2011-04,-0.8,
2011-05,-3.0,
2011-06,1.4,
2011-07,-4.7,
2011-08,-0.4,
2011-09,-3.3,
2011-10,1.1,
2011-11,-3.3,
2011-12,-0.1,
2012-01,-23.9,
2012-02,8.3,
2012-03,-5.8,
2012-04,-1.4,
2012-05,-4.8,
2012-06,-2.1,
2012-07,-0.8,
2012-08,-1.9,
2012-09,-2.5,
2012-10,-5.6,
2012-11,-5.0,
2012-12,-6.7,
2013-01,-5.4,
2013-02,1.1,
2013-03,-10.5,
2013-04,-6.0,
2013-05,-9.9,
2013-06,-9.3,
2013-07,-6.2,
2013-08,-4.9,
2013-09,2.2,
2013-10,-2.2,
2013-11,-1.1,
2013-12,-2.5,
2014-01,-7.0,
2014-02,-0.4,
2014-03,-2.3,
2014-04,-15.0,
2014-05,12.4,
2014-06,-3.3,
2014-07,0.5,
2014-08,-2.7,
2014-09,-5.7,
2014-10,-0.5,
2014-11,1.6,
2014-12,-5.2,Provisional value
2015-01,1.9,
