"",BBAI3.Q.DE.N.V.LE.F511.SV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F511.SV.A1.S.1.N.E.Z_FLAGS
"",Assets / Property and casualty insurance companies / Shares and other equity - Quoted shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:44,
2005-10,2680,
2006-01,3198,
2006-04,3192,
2006-07,3532,
2006-10,3897,
2007-01,4634,
2007-04,5012,
2007-07,3423,
2007-10,3518,
2008-01,2931,
2008-04,2802,
2008-07,2710,
2008-10,2111,
2009-01,1683,
2009-04,1645,
2009-07,1677,
2009-10,1744,
2010-01,1919,
2010-04,1795,
2010-07,2035,
2010-10,2491,
2011-01,2414,
2011-04,2436,
2011-07,1955,
2011-10,1749,
2012-01,1894,
2012-04,1696,
2012-07,1773,
2012-10,2457,
2013-01,1699,
2013-04,1700,
2013-07,1627,
2013-10,1672,
2014-01,1899,
2014-04,1986,
2014-07,1962,
