"",BBAI3.Q.DE.N.V.LE.F61.S1252.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F61.S1252.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Pension undertakings / Net equity of households in life insurance and pension funds reserves / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:12,
2005-10,237699,
2006-01,242045,
2006-04,246883,
2006-07,251900,
2006-10,257087,
2007-01,261799,
2007-04,267669,
2007-07,275592,
2007-10,287488,
2008-01,292072,
2008-04,294388,
2008-07,297567,
2008-10,300174,
2009-01,307434,
2009-04,313049,
2009-07,319118,
2009-10,323745,
2010-01,331894,
2010-04,338693,
2010-07,345693,
2010-10,381653,
2011-01,387036,
2011-04,390861,
2011-07,395388,
2011-10,400163,
2012-01,407454,
2012-04,411056,
2012-07,415560,
2012-10,422812,
2013-01,429662,
2013-04,433485,
2013-07,438660,
2013-10,454223,
2014-01,458329,
2014-04,465303,
2014-07,469645,
